#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
wc_keep1_fel;Demon Outpost;Avant-poste de la Légion;Dämonischer Außenposten;;;;;;;;;;;x
wc_keep2_fel;Legion Command Post;Poste de commande la Légion;Außenposten der Legion;;;;;;;;;;;x
wc_keep3_fel;Burning Legion Command Center;Centre de commandement de la Légion ardente;Kommandoposten der brennenden Legion;;;;;;;;;;;x
wc_keep4_fel;Demonic Bastion;Bastion démoniaque;Dämonische Bastion;;;;;;;;;;;x
wc_keep5_fel;Legion Battle Fortress;Forteresse de la Légion;Schlachtfeste der brennenden Legion;;;;;;;;;;;x
wc_keep6_fel;Burning Legion Citadel;Citadelle de la Légion ardente;Zitadelle der brennenden Legion;;;;;;;;;;;x
wc_keep1_fel_desc;A outpost of the Burning Legion, where a number of demon laborers and soldiers have set up a permanent encampment.;;Ein Außenposten der brennenden Legion, an dem eine Reihe von dämonischen Arbeitern und Soldaten ein dauerhaftes Lager eingerichtet haben.;;;;;;;;;;;x
wc_keep2_fel_desc;A major Legion center of tactical interest, being a main rockbed of a major demonic incursion. A command post has been set up to help solidify Legion operations in the region.;;Ein bedeutendes Legionszentrum von taktischem Interesse, das einen Grundpfeiler eines großen dämonischen Angriffs darstellt. Ein Kommandoposten wurde eingerichtet, um die Operationen der Legion in der Region zu festigen.;;;;;;;;;;;x
wc_keep3_fel_desc;A major base of operations for the Burning Legion and it's minions, supporting a much larger set of command posts and operational offices for supporting a much larger demon army.;;Eine wichtige Operationsbasis für die brennende Legion und ihre Diener, die über diverse Kommandoposten und Außenposten zur Unterstützung einer viel größeren Dämonenarmee verfügt.;;;;;;;;;;;x
wc_keep4_fel_desc;A sizable demonic keep which supports sizable fel walls and supports a number of armories to keep an advanced Legion host both protected and well supplied;;Ein beträchtlicher dämonischer Bergfried, umgeben von beträchtlichen Felwällen und ausgestattet mit einer Reihe von Waffenkammern, um eine fortschrittliche Legionsstreitmacht sowohl geschützt als auch gut versorgt zu halten.;;;;;;;;;;;x
wc_keep5_fel_desc;A large demonic fortress with tall black walls, a ringed inner courtyard of vile fires which helps support a number of tactical offices and dark armories to help push forward the Legion's ultimate goals, a sight to give even the most hardened warrior on azeroth fright.;;Eine große dämonische Festung mit hohen schwarzen Mauern, einem umrandeten Innenhof mit abscheulichen Feuern, der eine Reihe von taktischen Büros und dunklen Waffenkammern bereit hält, um die ultimativen Ziele der Legion voranzutreiben. Ein Anblick, bei dem selbst dem hartgesottensten Krieger Azeroths die Haare zu Berge stehen.;;;;;;;;;;;x
wc_keep6_fel_desc;A vast demonic sprawl of keeps, walls, and defensive buildings used to house a much larger demonic host, a palace worthy of any pitlord or other high commanding demon. Vast morbid trophies line it's emerald illuminated walls, and portals churn out countless hapless demons to serve the dark titan's will.;;Eine gewaltige Ansammlung dämonischer Bergfriede, Mauern und Verteidigungsgebäude, in denen eine enorme dämonische Heerschar untergebracht wird, ein Palast, der jedem Grubenfürsten oder anderen hohen kommandierenden Dämonen würdig wäre. Riesige morbide Trophäen säumen die smaragdgrün beleuchteten Wände, und aus Portalen strömen unzählige Dämonen, um dem Willen des schwarzen Titanen zu gehorchen.;;;;;;;;;;;x
