#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
Loa_group_option_next_1;Show me more gods!;;;;;;;;;;;;;x
Loa_group_option_previous_1;Show me the previous gods!;;;;;;;;;;;;;x
Loa1001;Early troll tribes, though varying wildly in customs and traditions, all shared a common religion: the worship and reverence for the Wild Gods. Now it is your time to pick a one of these gods and follow its wisdom;;;;;;;;;;;;;x
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Loa_group_option_1;Amani Loa;;;;;;;;;;;;;x
Loa_group_option_2;Bloodscalp Totemic Spirits;;;;;;;;;;;;;x
Loa_group_option_3;Darkspear Loa;;;;;;;;;;;;;x
Loa_group_option_4;Drakkari Loa;;;;;;;;;;;;;x
Loa_group_option_5;Gurubashi Loa;;;;;;;;;;;;;x
Loa_group_option_6;Sandfury Loa;;;;;;;;;;;;;x
Loa_group_option_7;Vilebranch and Witherbark Loa;;;;;;;;;;;;;x
Loa_group_option_8;Zandalari Loa;;;;;;;;;;;;;x
Loa_group_option_9;Presumed Loa;;;;;;;;;;;;;x
;;;;;;;;;;;;;;
#Decisions;;;;;;;;;;;;;;
pick_main_loa;Pick a Loa to Worship;;;;;;;;;;;;;x
pick_main_loa_desc;Loa are the spirits of all!;;;;;;;;;;;;;x
pick_main_loa_tooltip;§Y[Root.GetTitledFirstName]§! gets to pick a new Loa to worship.;;;;;;;;;;;;;x
pick_main_loa_timer_tooltip;You have NOT picked a Loa in past 10 years;;;;;;;;;;;;;x
;;;;;;;;;;;;;;
#Events;;;;;;;;;;;;;;
EVTDESC_WCLOA_1010;The time has come for me to pick one of the Loa to venerate. Every troll has to honour at least one of the spirits, whether it is an animal Loa, or a Loa from spirit realm. Who will I worship?;;;;;;;;;;;;;x
EVTOPTA_WCLOA_1010;I will worship the same Loa as my master!;;;;;;;;;;;;;x
EVTOPTB_WCLOA_1010;Nalorakk, the Bear!;;;;;;;;;;;;;x
EVTOPTC_WCLOA_1010;Akil'zon, the Eagle!;;;;;;;;;;;;;x
EVTOPTD_WCLOA_1010;Jan'alai, the Dragonhawk!;;;;;;;;;;;;;x
EVTOPTE_WCLOA_1010;Halazzi, the Lynx!;;;;;;;;;;;;;x
EVTOPTF_WCLOA_1010;Mahamba, the Water Spirit!;;;;;;;;;;;;;x
EVTOPTG_WCLOA_1010;Tsul'Kalu, the Earth Spirit!;;;;;;;;;;;;;x
EVTOPTH_WCLOA_1010;Pogeyan, the Fire Spirit!;;;;;;;;;;;;;x
EVTOPTI_WCLOA_1010;Bwonsamdi, the Guardian of the Dead!;;;;;;;;;;;;;x
EVTOPTK_WCLOA_1010;Shango, the Loa of the Storms!;;;;;;;;;;;;;x
EVTOPTL_WCLOA_1010;Shirvallah, the Tiger!;;;;;;;;;;;;;x
EVTOPTM_WCLOA_1010;Hir'eek, the Bat!;;;;;;;;;;;;;x
EVTOPTN_WCLOA_1010;Elortha no Shadra, the Spider!;;;;;;;;;;;;;x
EVTOPTO_WCLOA_1010;Akali, the Rhino!;;;;;;;;;;;;;x
EVTOPTP_WCLOA_1010;Har'koa, the Snow Leopard!;;;;;;;;;;;;;x
EVTOPTQ_WCLOA_1010;Mam'toth, the Mammoth!;;;;;;;;;;;;;x
EVTOPTR_WCLOA_1010;Quetz'lun, the Wind Serpent!;;;;;;;;;;;;;x
EVTOPTS_WCLOA_1010;Rhunok, the Arctic Bear!;;;;;;;;;;;;;x
EVTOPTT_WCLOA_1010;Sseratus, the Serpent!;;;;;;;;;;;;;x
EVTOPTU_WCLOA_1010;Tharon'ja, the Skeletal Wind Serpent!;;;;;;;;;;;;;x
EVTOPTV_WCLOA_1010;Dubra'Jin!;;;;;;;;;;;;;x
EVTOPTW_WCLOA_1010;Zim'Abwa!;;;;;;;;;;;;;x
EVTOPTX_WCLOA_1010;Zim'Rhuk, the Wise One!;;;;;;;;;;;;;x
EVTOPTY_WCLOA_1010;Zim'Torga, the Mother of Prosperity!;;;;;;;;;;;;;x
EVTOPTZ_WCLOA_1010;Bethekk, the Panther!;;;;;;;;;;;;;x
EVTOPTAA_WCLOA_1010;Hethiss, the Snake!;;;;;;;;;;;;;x
EVTOPTAB_WCLOA_1010;Akil'darah, the Eagle of Hinterlands!;;;;;;;;;;;;;x
EVTOPTAC_WCLOA_1010;Akunda, the Thunder Lizard!;;;;;;;;;;;;;x
EVTOPTAD_WCLOA_1010;Dambala, the Treacherous!;;;;;;;;;;;;;x
EVTOPTAE_WCLOA_1010;Gral, the Shark!;;;;;;;;;;;;;x
EVTOPTAG_WCLOA_1010;Gonk, the Great Hunter!;;;;;;;;;;;;;x
EVTOPTAH_WCLOA_1010;Jani, the Lord of Thieves!;;;;;;;;;;;;;x
EVTOPTAI_WCLOA_1010;Eraka no Kimbul, the Prey's Doom!;;;;;;;;;;;;;x
EVTOPTAJ_WCLOA_1010;Ueetay no Mueh'zala, the Death!;;;;;;;;;;;;;x
EVTOPTAK_WCLOA_1010;Krag'wa, the Huge!;;;;;;;;;;;;;x
EVTOPTAL_WCLOA_1010;Lukou, the Respite!;;;;;;;;;;;;;x
EVTOPTAM_WCLOA_1010;Pa'ku, the Loa of the Winds!;;;;;;;;;;;;;x
EVTOPTAN_WCLOA_1010;Rezan, the Loa of the Kings!;;;;;;;;;;;;;x
EVTOPTAO_WCLOA_1010;Sethraliss, the Snake!;;;;;;;;;;;;;x
EVTOPTAP_WCLOA_1010;Torcali, the Direhorn!;;;;;;;;;;;;;x
EVTOPTAQ_WCLOA_1010;Torga, the Turtle!;;;;;;;;;;;;;x
EVTOPTAR_WCLOA_1010;Zanza, the Loa of Zandalar!;;;;;;;;;;;;;x
EVTOPTAS_WCLOA_1010;I will worship one Loa from the ancient Zandalar!;;;;;;;;;;;;;x
;;;;;;;;;;;;;;
#Modifiers;;;;;;;;;;;;;;
follower_of_nalorakk ;Follower of Nalorakk;;;;;;;;;;;;;x
follower_of_akilzon;Follower of Akil'zon;;;;;;;;;;;;;x
follower_of_janalai;Follower of Jan'alai;;;;;;;;;;;;;x
follower_of_halazzi;Follower of Halazzi;;;;;;;;;;;;;x
follower_of_mahamba;Follower of Mahamba;;;;;;;;;;;;;x
follower_of_tsulkalu;Follower of Tsul'Kalu;;;;;;;;;;;;;x
follower_of_pogeyan;Follower of Pogeyan;;;;;;;;;;;;;x
follower_of_bwonsamdi;Follower of Bwonsamdi;;;;;;;;;;;;;x
follower_of_shango;Follower of Shango;;;;;;;;;;;;;x
follower_of_shirvallah;Follower of Shirvallah;;;;;;;;;;;;;x
follower_of_hireek;Follower of Hir'eek;;;;;;;;;;;;;x
follower_of_shadra;Follower of Elortha no Shadra;;;;;;;;;;;;;x
follower_of_akali;Follower of Akali;;;;;;;;;;;;;x
follower_of_harkoa;Follower of Har'koa;;;;;;;;;;;;;x
follower_of_mamtoth;Follower of Mam'toth;;;;;;;;;;;;;x
follower_of_quetzlun;Follower of Quetz'lun;;;;;;;;;;;;;x
follower_of_rhunok;Follower of Rhunok;;;;;;;;;;;;;x
follower_of_sseratus;Follower of Sseratus;;;;;;;;;;;;;x
follower_of_tharonja;Follower of Tharon'ja;;;;;;;;;;;;;x
follower_of_dubrajin;Follower of Dubra'Jin;;;;;;;;;;;;;x
follower_of_zimabwa;Follower of Zim'Abwa;;;;;;;;;;;;;x
follower_of_zimrhuk;Follower of Zim'Rhuk;;;;;;;;;;;;;x
follower_of_zimtorga;Follower of Zim'Torga;;;;;;;;;;;;;x
follower_of_bethekk;Follower of Bethekk;;;;;;;;;;;;;x
follower_of_hethiss;Follower of Hethiss;;;;;;;;;;;;;x
follower_of_kimbul;Follower of Eraka no Kimbul;;;;;;;;;;;;;x
