#CODE;ENGLISH;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
wc_keep1_fel;Demon Outpost;;;;;;;;;;;;;x
wc_keep2_fel;Legion Command Post;;;;;;;;;;;;;x
wc_keep3_fel;Burning Legion Command Center;;;;;;;;;;;;;x
wc_keep4_fel;Demonic Bastion;;;;;;;;;;;;;x
wc_keep5_fel;Legion Battle Fortress;;;;;;;;;;;;;x
wc_keep6_fel;Burning Legion Citadel;;;;;;;;;;;;;x
wc_keep1_fel_desc;A outpost of the Burning Legion, where a number of demon laborers and soldiers have set up a pernament encampment.;;;;;;;;;;;;;x
wc_keep2_fel_desc;A major Legion center of tactical interest, being a main rockbed of a major demonic incursion. A command post has been set up to help solidify legion operations in the region.;;;;;;;;;;;;;x
wc_keep3_fel_desc;A major base of operations for the Burning Legion and it's minions, supporting a much larger set of command posts and operational offices for supporting a much larger demon army.;;;;;;;;;;;;;x
wc_keep4_fel_desc;A sizable demonic keep which supports sizable fel walls and supports a number of armories to keep an advanced Legion host both protected and well supplied;;;;;;;;;;;;;x
wc_keep5_fel_desc;A large demonic fortress with tall black walls, a ringed inner courtyard of vile fires which helps support a number of tactical offices and dark armories to help push forward the Legion's ultimate goals, a sight to give even the most hardened warrior on azeroth fright.;;;;;;;;;;;;;x
wc_keep6_fel_desc;A vast demonic sprawl of keeps, walls, and defensive buildings used to house a much larger demonic host, a palace worthy of any pitlord or other high commanding demon. Vast morbid trophies line it's emerald illuminated walls, and portals churn out countless hapless demons to serve the dark titan's will.;;;;;;;;;;;;;x
wc_barracks1_fel;Burning Encampment;;;;;;;;;;;;;x
wc_barracks2_fel;Legion War Garrison;;;;;;;;;;;;;x
wc_barracks3_fel;Burning Barracks;;;;;;;;;;;;;x
wc_barracks4_fel;Legion Portal Barracks;;;;;;;;;;;;;x
wc_barracks1_fel_desc;A infernal camp in which a demonic host has set up a sizable retreat, green lit camp fires and unkept demonic lairs sprout the blighted land to keep the demonic host well kept and battle ready.;;;;;;;;;;;;;x
wc_barracks2_fel_desc;A decently sized demonic barracks made from the ruins and rubble of destroyed structures and covered in a depressing toxic blight, a safe training ground for Legion demons and a mustering ground for it's fel hosts.;;;;;;;;;;;;;x
wc_barracks3_fel_desc;A demonic barracks fit for the Legion's more elite hosts of warriors, various demonic entities which serve the Dark Titan call this place home, training ceaselessly and caring for the non-sentient demonic creatures at the beck and call of the Legion's masters.;;;;;;;;;;;;;x
wc_barracks4_fel_desc;A huge burning castle used for the purpose of storing the demonic hosts of the Burning Legion, a number of demon lairs, dark armories, and countless workshops litter the dim lit halls of this wretched arsenal.;;;;;;;;;;;;;x
wc_golems1_fel;Infernal Grounds;;;;;;;;;;;;;x
wc_golems2_fel;Infernal Patrol;;;;;;;;;;;;;x
wc_golems3_fel;Doom Guard Fiefdom;;;;;;;;;;;;;x
wc_golems4_fel;Doom Guard Fortress;;;;;;;;;;;;;x
wc_golems1_fel_desc;A landing ground for infernals far away from the legion battlefields. Infernals are large demonic constructs which emit fel fire from their bodies, being assault troops to overwhelm and destroy the defenses of entire worlds.;;;;;;;;;;;;;x
wc_golems2_fel_desc;A patrolling ground for Inferni, looking for and exterminating life. Infernals are demonic constructs made from fel fire, used as shock troops to overwhelm the defenses of entire worlds.;;;;;;;;;;;;;x
wc_golems3_fel_desc;A personal demonic estate of the Ered'ruin, a reward for their valiant and destructive service. Doom Guards are a common elite soldier amongst the burning Legion, utterly loyal and brutally powerful in both strength and magic.;;;;;;;;;;;;;x
wc_golems4_fel_desc;A Legion fortress run by the Ered'ruin, a place in which acts as a barracks for the Doom Guard, but also a safe station to store their weapons, armor, and servants. Doom Guard are a elite shock troop of the Ered'ruin who are utterly loyal and skilled in both strength and magic.;;;;;;;;;;;;;x
wc_feltrophy1_fel;Trophy of a Doomed World;;;;;;;;;;;;;x
wc_feltrophy2_fel;Defiled Holy Place;;;;;;;;;;;;;x
wc_feltrophy3_fel;Burning Grounds;;;;;;;;;;;;;x
wc_feltrophy4_fel;Demonic Enclave;;;;;;;;;;;;;x
wc_feltrophy1_fel_desc;A deeply morbid trophy of a legion overrun world, countless bodies which surround a now corrupted statue or shrine, a place of forboding silence and vile forshadowing of Azeroth's future.;;;;;;;;;;;;;x
wc_feltrophy2_fel_desc;A former religious temple or shrine which has now become a storage for corpses and a workshop for demonic creativity, much of what was once dedicated to gods and spirits is now a unholy sanctum of death and decay.;;;;;;;;;;;;;x
wc_feltrophy3_fel_desc;An execution ground for demon kind, a vile place in which the demons burn their victims alive, lighting vast pyres of their prisoners and victims, delighting in the torture. A ever present reminder of demonic cruelty.;;;;;;;;;;;;;x
wc_feltrophy4_fel_desc;A once simple village having become a demonic infestation, where minor demons, their laborers, and their warped slaves tirelessly colonize, a horrific sign of things to come.;;;;;;;;;;;;;x
wc_feladdon1_fel;Imp Pit;;;;;;;;;;;;;x
wc_feladdon2_fel;Felhound Kennels;;;;;;;;;;;;;x
wc_feladdon3_fel;Succubi Lair;;;;;;;;;;;;;x
wc_feladdon4_fel;Felhunter Beastiary;;;;;;;;;;;;;x
wc_feladdon1_fel_desc;A deep and forboding pit in which several Imp Mothers had laid claim to, becoming a sizable Imp Borrow. Imps hone their skills for destruction within the villanous enviornment.;;;;;;;;;;;;;x
wc_feladdon2_fel_desc;A corral of demonic cages and demon smiths dedicated to producing armor and collars for felhounds, being trained and tamed in a way to serve their masters better and more skillfully.;;;;;;;;;;;;;x
wc_feladdon3_fel_desc;The decadent lair of Succubi, often torturing a prisoner or reveling in the sorrow of some poor creature. The well furnished lair also serves as a home away from home, allowing the demonic mistresses rest and relaxation before returning to their battlefronts.;;;;;;;;;;;;;x
wc_feladdon4_fel_desc;A sizable structure in which vast kennels rise to the top of the dark arena, where demonic houndmasters and their ilk train new breeds of elite felhunters, training them relentlessly to be ever more effective.;;;;;;;;;;;;;x
