#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
Loa_group_option_next_1;Show me more gods!;;;;;;;;;;;;;x
Loa_group_option_previous_1;Show me the previous gods!;;;;;;;;;;;;;x
Loa1001;Early troll tribes, though varying wildly in customs and traditions, all shared a common religion: the worship and reverence for the Wild Gods. Now it is your time to pick a one of these gods and follow its wisdom;;;;;;;;;;;;;x


Loa_group_option_1;Amani Loa;;;;;;;;;;;;;x
Loa_group_option_2;Bloodscalp Totemic Spirits;;;;;;;;;;;;;x
Loa_group_option_3;Darkspear Loa;;;;;;;;;;;;;x
Loa_group_option_4;Drakkari Loa;;;;;;;;;;;;;x
Loa_group_option_5;Gurubashi Loa;;;;;;;;;;;;;x
Loa_group_option_6;Sandfury Loa;;;;;;;;;;;;;x
Loa_group_option_7;Vilebranch and Witherbark Loa;;;;;;;;;;;;;x
Loa_group_option_8;Zandalari Loa;;;;;;;;;;;;;x
Loa_group_option_9;Presumed Loa;;;;;;;;;;;;;x


;;;;;;;;;;;;;x
;;;;;;;;;;;;;x
;;;;;;;;;;;;;x
