# d_kalu_ak
1.1.1={
	law = true_cognatic_succession
	liege=d_kalu_ak
}
25.1.1={holder=170400} #Hemmoq[113004]
84.10.10={holder=170401} #Sheniq[113004]
105.01.20={holder=170405} #Tagha[113004]
117.03.20={holder=170413} #Hih'chi[113004]
146.12.28={holder=170415} #Nimnok[113004]
174.06.09={holder=170420} #Ullat[113004]
216.10.18={holder=170423} #Shopvimeq[113004]
243.03.15={holder=170428} #Hooh'chalot[113004]
282.08.11={holder=170432} #Ninnoolo[113004]
281.11.05={holder=170440} #Wumanok[113004]
332.11.27={holder=170448} #Hultak[113004]
362.06.21={holder=170449} #Mujoghui[113004]
386.09.13={holder=170456} #Horngur[113004]
400.08.27={holder=170461} #Tuangu[113004]
427.10.20={holder=170463} #Nonguak[113004]
478.04.17={holder=170465} #Tuangu[113004]
494.10.07={holder=170474} #Yoneamo[113004]
540.02.19={holder=170477} #Kailtu[113004]
535.06.20={holder=170481} #Togaahon[113004]
571.05.29={holder=170485} #Shoanre[113004]
613.10.04={holder=170487} #Hisu[113004]
