#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
e_ahnqiraj;Ahn'qiraj;Ahn'Qiraj;Ahn'qiraj;;Ahn'qiraj;;;;;;;;;x
e_ahnqiraj_adj;Ahn'qirajian;qiraji;ahn'qirajer;;;;;;;;;;;x
e_amani;Amani;Amani;Amani;;Amani;;;;;;;;;x
e_amani_adj;Amanian;amani;amaner;;;;;;;;;;;x
e_arathor_empire;Arathor Empire;Empire arathorien;Arathor Empire;;Arathor Empire;;;;;;;;;x
e_arathor_empire_adj;Arathi;arathie;arathisch;;;;;;;;;;;x
e_azeroth;Azeroth;Azeroth;Azeroth;;Azeroth;;;;;;;;;x
e_azeroth_adj;Azerothian;azérothienne;azerother;;;;;;;;;;;x
e_drakkari;Drakkari;Drakkari;Drakkari;;Drakkari;;;;;;;;;x
e_drakkari_adj;Drakkarian;drakkari;drakkarer;;;;;;;;;;;x
e_eldrethalas;Eldre'thalas;Eldre'thalas;Eldre'thalas;;Eldre'thalas;;;;;;;;;x
e_eldrethalas_adj;Eldre'thalasian;eldre'thalassienne;eldre'thalaser;;;;;;;;;;;x
e_great_barrens;Great Barrens;Grandes Tarides;Great Barrens;;Great Barrens;;;;;;;;;x
e_great_barrens_adj;Great Barrensian;des Grandes Tarides;Great Barrenser;;;;;;;;;;;x
e_gurubashi;Gurubashi;Gurubashi;Gurubashi;;Gurubashi;;;;;;;;;x
e_gurubashi_adj;Gurubashian;gurubashi;gurubasher;;;;;;;;;;;x
e_kaldorei;Kaldorei;Kaldorei;Kaldorei;;Kaldorei;;;;;;;;;x
e_kaldorei_adj;Kaldorian;kaldorei;kaldorer;;;;;;;;;;;x
e_kezan;Kezan;Kezan;Kezan;;Kezan;;;;;;;;;x
e_kezan_adj;Kezanian;kezanienne;kezaner;;;;;;;;;;;x
e_khaz_modan;Khaz Modan;Khaz Modan;Khaz Modan;;Khaz Modan;;;;;;;;;x
e_khaz_modan_adj;Khaz Modanian;khazmodanienne;Khaz Modaner;;;;;;;;;;;x
e_kul_tiras;Kul Tiras;Kul Tiras;Kul Tiras;;Kul Tiras;;;;;;;;;x
e_kul_tiras_adj;Kul Tiran;kultirassienne;kultirisch;;Kul Tiras;;;;;;;;;x
e_lordaeron;Lordaeron;Lordaeron;Lordaeron;;Lordaeron;;;;;;;;;x
e_lordaeron_adj;Lordaeronian;lordaeronaise;lordaeroner;;;;;;;;;;;x
e_quelthalas;Quel'Thalas;Quel'Thalas;Quel'Thalas;;Quel'Thalas;;;;;;;;;x
e_quelthalas_adj;Thalassian;thalassienne;thalassisch;;;;;;;;;;;x
e_storm_peaks;Storm Peaks;Pics Foudroyés;Storm Peaks;;Storm Peaks;;;;;;;;;x
e_storm_peaks_adj;Storm;des Pics Foudroyés;stormisch;;;;;;;;;;;x
e_taunka_wastelands;Great Tundra;Grande Toundra;;;;;;;;;;;;x
e_taunka_wastelands_adj;Tundra;boréenne;;;;;;;;;;;;x
e_uldum;Uldum;Uldum;Uldum;;Uldum;;;;;;;;;x
e_uldum_adj;Uldumian;uldumienne;uldumer;;;;;;;;;;;x
e_utgarde;Utgarde;Utgarde;Utgarde;;Utgarde;;;;;;;;;x
e_utgarde_adj;Utgardean;utgardéenne;utgarder;;;;;;;;;;;x
e_zandalari;Zandalari;Zandalari;Zandalari;;Zandalari;;;;;;;;;x
e_zandalari_adj;Zandalarian;zandalari;zandalarer;;;;;;;;;;;x
e_zulfarrak;Farraki;Farraki;Farraki;;Farraki;;;;;;;;;x
e_zulfarrak_adj;Farraki;Farraki;Farraki;;;;;;;;;;;x
