#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
creature_human;Human;Humain;Mensch;;;;;;;;;;;x
creature_human_desc;This character is a human. Many years ago, when the Titans left Azeroth, the old gods sent the Curse of the Flesh to the Titans' countless creations. The curse failed to bring them under the old gods' sway, but the vrykul - gloomy, cruel, and warlike giants of the north - were created to protect other servants of the Titans. Because of the curse, Vrykul women began to give birth to weak, ugly children. King Imiron, the ruler of the whole Vrykul people, found out about this and believed that the Titans turned away from his people. Thus, he renounced the creators, ordering the killing of the "spoiled" offspring - but not all mothers fulfilled the king's decree. Those who could not do this fled to the south, and their children became the ancestors of man. Humans are one of the youngest races in Azeroth, but they have already withstood many trials with honour. Proud and unbending, humans are diverse and capable of any job, but are most skilled at diplomacy and solving problems peacefully.;;Dieser Charakter ist ein Mensch. Vor Äonen, als die Titanen Azeroth verließen, sandten die alten Götter den Fluch des Fleisches über die Geschöpfe der Titanen. Es gelang den alten Göttern nicht, sie unter ihre Herrschaft zu zwingen, aber die Vrykul - finstere, grausame und kriegerische Riesen aus dem Norden - wurden geschaffen, um die anderen Diener der Titanen zu beschützen. Aufgrund des Fluchs begannen Vrykulfrauen schwächliche, hässliche Kinder zu gebären. Als König Imiron, der Herrscher des Volks der Vrykul, dies herausfand, glaubte er, dass die Titanen sich von seinem Volk abwandten. Daher schwor er den Schöpfern ab und ordnete die Tötung sämtlicher 'verderbter' Abkömmlinge an. Aber nicht alle Mütter kamen der königlichen Anordnung nach. Diejenigen, die hierzu nicht in der Lage waren, flohen in den Süden. Ihre Kinder wurden die Urahnen der heutigen Menschen.\nObwohl die Menschen eine der jüngsten Rassen in Azeroth sind, haben sie doch bereits diverse Prüfungen ehrenvoll durchgestanden. Die stolzen und unbeugsamen Menschen sind vielfältig in ihren Talenten und fähig, jede Aufgabe zu meistern, ihre hervorragendsten Qualitäten liegen jedoch in der Diplomatie und der friedlichen Problemlösung.;;;;;;;;;;;x
creature_gnoll;Gnoll;Gnoll;Gnoll;;;;;;;;;;;x
creature_gnoll_desc;Gnolls are cunning, animal-like folk - a hybrid of man with hyena. A big hump, a long neck, and clumsy fingers do not stop them from fighting, and conflict itself is a way of life for this race. Gnolls are very violent creatures, even over the smallest dispute, they are liable to gnaw at each other's throats - and in a literal sense, as they devour all creatures, including members of their own race. In their society, the Cult of Power flourishes. Tribal leaders are among the strongest, while the weak are consumed. Gnolls are lazy and primitive, as they have not yet mastered metalworking and still prefer a nomadic way of life.;;Gnolle sind ein durchtriebenes tierähnliches Volk, Chimären aus Mensch und Hyäne. Weder der Buckel, noch der lange Nacken oder die klobigen Finger hindern sie am Kämpfen, der Konflikt selbst bestimmt den Lebensweg der Gnolle. Sie sind sehr gewalttätige Wesen. Aus den unbedeutendsten Gründen gehen sie einander an die Gurgel, und zwar wortwörtlich. Als Allesfresser verschlingen sie alles und jeden, der ihnen unterlegen ist, einschließlich Mitgliedern ihrer eigenen Rasse. In ihrer Gesellschaft gilt das Recht des stärkeren, daher sind die Stammesführer für gewöhnlich die Kräftigsten unter ihnen, während die Schwachen verzehrt werden. Als träge und primitive Geschöpfe die sie sind haben Gnolle die Metallverarbeitung noch nicht für sich entdecken können und bevorzugen noch immer einen nomadischen Lebensstil.;;;;;;;;;;;x
creature_murloc;Murloc;Murloc;Murloc;;;;;;;;;;;x
creature_murloc_desc;Murlocs are a strange combination of humanoid and fish, an ancient two-legged race of amphibians. They live along the coasts and within the depts of oceans, the coasts of lakes and rivers, as well as in underwater ruins. Murlocs are capable of breathing on land, although they rarely risk moving too far from water. Their hunched appearance is rather awkward, but don't let this mislead you - some murlocs travel overland with great speed and agility. Murlocs do not care about individuality or creativity, as this does not help the survival of the tribe or most of their race. They value obedience above all else. Agility and cruelty are also important to them, reflected in their hunting skills and strength.;;Murlocs stellen eine eigenartige Kombination aus Mensch und Fisch dar, dabei handelt es sich um eine uralte zweibeinige Amphibienrasse. Sie leben entlang der Küsten und in den Tiefen der Ozeane, an den Küsten von Flüssen und Seen, sowie in unterseeischen Ruinen. Murlocs können auch an Land atmen, doch riskieren sie es selten, sich allzu weit vom Wasser zu entfernen. Ihre buckelige Erscheinung lässt sie eher ungeschickt wirken, aber lasst Euch davon nicht täuschen - einige von ihnen bewegen sich auch an Land mit großer Geschwindigkeit und Gewandtheit. Murlocs geben nicht viel auf Individualität oder Kreativität, da derartige Eigenschaften weder dem Stamm noch dem Großteil der Rasse zum Überleben nützen. Daher schätzen sie Gehorsam über alles. Gewandtheit und Grausamkeit sind für sie ebenso von größter Wichtigkeit, wie sich auch in ihren ihrem Jagdgeschick und ihrer Stärke zeigt.;;;;;;;;;;;x
creature_troll;Troll;Troll;Troll;;;;;;;;;;;x
creature_troll_desc;Trolls are an ancient race, as mysterious as they are dangerous. Their numerous tribes inhabit every corner of the world. They have been at the center of a racial war with the men, dwarves, and elves of Azeroth since the beginning of their chronicles. All trolls have impressive physical regeneration, they may be cured of serious wounds and even restore lost limbs. They are larger than the average human. The colour of their skin ranges in a great variety, from light green and blue to dark gray. They are agile, cunning, and completely ruthless when they hunt their prey - no matter whether this prey is a wild animal or a sentient being. Undoubtedly, angering trolls or considering them primitive and stupid is a serious mistake.;;Trolle sind eine uralte Rasse, ebenso mysteriös wie gefährlich. Mitglieder ihrer unzähligen Stämme finden sich in jeder Ecke Azeroths. Seit Anbeginn der Zeit führen sie einen Krieg gegen die Menschen, Elfen und Zwerge. Alle Trolle verfügen über eine beeindruckende physische Regenerationsfähigkeit, welche ihnen erlaubt, sich von schwere Wunden zu erholen und sogar abgetrennte Körperteile nachwachsen zu lassen. Ihr Körperbau ist größer als der eines Menschen und ihre Hautfarbe reicht von hellem Grün über Blau bis zu dunklem Grau. Sie sind äußerst beweglich, gerissen und absolut rücksichtslos, wenn sie ihrer Beute nachstellen, und dabei ist es völlig gleichgültig, ob es sich bei der Beute nun um ein wildes Tier handelt, oder ein denkendes Wesen. Zweifellos ist es schwerer Fehler, Trolle zu verärgern oder sie für primitiv und dumm zu halten.;;;;;;;;;;;x
creature_ogre;Ogre;Ogre;Oger;;;;;;;;;;;x
creature_ogre_desc;Ogres are tall and fat humanoids with huge arms and a large belly. They are extremely strong and love to demonstrate this fact. In battle, they are charging with a loud cry, most often wielding a giant club. Few can hold their own against an enraged ogre, and taking one down is even more difficult. The strongest warrior leads the tribe: no ogre questions the rule of the strongest. However, if the leader shows signs of weakness another ogre can challenge the chieftain in order to usurp his place. Although there are those in their society who are capable of mystical arts, the majority of ogres do not share this pursuit, for they are not particularly intelligent. A rare offshoot of the ogre race has two heads instead of one. The second head is almost always one-eyed, and, unfortunately, as stupid as the other head: the heads can conflict and even fight eachother.;;Oger sind riesenhafte Humanoide mit gewaltigen Armen und einem noch gewaltigeren Bauch. Sie sind außergewöhnlich stark und lieben es, diese Tatsache zur Schau zu stellen. Sie stürzen sich mit lauten Schreien in die Schlacht, oftmals mit einer riesigen Keule in der Hand. Nur Wenige können einem erzürnten Oger standhalten, einen dieser Riesen niederzuwerfen ist noch einmal bedeutend schwieriger. Da kein Oger auf die Idee käme, die Herrschaft des stärksten anzufechten, führen eben die stärksten Oger ihre jeweiligen Stämme an. Wenn jedoch ein Anführer Anzeichen von Schwäche offenbart, ist jeder Oger berechtigt, seinen Häuptling herauszufordern, um seinen Platz einzunehmen. Obwohl es auch unter den Ogern magiebegabte Mystiker gibt, ist die Mehrheit lediglich zu dämlich dafür. Eine seltene Seitenlinie der Oger wird mit zwei Köpfen geboren. Dieser zweite Kopf hat fast immer nur ein Auge und ist, unglücklicherweise, ebenso einfältig wie der andere. Dies führt dazu, dass sich die beiden Köpfe nicht selten streiten und sogar bekämpfen.;;;;;;;;;;;x
creature_orc;Orc;Orc;Ork;;;;;;;;;;;x
