#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
b_aamsk;Aamsk;Aamsk;Aamsk;;Aamsk;;;;;;;;;x
b_aamsk_adj;Aamskian;;aamsker;;;;;;;;;;;x
b_aamsk_2;Aamsk;Aamsk;Aamsk;;Aamsk;;;;;;;;;x
b_aamsk_2_adj;Aamskian;;aamsker;;;;;;;;;;;x
b_aamsk_3;Aamsk;Aamsk;Aamsk;;Aamsk;;;;;;;;;x
b_aamsk_3_adj;Aamskian;;aamsker;;;;;;;;;;;x
b_aamsk_4;Aamsk;Aamsk;Aamsk;;Aamsk;;;;;;;;;x
b_aamsk_4_adj;Aamskian;;aamsker;;;;;;;;;;;x
b_abanreach;Abanreach;Abanreach;Abanreach;;Abanreach;;;;;;;;;x
b_abanreach_adj;Abanreachian;;abanreacher;;;;;;;;;;;x
b_abanreach_2;Abanreach;Abanreach;Abanreach;;Abanreach;;;;;;;;;x
b_abanreach_2_adj;Abanreachian;;abanreacher;;;;;;;;;;;x
b_abanreach_3;Abanreach;Abanreach;Abanreach;;Abanreach;;;;;;;;;x
b_abanreach_3_adj;Abanreachian;;abanreacher;;;;;;;;;;;x
b_abassi_coast;Abassi Coast;Abassi Coast;Abassi Coast;;Abassi Coast;;;;;;;;;x
b_abassi_coast_adj;Abassi Coastian;;Abassi Coaster;;;;;;;;;;;x
b_abassi_coast_2;Abassi Coast;Abassi Coast;Abassi Coast;;Abassi Coast;;;;;;;;;x
b_abassi_coast_2_adj;Abassi Coastian;;Abassi Coaster;;;;;;;;;;;x
b_abassi_coast_3;Abassi Coast;Abassi Coast;Abassi Coast;;Abassi Coast;;;;;;;;;x
b_abassi_coast_3_adj;Abassi Coastian;;Abassi Coaster;;;;;;;;;;;x
b_acton;Acton;Acton;Acton;;Acton;;;;;;;;;x
b_acton_adj;Actonian;;actoner;;;;;;;;;;;x
b_addington;Addington;Addington;Addington;;Addington;;;;;;;;;x
b_addington_adj;Addingtonian;;addingtoner;;;;;;;;;;;x
b_addle;Addle;Addle;Addle;;Addle;;;;;;;;;x
b_addle_adj;Addlean;;addler;;;;;;;;;;;x
b_addle_2;Addle;Addle;Addle;;Addle;;;;;;;;;x
b_addle_2_adj;Addlean;;addler;;;;;;;;;;;x
b_addle_3;Addle;Addle;Addle;;Addle;;;;;;;;;x
b_addle_3_adj;Addlean;;addler;;;;;;;;;;;x
b_addle_4;Addle;Addle;Addle;;Addle;;;;;;;;;x
b_addle_4_adj;Addlean;;addler;;;;;;;;;;;x
b_aderic;Aderic;Aderic;Aderic;;Aderic;;;;;;;;;x
b_aderic_adj;Aderician;;adericer;;;;;;;;;;;x
b_aderic_2;Aderic;Aderic;Aderic;;Aderic;;;;;;;;;x
b_aderic_2_adj;Aderician;;adericer;;;;;;;;;;;x
b_aderic_3;Aderic;Aderic;Aderic;;Aderic;;;;;;;;;x
b_aderic_3_adj;Aderician;;adericer;;;;;;;;;;;x
b_aerie_peak;Aerie Peak;Aerie Peak;Aerie Peak;;Aerie Peak;;;;;;;;;x
b_aerie_peak_adj;Aerie Peakian;;Aerie Peaker;;;;;;;;;;;x
b_aerie_peak_2;Aerie Peak;Aerie Peak;Aerie Peak;;Aerie Peak;;;;;;;;;x
