#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
c_aamsk;Aamsk;Aamsk;Aamsk;;Aamsk;;;;;;;;;x
c_aamsk_adj;Aamskian;;aamsker;;;;;;;;;;;x
c_abanreach;Abanreach;Abanreach;Abanreach;;Abanreach;;;;;;;;;x
c_abanreach_adj;Abanreachian;;abanreacher;;;;;;;;;;;x
c_abassi_coast;Abassi Coast;Abassi Coast;Abassi Coast;;Abassi Coast;;;;;;;;;x
c_abassi_coast_adj;Abassi Coastian;;Abassi Coaster;;;;;;;;;;;x
c_addle;Addle;Addle;Addle;;Addle;;;;;;;;;x
c_addle_adj;Addlean;;addler;;;;;;;;;;;x
c_aderic;Aderic;Aderic;Aderic;;Aderic;;;;;;;;;x
c_aderic_adj;Aderician;;adericer;;;;;;;;;;;x
c_aerie_peak;Aerie Peak;Aerie Peak;Aerie Peak;;Aerie Peak;;;;;;;;;x
c_aerie_peak_adj;Aerie Peakian;;Aerie Peaker;;;;;;;;;;;x
c_aessina;Aessina;Aessina;Aessina;;Aessina;;;;;;;;;x
c_aessina_adj;Aessinan;;aessiner;;;;;;;;;;;x
c_aessina_2;Aessina;Aessina;Aessina;;Aessina;;;;;;;;;x
c_aessina_2_adj;Aessinan;;aessiner;;;;;;;;;;;x
c_agamagar;Agamagar;Agamagar;Agamagar;;Agamagar;;;;;;;;;x
c_agamagar_adj;Agamagarian;;agamagarer;;;;;;;;;;;x
c_agamagor;Agama'gor;Agama'gor;Agama'gor;;Agama'gor;;;;;;;;;x
c_agamagor_adj;Agama'gorian;;agama'gorer;;;;;;;;;;;x
c_agamand;Agamand;Agamand;Agamand;;Agamand;;;;;;;;;x
c_agamand_adj;Agamandian;;agamander;;;;;;;;;;;x
c_agneepath;Agneepath;Agneepath;Agneepath;;Agneepath;;;;;;;;;x
c_agneepath_adj;Agneepathian;;agneepather;;;;;;;;;;;x
c_agolwatha;Agol'watha;Agol'watha;Agol'watha;;Agol'watha;;;;;;;;;x
c_agolwatha_adj;Agol'wathan;;agol'wather;;;;;;;;;;;x
c_ahnqiraj;Ahn'qiraj;Ahn'qiraj;Ahn'qiraj;;Ahn'qiraj;;;;;;;;;x
c_ahnqiraj_adj;Ahn'qirajian;;ahn'qirajer;;;;;;;;;;;x
c_aiszuldo;Aiszul'do;Aiszul'do;Aiszul'do;;Aiszul'do;;;;;;;;;x
c_aiszuldo_adj;Aiszul'dian;;aiszul'der;;;;;;;;;;;x
c_akhenet;Akhenet;Akhenet;Akhenet;;Akhenet;;;;;;;;;x
c_akhenet_adj;Akhenetian;;akheneter;;;;;;;;;;;x
c_akilzon;Akil'zon;Akil'zon;Akil'zon;;Akil'zon;;;;;;;;;x
c_akilzon_adj;Akil'zonian;;akil'zoner;;;;;;;;;;;x
c_alberlin;Alberlin;Alberlin;Alberlin;;Alberlin;;;;;;;;;x
c_alberlin_adj;Alberlinian;;alberliner;;;;;;;;;;;x
c_alcaz;Alcaz;Alcaz;Alcaz;;Alcaz;;;;;;;;;x
c_alcaz_adj;Alcazian;;alcazer;;;;;;;;;;;x
c_aldurthar;Aldur'thar;Aldur'thar;Aldur'thar;;Aldur'thar;;;;;;;;;x
c_aldurthar_adj;Aldur'tharian;;aldur'tharer;;;;;;;;;;;x
c_allaeis;Allaeis;Allaeis;Allaeis;;Allaeis;;;;;;;;;x
c_allaeis_adj;Allaeisian;;allaeiser;;;;;;;;;;;x
