PROV1;Stormwind;Stormwind;Stormwind;;;;;;;;;x
PROV6;Goldshire;Goldshire;Goldshire;;;;;;;;;x
PROV7;Northshire;Northshire;Northshire;;;;;;;;;x
PROV8;Northfield;Northfield;Northfield;;;;;;;;;x
PROV9;Westbrook;Westbrook;Westbrook;;;;;;;;;x
PROV10;Southmead;Southmead;Southmead;;;;;;;;;x
PROV11;Stonefield;Stonefield;Stonefield;;;;;;;;;x
PROV12;Sunnyglade;Sunnyglade;Sunnyglade;;;;;;;;;x
PROV13;Tower of Azora;Tower of Azora;Tower of Azora;;;;;;;;;x
PROV14;Eastvale;Eastvale;Eastvale;;;;;;;;;x
PROV15;Lonely Tower;Lonely Tower;Lonely Tower;;;;;;;;;x
PROV16;Stonecairn;Stonecairn;Stonecairn;;;;;;;;;x
PROV17;Moonbrook;Moonbrook;Moonbrook;;;;;;;;;x
PROV18;Sandfoot;Sandfoot;Sandfoot;;;;;;;;;x
PROV19;Fulbrow;Fulbrow;Fulbrow;;;;;;;;;x
PROV20;Molsen;Molsen;Molsen;;;;;;;;;x
PROV21;Lakeshire;Lakeshire;Lakeshire;;;;;;;;;x
PROV22;Three Corners;Three Corners;Three Corners;;;;;;;;;x
PROV23;Lakeridge;Lakeridge;Lakeridge;;;;;;;;;x
PROV24;Alther;Alther;Alther;;;;;;;;;x
PROV25;Blackrock Pass;Blackrock Pass;Blackrock Pass;;;;;;;;;x
PROV27;Gold Coast;Gold Coast;Gold Coast;;;;;;;;;x
PROV28;Longshore;Longshore;Longshore;;;;;;;;;x
PROV29;Sentinel Hill;Sentinel Hill;Sentinel Hill;;;;;;;;;x
PROV30;Demont;Demont;Demont;;;;;;;;;x
PROV31;Dust Plains;Dust Plains;Dust Plains;;;;;;;;;x
PROV32;Mortwake's Tower;Mortwake's Tower;Mortwake's Tower;;;;;;;;;x
PROV33;Redridge Canyons;Redridge Canyons;Redridge Canyons;;;;;;;;;x
PROV34;Shalewind;Shalewind;Shalewind;;;;;;;;;x
PROV35;Galardell;Galardell;Galardell;;;;;;;;;x
PROV36;Highland Path;Highland Path;Highland Path;;;;;;;;;x
