#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
cannotBuildTradePost;Is not tribal or publicly practice an evil religion;N'est pas tribal ou ne pratique pas publiquement une religion maléfique;Ist kein Stamm oder praktiziert öffentlich eine böse Religion;;;;;;;;;;;x
;;;;;;;;;;;;;;x
eastern_kingdoms_south_trade_route;Azerothian Trade Route;Route commerciale azérothienne;Azerothische Handelsroute;;;;;;;;;;;x
eastern_kingdoms_north_trade_route;Lordaeron Trade Route;Route commerciale lordaeronaise;Lordaeron'sche Handelsroute;;;;;;;;;;;x
eastern_kingdoms_west_sea_trade_route;Eastern Sea Trade Route;Route commerciale de la mer de l'Est;Östliche Seehandelsroute;;;;;;;;;;;x
kalimdor_trade_route;Gold Road Trade Route;Route commerciale de la route de l'Or;Goldstraßen-Handelsroute;;;;;;;;;;;x
kalimdor_east_sea_trade_route;Kaldorei Sea Trade Route;Route commerciale de la mer kaldorei;Kaldoreiische Seehandelsroute;;;;;;;;;;;x
great_sea_trade_route;Great Sea Trade Route;Route commerciale de la Grande mer;Große Seehandelsroute;;;;;;;;;;;x
;;;;;;;;;;;;;;x
eastern_kingdoms_north_trade_route_tooltip;Can only build §YTrade Posts§! in certain Counties along the §YLordearon Trade Route§!\n        Open the §YTrade Zones Mapmode§! to see valid Counties;Vous ne pouvez construire de §YComptoirs§! que dans certains comtés sur la §YRoute commerciale lordaeronaise§!\n        Ouvrez la §Ycarte des Routes commerciales§! pour voir les comtés valides;Kann §YHandelsposten§! nur in bestimmten Grafschaften entlang der §YLordearon'schen Handelsroute§! errichten.\n        Öffnet den §YHandelszonen-Kartenmodus§!, um gültige Grafschaften zu sehen.;;;;;;;;;;;x
eastern_kingdoms_south_trade_route_tooltip;Can only build §YTrade Posts§! in certain Counties along the §YAzerothian Trade Route§!\n        Open the §YTrade Zones Mapmode§! to see valid Counties;Vous ne pouvez construire de §YComptoirs§! que dans certains comtés sur la §YRoute commerciale azérothienne§!\n        Ouvrez la §Ycarte des Routes commerciales§! pour voir les comtés valides;Kann §YHandelsposten§! nur in bestimmten Grafschaften entlang der §YAzerothischen Handelsroute§! errichten\n        Öffnet den §YHandelszonen-Kartenmodus§!, um gültige Grafschaften zu sehen.;;;;;;;;;;;x
eastern_kingdoms_west_sea_trade_route_tooltip;Can only build §YTrade Posts§! in certain Counties along the §YEastern Sea Trade Route§!\n        Open the §YTrade Zones Mapmode§! to see valid Counties;Vous ne pouvez construire de §YComptoirs§! que dans certains comtés sur la §YRoute commerciale de la mer de l'Est§!\n        Ouvrez la §Ycarte des Routes commerciales§! pour voir les comtés valides;Kann §YHandelsposten§! nur in bestimmten Grafschaften entlang der §YÖstlichen Seehandelsroute§! errichten\n        Öffnet den §YHandelszonen-Kartenmodus§!, um die gültigen Grafschaften zu sehen.;;;;;;;;;;;x
kalimdor_trade_route_tooltip;Can only build §YTrade Posts§! in certain Counties along the §YGold Road Trade Route§!\n        Open the §YTrade Zones Mapmode§! to see valid Counties;Vous ne pouvez construire de §YComptoirs§! que dans certains comtés sur la §YRoute commerciale de la route de l'Or§!\n        Ouvrez la §Ycarte des Routes commerciales§! pour voir les comtés valides;Kann §YHandelsposten§! nur in bestimmten Grafschaften  entlang der §YGoldstraßen-Handelsroute§! errichten\n        Öffnet den §YHandelszonen-Kartenmodus§!, um die gültigen Grafschaften zu sehen.;;;;;;;;;;;x
kalimdor_east_sea_trade_route_tooltip;Can only build §YTrade Posts§! in certain Counties along the §YKaldorei Sea Trade Route§!\n        Open the §YTrade Zones Mapmode§! to see valid Counties;Vous ne pouvez construire de §YComptoirs§! que dans certains comtés sur la §YRoute commerciale kaldorei§!\n        Ouvrez la §Ycarte des Routes commerciales§! pour voir les comtés valides;Kann §YHandelsposten§! nur in bestimmten Grafschaften  entlang der §YKaldoreiischen Seehandelsroute§! errichten\n        Öffnet den §YHandelszonen-Kartenmodus§!, um die gültigen Grafschaften zu sehen.;;;;;;;;;;;x
great_sea_trade_route_tooltip;Can only build §YTrade Posts§! in certain Counties along the §YGreat Sea Trade Route§!\n        Open the §YTrade Zones Mapmode§! to see valid Counties;Vous ne pouvez construire de §YComptoirs§! que dans certains comtés sur la §YRoute commerciale de la Grande mer§!\n        Ouvrez la §Ycarte des Routes commerciales§! pour voir les comtés valides;Kann §YHandelsposten§! nur in bestimmten Grafschaften  entlang der §YGroßen Seehandelsroute§! errichten\n        Öffnet den §YHandelszonen-Kartenmodus§!, um die gültigen Grafschaften zu sehen.;;;;;;;;;;;x
;;;;;;;;;;;;;;x
text_effect_major_trade_route;This is a §GMajor§! Trade Route;C'est une Route commerciale §Gmajeure§!;Dies ist eine §GBedeutsame§! Handelsroute;;;;;;;;;;;x
text_effect_medium_trade_route;This is a §YMedium§! Trade Route;C'est une Route commerciale §Gmoyenne§!;Dies ist eine §YGewöhnliche§! Handelsroute;;;;;;;;;;;x
text_effect_minor_trade_route;This is a §RMinor§! Trade Route;C'est une Route commerciale §Gmineure§!;Dies ist eine §RUnbedeutende§! Handelsroute;;;;;;;;;;;x
;;;;;;;;;;;;;;x
tr_culture_none;Road Tavern;Taverne routière;Straßentaverne;;;;;;;;;;;x
tr_culture_group_goblin;Zeppelin Tower;Tour des zeppelins;Zeppelinturm;;;;;;;;;;;x
tr_culture_group_night_elf;Resting Lounge;Salle de repos;Erholungslounge;;;;;;;;;;;x
tr_culture_group_high_elf_human_draenei;Jeweler's Shop;Bijouterie;Juweliere;;;;;;;;;;;x
tr_culture_group_tauren;Kodo Ranch;Ranch des kodos;Kodo-Züchter;;;;;;;;;;;x
tr_culture_group_tuskarr;Turtle Pools;Piscine des tortues;Schildkrötenbecken;;;;;;;;;;;x
tr_culture_group_harpy;Guide Eagle Nests;Nid des aigles;Leitadlernester;;;;;;;;;;;x
tr_culture_group_orc;Wolf Bestiary;Enclos des loups;Wolfsbestiarium;;;;;;;;;;;x
tr_culture_group_troll;Charm Shop;Boutique de charmes;Amulettverkäufer;;;;;;;;;;;x
tr_culture_group_dwarf;Stonemasons Guild;Guilde des maçons;Steinmetzgilde;;;;;;;;;;;x
