#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
# Legendary #;;;;;;;;;;;;;;
aluneth;Aluneth;Aluneth;Aluneth;;;;;;;;;;;x
aluneth_desc;This mysterious staff is a source of great magic. Hailing from beyond our plane of existence, an arcane being of immense power, Aluneth, is bound within this staff.;Ce mystérieux bâton est la source d'une grande magie. Bien que l'origine d'Aluneth soit inconnue, la civilisation qui l'a créée avait une connaissance très approfondie de la magie des arcanes.;Dieser mysteriöse Stab ist eine Quelle großer Magie. In diesem Stab ist ein arkanes Wesen von immenser Macht, Aluneth, gebunden, das aus einer anderen Dimension der Existenz stammt.;;;;;;;;;;;x
apocalypse;Apocalypse;Apocalypse;Apokalypse;;;;;;;;;;;x
apocalypse_desc;The vampiric Nathrezim forged this sword, a terrible weapon which brings violence, sickness and death with every swing. Apocalypse gained a terrible reputation in the hands of a Tirisguard mage who could not control its destructive energies.;Des démons vampiriques connus sous le nom de Nathrezims ont forgé cette épée ancienne, qui apporte avec elle la violence, la peste et la mort. Apocalypse a rapidement acquis une horrible réputation entre les mains d'un mage tirisgarde qui ne pouvait pas contrôler ses énergies destructrices.;Die vampirischen Nathrezim schmiedeten dieses Schwert, das Gewalt, Krankheit und Tod mit sich bringt. Apokalypse erwarb sich einen schrecklichen Ruf in den Händen eines Tirisgarde-Magiers, der die zerstörerischen Energien nicht kontrollieren konnte.;;;;;;;;;;;x
ashbringer;Ashbringer;Porte-Cendres;Ashbringer;;;;;;;;;;;x
ashbringer_desc;This sword has been forged from a crystal of pure Light energy. Any evil being faced with this holy weapon will be turned to ash by its purifying light.;Cette épée a été forgée à partir d'un cristal de lumière pure. Face à elle, tout être maléfique sera réduit en cendres par sa lumière purificatrice.;Dieses Schwert wurde aus einem Kristall reiner Lichtenergie geschmiedet. Jedes Übel, das mit dieser heiligen Waffe konfrontiert wird, wird durch ihr reinigendes Licht in Asche verwandelt.;;;;;;;;;;;x
atiesh;Atiesh;Atiesh;Atiesh;;;;;;;;;;;x
atiesh_desc;Atiesh, the greatstaff of the Guardian is a powerful staff passed down through the line of the Guardians of Tirisfal. The staff was born from the "seed of hate" and grants its wielder "unending power".;Atiesh, le grand bâton du Gardien, est un puissant bâton transmis par la lignée des Gardiens de Tirisfal. Le bâton est né de la « graine de la haine » et confère à son détenteur un « pouvoir sans fin ». Il a été transmis par chaque gardien de Tirisfal à son successeur.;Atiesh, der Langstab des Wächter ist ein mächtiger Stab, der von einem Wächter von Tirisfal an den nächsten weitergegeben wird. Der Stab wurde aus dem „Samen des Hasses“ geboren und gewährt seinem Besitzer „unendliche Macht“.;;;;;;;;;;;x
bloodhoof_runespear;Bloodhoof Runespear;Lance runique des Sabot-de-Sang;Runenspeer der Bloodhoofs;;;;;;;;;;;x
bloodhoof_runespear_desc;This spear was handed down through many generations of the Bloodhoof line. Each owner carved his own major history into the shaft before passing it on to the next generation.;Cette lance a été transmise par de nombreuses générations de la lignée des Sabot-de-Sang. Chaque propriétaire a gravé sa propre histoire dans le manche avant de la transmettre à la génération suivante.;Dieser Speer wurde über viele Generationen der Bloodhoof-Linie weitergegeben. Jeder Eigentümer hat seine eigene große Geschichte in den Schaft geschnitzt, bevor er ihn an die nächste Generation weitergab.;;;;;;;;;;;x
book_of_medivh;Book of Medivh;Livre de Medivh;Medivhs Zauberbuch;;;;;;;;;;;x
book_of_medivh_desc;The spellbook written by Medivh. Truly an artifact of great magical power, particularly when it comes to portal and teleportation magic.;Le livre de sorts écrit par Medivh.;Das Zauberbuch von Medivh. Wahrhaftig ein Artefakt von großer magischer Kraft, besonders wenn es um Portal- und Teleportationsmagie geht.;;;;;;;;;;;x
dark_crystal;Dark Crystal;Cristal sombre;Dunkler Kristall;;;;;;;;;;;x
dark_crystal_desc;Void magic emanates from this strange crystal, but somewhere in the depths of it you feel the presence of the Light.;La magie du Vide émane de cet étrange cristal, mais quelque part dans les profondeurs de celui-ci, vous ressentez la présence de la Lumière.;Aus diesem seltsamen Kristall entspringt die Magie der Leere, aber irgendwo in seinem Inneren spürt Ihr die Präsenz des Lichts.;;;;;;;;;;;x
doomhammer;Doomhammer;Marteau-du-Destin;Schicksalshammer;;;;;;;;;;;x
doomhammer_desc;Forged on Draenor in a lava basin and passed down through generations, this mighty hammer harnesses the power of the elements and is capable of dealing a devastating blow to any enemy.;Le Marteau-du-Destin a été forgé dans un bassin de lave pure sur Draenor et s'est transmis de père en fils pendant des décennies. Malgré ses dimensions démesurées, ce marteau a absorbé la force des élémentaires et est capable d'infliger un coup écrasant à n'importe quel ennemi.;Der Schicksalshammer wurde auf Draenor in einem Lava-Becken geschmiedet und vom Vater an den Sohn vererbt.Dieser gewaltige Hammer absorbiert er die Kraft der Elemente und ist in der Lage, jedem Gegner einen vernichtenden Schlag zu versetzen.;;;;;;;;;;;x
eye_of_sargeras;Eye of Sargeras;Œil de Sargeras;Auge von Sargeras;;;;;;;;;;;x
eye_of_sargeras_desc;The Eye of Sargeras is a powerful gem-like artifact previously used by the Avatar of Sargeras. This magical stone thrums with demonic energies.;L'Œil de Sargeras est un puissant artefact en forme de pierre précieuse jadis utilisé par l'avatar de Sargeras. Cette pierre magique vibre d'énergies démoniaques.;Das Auge des Sargeras ist ein mächtiges, edelsteinähnliches Artefakt, das zuvor vom Avatar des Sargeras benutzt wurde. Dieser magische Stein pulsiert mit dämonischen Energien.;;;;;;;;;;;x
felomelorn;Felo'melorn;Felo'melorn;Felo'melorn;;;;;;;;;;;x
felomelorn_desc;This runeblade, known also as Flamestrike, is a family relic of the Sunstrider dynasty. Anasterian Sunstrider wielded it against the Amani trolls after the founding of Quel'Thalas, having originally inherited it from Dath'Remar.;Cette épée runique, également connue sous le nom de Choc-de-Flammes, est une relique familiale de la dynastie des Haut-Soleil. Héritage de Dath'Remar, Anasterian Haut-Soleil l'a maniée contre les Trolls amani après la fondation de Quel'Thalas.;Diese Runenklinge, auch bekannt als Flammenstoß, ist ein Familienrelikt der Sunstrider-Dynastie. Anasterian Sunstrider führte sie nach der Gründung von Quel'Thalas gegen die Amani-Trolle, nachdem er sie von Dath'Remar geerbt hatte.;;;;;;;;;;;x
frostmourne;Frostmourne;Deuillegivre;Frostmourne;;;;;;;;;;;x
frostmourne_desc;This sword, etched with dark runes, was forged by the nathrezim. The souls of living creatures killed by Frostmourne remain trapped within the blade forever, which is adept in cutting flesh, metal and soul alike.;Cette épée, parsemée de runes sombres, a été forgée par les Nathrezims. Les âmes des êtres vivants tués par Deuillegivre y restent emprisonnées à jamais et sa lame peut facilement couper la chair, les os et les métaux les plus durables.;Dieses mit dunklen Runen übersäte Schwert wurde von den Nathrezim geschmiedet. Die Seelen der von ihm getöteten Lebewesen bleiben für immer gefangen und seine Klinge kann leicht Fleisch, Knochen und die härtesten Metalle durchdringen.;;;;;;;;;;;x
hammer_of_the_twilight;Hammer of Twilight;Marteau du crépuscule;Schattenhammer;;;;;;;;;;;x
hammer_of_the_twilight_desc;The Twilight's Hammer, also known as the Hammer of Twilight, is forged with elementium and the power of the Old Gods. It was created as a symbol of the Twilight Hammer cult's power.;Le Marteau du crépuscule est forgé avec de l'élémentium et le pouvoir des Dieux très anciens. Il a été créé comme un symbole du pouvoir du culte du Marteau du crépuscule.;Der Schattenhammer, auch bekannt als der Hammer des Zwielichts, ist aus Elementium und mit der Macht der alten Götter geschmiedet. Er wurde als Symbol für die Macht des Zwielichthammer-Kults geschmiedet.;;;;;;;;;;;x
horn_of_cenarius;Horn of Cenarius;Corne de Cénarius;Horn des Cenarius;;;;;;;;;;;x
