#CODE;ENGLISH;FRENCH;GERMAN;;;;;;;;;;;x
# Common;;;;;;;;;;;;;;x
city_count;Mayor;;Bürgermeister;;;;;;;;;;;x
city_duke;Magistrate;;Magistrat;;;;;;;;;;;x
city_king;Consul;;Konsul;;;;;;;;;;;x
city_emperor;High Consul;;Hoher Konsul;;;;;;;;;;;x
city_count_female;Mayor;;Bürgermeisterin;;;;;;;;;;;x
city_duke_female;Magistrate;;Magistratin;;;;;;;;;;;x
city_king_female;Consul;;Konsul;;;;;;;;;;;x
city_emperor_female;Great Consul;;Hoher Konsul;;;;;;;;;;;x
city_county_of;City of;;Stadt von;;;;;;;;;;;x
city_duchy_of;Magistracy of;;Magistrat von;;;;;;;;;;;x
city_kingdom_of;Republic of;;Republik von;;;;;;;;;;;x
city_empire_of;Great Republic of;;Große Republik von;;;;;;;;;;;x
PALACE_NAME;Residence of $DYNASTY$;;Residenz von $DYNASTY$;;;;;;;;;;;x
family_palace;Residence;;Residenz;;;;;;;;;;;x
family_palace_baron;Trade Prince;;Oberhaupt;;;;;;;;;;;x
family_palace_baron_female;Trade Prince;;Oberhaupt;;;;;;;;;;;x
family_palace_barony_of;Residence of;;Residenz von;;;;;;;;;;;x
# goblin_group;;;;;;;;;;;;;;x
city_count_goblin_group;Trade Baron;;Handelsbaron;;;;;;;;;;;x
city_duke_goblin_group;Trade Lord;;Handelsherr;;;;;;;;;;;x
city_king_goblin_group;King;;König;;;;;;;;;;;x
city_emperor_goblin_group;High King;;Hochkönig;;;;;;;;;;;x
city_count_female_goblin_group;Trade Baroness;;Handelsbaronin;;;;;;;;;;;x
city_duke_female_goblin_group;Trade Lady;;Handelsherrin;;;;;;;;;;;x
city_king_female_goblin_group;Queen;;Königin;;;;;;;;;;;x
city_emperor_female_goblin_group;High Queen;;Hochkönigin;;;;;;;;;;;x
city_county_of_goblin_group;Barony of;;Baronie von;;;;;;;;;;;x
city_duchy_of_goblin_group;Domain of;;Fürstentum von;;;;;;;;;;;x
city_kingdom_of_goblin_group;Kingdom of;;Königreich von;;;;;;;;;;;x
city_empire_of_goblin_group;High Kingdom of;;Hochkönigreich von;;;;;;;;;;;x
# troll_group;;;;;;;;;;;;;;x
city_baron_troll_group;Elder;;Ältester;;;;;;;;;;;x
city_count_troll_group;Elder;;Ältester;;;;;;;;;;;x
city_duke_troll_group;Elder;;Ältester;;;;;;;;;;;x
city_king_troll_group;Elder;;Ältester;;;;;;;;;;;x
city_emperor_troll_group;Elder;;Ältester;;;;;;;;;;;x
city_county_of_troll_group;Chiefdom of;;Stammesfürstentum von;;;;;;;;;;;x
city_duchy_of_troll_group;Tribe of;;Stamm von;;;;;;;;;;;x
city_kingdom_of_troll_group;Tribe of;;Stamm von;;;;;;;;;;;x
city_empire_of_troll_group;Empire of;;Imperium;;;;;;;;;;;x
