#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
borrow_money;Borrow 300¤;Emprunter 300¤;Leiht Euch 300¤;;;;;;;;;;;x
borrow_money_desc;You can borrow 300¤ from some rich ruler or moneylenders.;Vous pouvez emprunter 300¤ à un riche dirigeant ou à des usuriers.;Ihr könnt Euch 300¤ von einem reichen Herrscher oder Geldverleiher leihen.;;;;;;;;;;;x
repay_money;Repay 360¤ Loan;Rembourser 360¤;Zahlt 360¤ Darlehen zurück;;;;;;;;;;;x
repay_money_desc;Repay the gold you owe.;Remboursez l'or que vous devez.;Zahlt das Darlehen zurück, das Ihr schuldig seid.;;;;;;;;;;;x
debt_360_gold;Owes 360¤;Doit 360¤;Schuldet 360¤;;;;;;;;;;;x
interest_payment_360_gold;Receives Interest Payments;Reçoit des paiements d'intérêts;Erhält Einkommen aus Zinsen;;;;;;;;;;;x
EVTDESC_WCECO_100;You ask your servants to look for moneylenders who can borrow gold for your goals.\n\nWithin the same day, they return with news.;Vous demandez à vos serviteurs de chercher des usuriers qui peuvent vous prêter de l'or pour accomplir vos objectifs.\n\nLe même jour, ils reviennent avec des nouvelles.;Ihr bittet Eure Diener, nach Geldverleihern zu suchen, die Euch Gold für Eure Ziele leihen können.\n\nIm Laufe des Tages kehren sie mit Neuigkeiten zurück.;;;;;;;;;;;x
EVTOPTA_WCECO_100;[target_moneylender.GetFirstName] you say... Deliver [target_moneylender.GetHerHim] my letter!;[target_moneylender.GetFirstName], vous dites... Remettez lui ma lettre !;[target_moneylender.GetFirstName] sagt ihr... Überbringt [target_moneylender.Getihmihr] meinen Brief!;;;;;;;;;;;x
EVTOPTB_WCECO_100;The local community is giving loans... interesting...;La communauté locale accorde des prêts... Intéressant...;Die hiesige Gemeinde gewährt Darlehen... interessant...;;;;;;;;;;;x
EVTDESC_WCECO_110;To the [GetFromRootCompliment], [Root.GetFirstNameWithNick].\nMay you allow me to borrow a fraction of your gold. We will return all the gold and more, to the last coin.\n\nSigned,\n[target_borrower.GetTitledName];Au [GetFromRootCompliment], [Root.GetFirstNameWithNick].\nPuis-je vous emprunter une fraction de votre or ? Nous vous le rendrons jusqu'à la dernière pièce et plus encore.\n\nSigné,\n[target_borrower.GetTitledName];An [Root.Getdendie] [GetFromRootCompliment], [Root.GetFirstNameWithNick].\nDürfte ich mir einen Teil Eures Goldes leihen? Wir werden das Gold bis zur letzten Münze zurückzahlen und mehr.\n\nGezeichnet,\n[target_borrowrower.GetTitledName];;;;;;;;;;;x
EVTDESC_WCECO_115;[Root.PrimaryTitle.GetFOA],\nit would be my honour to be your sponsor. You may pay off your debt whenever it is convenient.\n\nSigned,\n[target_moneylender.GetTitledName];[Root.PrimaryTitle.GetFOA],\nCe serait un honneur pour moi d'être votre mécène. Vous pouvez rembourser votre dette quand vous le souhaitez.\n\nSigné,\n[target_moneylender.GetTitledName];[Root.PrimaryTitle.GetFOA],\nes wäre mir eine Ehre, Euer Sponsor zu sein. Ihr könnt Eure Schulden begleichen, wann immer Ihr wollt.\n\nGezeichnet,\n[target_moneylender.GetTitledName];;;;;;;;;;;x
EVTDESC_WCECO_120;[Root.PrimaryTitle.GetFOA],\nto my great regret, I am not able to lend you any money.\n\nSigned,\n[target_moneylender.GetTitledName];[Root.PrimaryTitle.GetFOA],\nÀ mon grand regret, je ne suis pas en mesure de vous prêter de l'argent.\n\nSigné,\n[target_moneylender.GetTitledName];[Root.PrimaryTitle.GetFOA],\nzu meinem großen Bedauern bin ich nicht in der Lage, Euch Geld zu leihen.\n\nGezeichnet,\n[target_moneylender.GetTitledName];;;;;;;;;;;x
EVTDESC_WCECO_150;It has been a long time since you heard any news from [target_moneylender.GetTitledFirstName].\n\nYou have no idea what has happened, but at this point, it looks like we can consider this transaction void.;Il y a longtemps que vous n'avez pas eu de nouvelles de [target_moneylender.GetTitledFirstName].\n\nVous n'avez aucune idée de ce qui s'est passé, mais à ce stade, il semble que nous puissions considérer cette transaction comme nulle.;Es ist schon lange her, dass Ihr Neuigkeiten von [target_moneylender.GetTitledFirstName] gehört habt.\n\nIhr habt keine Ahnung, was passiert ist, aber an diesem Punkt sieht es so aus, als ob wir diese Transaktion als gescheitert betrachten können.;;;;;;;;;;;x
EVTOPTC_WCECO_110;No! Don't bother me anymore!;Non ! Ne me dérangez plus !;Nein! Lasst mich in Ruhe!;;;;;;;;;;;x
no_borrowing_letters_next_10_years_tooltip;You won't receive any letters regarding borrowing in the next 10 years;Vous ne recevrez aucune lettre concernant un emprunt dans les 10 prochaines années;In den nächsten 10 Jahren werdet Ihr keine Darlehensbriefe erhalten.;;;;;;;;;;;x
ask_for_loan;Borrow 300¤;Emprunter 300¤;Leiht Euch 300¤;;;;;;;;;;;x
ask_for_loan_desc;You can try to borrow 300¤ from §Y[Root.GetBestName]§!.;Vous pouvez essayer d'emprunter 300¤ à §Y[Root.GetBestName]§!.;Ihr könnt versuchen, 300¤ von §Y[Root.GetBestName]§ zu leihen!;;;;;;;;;;;x
borrowing_bothering_tooltip;Has NOT asked not to be bothered;N'a PAS demandé à ne pas être dérangé;Hat NICHT darum gebeten, nicht belästigt zu werden;;;;;;;;;;;x
