#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
;;;;;;;;;;;;;;x
tp_school_1;Archives;;Archive;;;;;;;;;;;x
tp_school_2;Archives;;Archive;;;;;;;;;;;x
tp_school_desc;Archives;;Archive;;;;;;;;;;;x
tp_school_2_desc;[Root.Holder.GetHouseOfWorshipCap] Atheneum;;;;;;;;;;;;;x
hospital_building_1;Local Healer;;Lokaler Heiler;;;;;;;;;;;x
hospital_building_2;Healing House;;Haus der Heilung;;;;;;;;;;;x
hospital_building_3;Hospital;;Hospital;;;;;;;;;;;x
hospital_building_4;Hospital Complex;;Krankenhaus;;;;;;;;;;;x
hospital_building_5;Divine Healing Complex;;Göttliches Krankenhaus;;;;;;;;;;;x
hospital_building_1_desc;Local Healer;;Lokaler Heiler;;;;;;;;;;;x
hospital_building_2_desc;Healing House;;Haus der Heilung;;;;;;;;;;;x
hospital_building_3_desc;Hospital;;Hospital;;;;;;;;;;;x
hospital_building_4_desc;Hospital Complex;;Krankenhaus;;;;;;;;;;;x
hospital_building_5_desc;Divine Healing Complex;;Göttliches Krankenhaus;;;;;;;;;;;x
leper_colony_1;Quarantine;;Quarantäne;;;;;;;;;;;x
chapel_1;Hospice;;Hospiz;;;;;;;;;;;x
translation_house_1;Embassy;;Botschaft;;;;;;;;;;;x
pilgrims_inn_1;Bathhouse;;Badehaus;;;;;;;;;;;x
pharmacology_laboratory_1;Alchemist Lab;;Alchemistenlabor;;;;;;;;;;;x
medical_academy_1;Priestly Clinic;;Priesterklinik;;;;;;;;;;;x
leper_colony_building_desc;Quarantine;;Quarantäne;;;;;;;;;;;x
chapel_building_desc;Hospice;;Hospiz;;;;;;;;;;;x
translation_house_building_desc;Embassy;;Botschaft;;;;;;;;;;;x
pilgrims_inn_building_desc;Bathhouse;;Badehaus;;;;;;;;;;;x
pharmacology_laboratory_building_desc;Alchemist Lab;;Alchemistenlabor;;;;;;;;;;;x
medical_academy_building_desc;Priestly Clinic;;Priesterklinik;;;;;;;;;;;x
fp_mansion_1;Fledgling Guild Hall;;Zunfthalle für Junghändler;;;;;;;;;;;x
fp_mansion_2;Guild Hall;;Gildenhalle;;;;;;;;;;;x
fp_mansion_3;Mighty Guild Hall;;Mächtige Gildenhalle;;;;;;;;;;;x
fp_mansion_4;Guild Headquarters;;Gildenhauptquartier;;;;;;;;;;;x
fp_mansion_1_desc;Fledgling Guild Hall;;Zunfthalle für Junghändler;;;;;;;;;;;x
fp_mansion_2_desc;Guild Hall;;Gildenhalle;;;;;;;;;;;x
fp_mansion_3_desc;Mighty Guild Hall;;Mächtige Gildenhalle;;;;;;;;;;;x
fp_mansion_4_desc;Guild Headquarters;;Gildenhauptquartier;;;;;;;;;;;x
tb_market_town_1;Scattered Families;;Verstreute Familien;;;;;;;;;;;x
tb_market_town_2;Tribal Colony;;Stammeskolonie;;;;;;;;;;;x
tb_market_town_3;Tribal Village;;Stammesdorf;;;;;;;;;;;x
tb_market_town_4;Tribal Town;;Stammesstadt;;;;;;;;;;;x
tb_market_town_1_desc;Scattered Families;;Verstreute Familien;;;;;;;;;;;x
tb_market_town_2_desc;Tribal Colony;;Stammeskolonie;;;;;;;;;;;x
tb_market_town_3_desc;Tribal Village;;Stammesdorf;;;;;;;;;;;x
tb_market_town_4_desc;Tribal Town;;Stammesstadt;;;;;;;;;;;x
tb_hillfort_1;Strongman's Hut;;Hütte der Stärksten;;;;;;;;;;;x
tb_hillfort_2;Chieftan's Hall;;Häuptlingshalle;;;;;;;;;;;x
tb_hillfort_3;Warchief's Castle;;Kriegsherren-Schloss;;;;;;;;;;;x
tb_hillfort_4;Warlord's Fortress;;Festung des Kriegsherrn;;;;;;;;;;;x
tb_hillfort_1_desc;Strongman's Hut;;Hütte der Stärksten;;;;;;;;;;;x
tb_hillfort_2_desc;Chieftan's Hall;;Häuptlingshalle;;;;;;;;;;;x
tb_hillfort_3_desc;Warchief's Castle;;Kriegsherren-Schloss;;;;;;;;;;;x
tb_hillfort_4_desc;Warlord's Fortress;;Festung des Kriegsherrn;;;;;;;;;;;x
;;;;;;;;;;;;;;x
tr_sahara_1;Trade Post;;;;;;;;;;;;;x
tr_sahara_1_desc;A smaller trade post at which travelling merchants can buy and sell various trade goods.;Un petit comptoir où les marchands ambulants peuvent acheter et vendre divers produits.;Ein kleiner Handelsposten, auf dem die Händler verschiedene Handelsgüter kaufen und verkaufen können.;;Un pequeño puesto comercial en el que los comerciantes viajeros pueden comprar y vender diversos productos.;;;;;;;;;x
tr_sahara_2;Trade Market;;;;;;;;;;;;;x
tr_sahara_2_desc;A trade post that has grown into a large market, attracting a wider range of merchants and trade goods.;Un comptoir qui est devenu un grand marché, attirant un plus large éventail de marchands et de biens.;Ein Handelsposten, der zu einem großen Markt herangewachsen ist und eine größere Auswahl an Kaufleuten und Handelswaren anzieht.;;Un puesto comercial crecido hasta convertirse en un gran mercado que atrae una variedad mayor de comerciantes y productos.;;;;;;;;;x
tr_sahara_3;Trade City;;;;;;;;;;;;;x
tr_sahara_3_desc;This is a significant trading hub, it attracts merchants, trading wares and services that cannot be found anywhere else.;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
