#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
feudal_government;Monarchy;Monarchie;Monarchie;;;;;;;;;;;x
feudal_government_desc;Monarchy is a form of government in which the supreme state power is partially or wholly owned by one person - the monarch.;;Die Monarchie ist eine Regierungsform, in welcher die oberste Macht im Staat teilweise oder vollkommen bei einer einzelnen Person liegt - dem König.;;;;;;;;;;;x
tribal_monarchy_government;Tribal Monarchy;Monarchie tribale;Stammesmonarchie;;;;;;;;;;;x
tribal_monarchy_government_desc;Tribal monarchy is a political system where a large tribal society forms the semblance of a centralized state, with one main ruler who rules it according to laws and traditions. In contrast to the ordinary tribal system, advanced inheritance laws are available for the tribal monarchy and are not limited to tribal holdings only.;;Die Stammesmonarchie ist ein politisches System, in dem eine große Stammesgesellschaft so etwas wie einen zentralisierten Staat bildet, mit einem einzelnen Herrscher an der Spitze, der nach Tradition und Gesetz regiert. Im Gegensatz zu einer gewönlichen Stammesregierung stehen fortgeschrittene Erbfolgen zur Verfügung und die Herrscher sind nicht auf Stammesbesitztümer beschränkt.;;;;;;;;;;;x
technocracy_government;Technocracy;Technocratie;Technokratie;;;;;;;;;;;x
technocracy_government_desc;Technocracy is a form of government and the structure of society, under which the power belongs to scientific and technical specialists, and the leader of the state is elected from their circle every 8 years.;;Die Technokratie ist gleichzeitig eine Regierungsform wie eine Gesellschaftsform, in der die Macht von wissenschaftlichen und technischen Spezialisten ausgeübt wird. Der Anführer einer solchen Nation wird alle 8 Jahre aus ihren Reihen gewählt.;;;;;;;;;;;x
weak_technocracy_government;Technocracy;Technocratie;Technokratie;;;;;;;;;;;x
weak_technocracy_government_desc;Technocracy is a form of government and the structure of society, in which power belongs to scientific and technical experts, and the leader of the state is selected from their circle.;;Die Technokratie ist gleichzeitig eine Regierungsform wie eine Gesellschaftsform, in der die Macht von wissenschaftlichen und technischen Spezialisten ausgeübt wird. Der Anführer einer solchen Nation wird auf Lebenszeit aus ihren Reihen gewählt.;;;;;;;;;;;x
magocracy_government;Magocracy;Magocratie;Magokratie;;;;;;;;;;;x
magocracy_government_desc;Magocracy is a form of government and the structure of society, in which the state is governed by the magical college, and the leader of the state is selected from their circle.;;Die Magokratie ist gleichzeitig eine Regierungsform als auch eine Gesellschaftsform, in der die Macht von Magierschulen ausgeübt wird. Der Anführer einer solchen Nation wird aus den Vorstehern dieser Schulen gewählt.;;;;;;;;;;;x
uncolonized_government;Uncolonized;Non colonisé;Unkolonisiert;;;;;;;;;;;x
uncolonized_government_desc;In this territory there is no form of government and it is open for colonization.;;In dieser Provinz ist keinerlei Form von Regierung etabliert, sie kann kolonisiert werden.;;;;;;;;;;;x
legion_government;Demonic Legion;Légion Démoniaque;Dämonische Legion;;;;;;;;;;;x
legion_government_desc;Legions of demons, led by their natural cruelty and thirst for violence, bringing death and destruction across Azeroth. War is just a form of their existence and murder is merely a kind of entertainment for them. They don't know what diplomacy is, nor a peaceful and calm life.;;Eine Legion von Dämonen, getrieben von ihrer natürlichen Grausamkeit und ihrem Durst nach Rache, bringt nichts als Tod und Zerstörung nach Azeroth. Der Krieg ist bloß eine Art ihrer Existenz und nichts als Unterhaltung für sie.Sie glauben nicht an Diplomatie oder gar ein friedvolles und ruhiges Leben.;;;;;;;;;;;x
scourge_government;Undead Horde;Armée des Morts;Untote Horde;;;;;;;;;;;x
scourge_government_desc;Undead armies are crowds of brainless corpses under a necromancer's guidance, who uses them as an instrument for achieving their goals. With a hunger and permanent thirst for new bodies to bolster their ranks. They don't know what diplomacy is, nor a peaceful and calm life.;;Untote Armeen sind Meuten hirnloser Leichen unter der Kontrolle eines Nekromanten, der sie als Instrument für die Erreichung seiner Ziele verwendet. Mit ihrer steten Gier nach neuen Körpern für ihre Reihen kennen sie die Bedeutung von Diplomatie oder einem friedvollen Leben nicht mehr.;;;;;;;;;;;x
black_pact_government;Black Pact;Pacte Noir;Schwarzer Pakt;;;;;;;;;;;x
black_pact_government_desc;The will of the old Gods leads this black pact, bringing pain, madness and the word of its lords across Azeroth. They have no principles, only an ambition to draw the end of time closer, the moment when Azeroth will plunge into darkness. They don't know what diplomacy is, as well as peaceful and calm life.;;Der Wille der alten Götter leitet diesen schwarzen Pakt, nichts als Schmerz, Wahnsinn und das Wort seiner Herren in die Länder Azeroth zu tragen. Sie haben keine anderen Prinzipien, als die Endzeit, den Augenblick wenn Azeroth der Dunkelheit verfällt, herbeizuführen. Mit dieser Ambition kennen sie weder Diplomatie noch ein friedliches Miteinander.;;;;;;;;;;;x
dragon_government;Dragonflight;Vol Draconique;Drachenschwarm;;;;;;;;;;;x
dragon_government_desc;A dragonflight is a hierarchical society of dragons and other dragonkin.;;Der Drachenschwarm ist eine hierarchische Gesellschaft von Drachen und Drachenartigen.;;;;;;;;;;;x
society_government;Society;Société;Organisation;;;;;;;;;;;x
society_government_desc;This government represents societies and organizations.;;Eine Regierungsform, die Gesellschaften und Organisationen widerspiegelt.;;;;;;;;;;;x
