#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
# Common;;;;;;;;;;;;;;x
emperor;Emperor;;Kaiser;;;;;;;;;;;x
emperor_female;Empress;;Kaiserin;;;;;;;;;;;x
empire_of;Empire of;;Kaiserreich von;;;;;;;;;;;x
empire;Empire;;Kaiserreich;;;;;;;;;;;x
king;King;Roi;König;;;;;;;;;;;x
king_female;Queen;Reine;Königin;;;;;;;;;;;x
kingdom_of;Kingdom of;Royaume de;Königreich von;;;;;;;;;;;x
kingdom;Kingdom;Royaume;Königreich;;;;;;;;;;;x
duke;Highlord;Haut seigneur;Hochlord;;;;;;;;;;;x
duke_female;Highlord;Haute dame;Hochdame;;;;;;;;;;;x
duchy_of;Highlordship of;Haute seigneurie de;Hochlordschaft von;;;;;;;;;;;x
duchy;Highlordship;Haute seigneurie;Hochlordschaft;;;;;;;;;;;x
count;Lord;Seigneur;Herr;;;;;;;;;;;x
count_female;Lady;Dame;Dame;;;;;;;;;;;x
county_of;Lordship of;Seigneurie de;Herrschaft von;;;;;;;;;;;x
county;Lordship;Seigneurie;Herrschaft;;;;;;;;;;;x
baron;Baron;Baron;Baron;;;;;;;;;;;x
baron_female;Baroness;Baronne;Baronin;;;;;;;;;;;x
barony_of;Barony of;Baronnie de;Baronie von;;;;;;;;;;;x
Barony;Barony;Baronnie;Baronie;;;;;;;;;;;x
# dwarf_group;;;;;;;;;;;;;;x
emperor_dwarf_group;High King;;Hochkönig;;;;;;;;;;;x
emperor_female_dwarf_group;High Queen;;Hochkönigin;;;;;;;;;;;x
empire_of_dwarf_groupf;High Kingdom of;;Hochkönigreich von;;;;;;;;;;;x
empire_dwarf_group;High Kingdom;;Hochkönigreich;;;;;;;;;;;x
duke_dwarf_group;Thane;Thane;Thane;;;;;;;;;;;x
duke_female_dwarf_group;Thane;Thane;Thanin;;;;;;;;;;;x
duchy_of_dwarf_group;Tribe of;Tribu de;Stamm von;;;;;;;;;;;x
duchy_dwarf_group;Clan;Clan;Clan;;;;;;;;;;;x
count_dwarf_group;Chief;Chef;Häuptlingsdame;;;;;;;;;;;x
count_female_dwarf_group;Chieftess;Cheffe;Häuptlingsdame;;;;;;;;;;;x
county_of_dwarf_group;Chiefdom of;Chefferie de;Stamm von;;;;;;;;;;;x
county_dwarf_group;Chiefdom;Chefferie;Stamm;;;;;;;;;;;x
# goblin_group;;;;;;;;;;;;;;x
count_goblin_group;High Baron;Grand baron;Baron;;;;;;;;;;;x
count_female_goblin_group;High Baroness;Grande baronne;Baronin;;;;;;;;;;;x
county_of_goblin_group;High Barony of;Grande baronnie de;Baronie von;;;;;;;;;;;x
county_goblin_group;High Barony;Grande baronnie;Baronie;;;;;;;;;;;x
# shathyar_group;;;;;;;;;;;;;;x
king_shathyar_group;High General;Grand général;Oberster General;;;;;;;;;;;x
king_female_shathyar_group;High General;Grande général;Oberste Generälin;;;;;;;;;;;x
duke_shathyar_group;General;Général;General;;;;;;;;;;;x
duke_female_shathyar_group;General;Général;Generälin;;;;;;;;;;;x
# naga;;;;;;;;;;;;;;x
king_naga;Warlord;Seigneur de guerre;Kriegsfürst;;;;;;;;;;;x
king_female_naga;Sea Witch;Sorcière des mers;Seehexe;;;;;;;;;;;x
kingdom_of_naga;High Tribe of;Haute tribu de;Hoher Stamm von;;;;;;;;;;;x
kingdom_naga;High Clan;Haut clan;Hoher Stamm;;;;;;;;;;;x
duchy_naga;Clan;Clan;Clan;;;;;;;;;;;x
duchy_of_naga;Tribe of;Tribu de;Stamm von;;;;;;;;;;;x
county_of_naga;Chiefdom of;Chefferie de;Stamm von;;;;;;;;;;;x
county_naga;Chiefdom;Chefferie;Stamm;;;;;;;;;;;x
# aqir_group;;;;;;;;;;;;;;x
duke_aqir_group;Broodlord;;Brutmeister;;;;;;;;;;;x
duke_female_aqir_group;Brood Lady;;Brutmeisterin;;;;;;;;;;;x
duchy_of_aqir_group;Brood of;;Brut von;;;;;;;;;;;x
duchy_aqir_group;Brood;;Brut;;;;;;;;;;;x
count_aqir_group;Hivelord;;Schwarmmeister;;;;;;;;;;;x
count_female_aqir_group;Hive Lady;;Schwarmmeisterin;;;;;;;;;;;x
county_of_aqir_group;Greathive of;;Großer Schwarmstock von;;;;;;;;;;;x
county_aqir_group;Greathive;;Großer Schwarmstock;;;;;;;;;;;x
# tirassian;;;;;;;;;;;;;;x
emperor_tirassian;Grand Lord Admiral;Grand amiral suprême;Lord Großadmiral;;;;;;;;;;;x
emperor_female_tirassian;Grand Lord Admiral;Grande amirale suprême;Lady Großadmiralin;;;;;;;;;;;x
king_tirassian;Lord Admiral;Amiral suprême;Großadmiral;;;;;;;;;;;x
king_female_tirassian;Lord Admiral;Amirale suprême;Großadmiralin;;;;;;;;;;;x
# dragon_group;;;;;;;;;;;;;;x
emperor_dragon_group;High Dragonking;Grand roi des Dragons;Hochkönig der Drachen;;;;;;;;;;;x
emperor_female_dragon_group;High Dragonqueen;Grande reine des Dragons;Hochkönigin der Drachen;;;;;;;;;;;x
empire_of_dragon_group;High Dragonflight of;Haut vol;Gewaltiger Drachenschwarm von;;;;;;;;;;;x
empire_dragon_group;High Dragonflight;Haut vol;Gewaltiger Drachenschwarm;;;;;;;;;;;x
king_dragon_group;Dragonking;Roi des Dragons;Drachenkönig;;;;;;;;;;;x
king_female_dragon_group;Dragonqueen;Reine des Dragons;Drachenkönigin;;;;;;;;;;;x
kingdom_of_dragon_group;Dragonflight of;Vol;Drachenschwarm von;;;;;;;;;;;x
