#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
# Common;;;;;;;;;;;;;;x
city_emperor;High Consul;Grand consul;Hoher Konsul;;;;;;;;;;;x
city_emperor_female;Great Consul;Grande consule;Hoher Konsul;;;;;;;;;;;x
city_empire_of;Great Republic of;Grande république de;Große Republik von;;;;;;;;;;;x
city_empire;Great Republic;Grande république;Große Republik;;;;;;;;;;;x
city_king;Consul;Consul;Konsul;;;;;;;;;;;x
city_king_female;Consul;Consule;Konsul;;;;;;;;;;;x
city_kingdom_of;Republic of;République de;Republik von;;;;;;;;;;;x
city_kingdom;Republic of;République;Republik von;;;;;;;;;;;x
city_duke;Magistrate;Magistrat;Magistrat;;;;;;;;;;;x
city_duke_female;Magistrate;Magistrate;Magistratin;;;;;;;;;;;x
city_duchy_of;Magistracy of;Magistrature de;Magistrat von;;;;;;;;;;;x
city_duchy;Magistracy;Magistrature;Magistrat;;;;;;;;;;;x
city_count;Mayor;Maire;Bürgermeister;;;;;;;;;;;x
city_count_female;Mayor;Maire;Bürgermeisterin;;;;;;;;;;;x
city_county_of;City of;Cité de;Stadt von;;;;;;;;;;;x
city_county;City;Cité;Stadt;;;;;;;;;;;x
family_palace_baron;Trade Prince;Prince marchand;Oberhaupt;;;;;;;;;;;x
family_palace_baron_female;Trade Princess;Princesse marchande;Oberhaupt;;;;;;;;;;;x
family_palace_barony_of;Residence of;Résidence de;Residenz von;;;;;;;;;;;x
family_palace;Residence;Résidence;Residenz;;;;;;;;;;;x
PALACE_NAME;Residence of $DYNASTY$;Résidence des $DYNASTY$;Residenz von $DYNASTY$;;;;;;;;;;;x
# goblin_group;;;;;;;;;;;;;;x
city_emperor_goblin_group;High King;Haut roi;Hochkönig;;;;;;;;;;;x
city_emperor_female_goblin_group;High Queen;Haute reine;Hochkönigin;;;;;;;;;;;x
city_empire_of_goblin_group;High Kingdom of;Haut royaume de;Hochkönigreich von;;;;;;;;;;;x
city_empire_goblin_group;High Kingdom;Haut royaume;Hochkönigreich;;;;;;;;;;;x
city_king_goblin_group;King;Roi;König;;;;;;;;;;;x
city_king_female_goblin_group;Queen;Reine;Königin;;;;;;;;;;;x
city_kingdom_of_goblin_group;Kingdom of;Royaume de;Königreich von;;;;;;;;;;;x
city_kingdom_goblin_group;Kingdom;Royaume;Königreich;;;;;;;;;;;x
city_duke_goblin_group;Trade Lord;Seigneur marchand;Handelsherr;;;;;;;;;;;x
city_duke_female_goblin_group;Trade Lady;Dame marchande;Handelsherrin;;;;;;;;;;;x
city_duchy_of_goblin_group;Highlordship of;Haute seigneurie de;Hochherrschaft von;;;;;;;;;;;x
city_duchy_goblin_group;Highlordship;Haute seigneurie;Hochherrschaft;;;;;;;;;;;x
city_count_goblin_group;Trade Baron;Baron marchand;Handelsbaron;;;;;;;;;;;x
city_count_female_goblin_group;Trade Baroness;Baronne marchande;Handelsbaronin;;;;;;;;;;;x
city_county_of_goblin_group;High Barony of;Haute baronnie de;Baronie von;;;;;;;;;;;x
city_county_goblin_group;High Barony;Haute baronnie;Baronie;;;;;;;;;;;x
# troll_group;;;;;;;;;;;;;;x
city_emperor_troll_group;Emperor;Empereur;Imperator;;;;;;;;;;;x
city_emperor_female_troll_group;Empress;Impératrice;Imperatorin;;;;;;;;;;;x
city_empire_of_troll_group;Empire of;Empire de;Imperium von;;;;;;;;;;;x
city_empire_troll_group;Empire;Empire;Imperium;;;;;;;;;;;x
city_king;High Elder;Grand ancien;Hochältester;;;;;;;;;;;x
city_king_female;High Elder;Grande ancienne;Hochälteste;;;;;;;;;;;x
city_kingdom_of;High Tribe of;Haute tribu de;Hoher Stamm von;;;;;;;;;;;x
city_kingdom;High Tribe;Haute tribu;Hoher Stamm;;;;;;;;;;;x
city_duke;Elder;Ancien;Ältester;;;;;;;;;;;x
city_duke_female;Elder;Ancienne;Älteste;;;;;;;;;;;x
city_duchy_of;Tribe of;Tribu de;Stamm von;;;;;;;;;;;x
city_duchy;Tribe;Tribu;Stamm;;;;;;;;;;;x
city_count;Chief;Chef;Häuptling;;;;;;;;;;;x
city_count_female;Chieftess;Cheffe;Häuptlingsdame;;;;;;;;;;;x
city_county_of;Chiefdom of;Chefferie de;Stamm von ;;;;;;;;;;;x
city_county;Chiefdom;Chefferie;Stamm;;;;;;;;;;;x
# dryad_group;;;;;;;;;;;;;;x
city_barony_of_dryad_group;Druid Post of;Poste-druide de;Druidenposten von;;;;;;;;;;;x
city_barony_dryad_group;Druid Post;Poste-druide;Druidenposten;;;;;;;;;;;x
