#CODE;ENGLISH;FRENCH;GERMAN;;;;;;;;;;;x
# Common;;;;;;;;;;;;;;x
technocracy_emperor;Grand Technocrat;;Großer Technokrat;;;;;;;;;;;x
technocracy_emperor_female;Grand Technocrat;;Große Technokratin;;;;;;;;;;;x
technocracy_empire_of;Techno-empire of;;Techno-Kaiserreich von;;;;;;;;;;;x
technocracy_empire;Techno-empire;;;;;;;;;;;;;x
technocracy_king;High Tinker;;Hochbastler;;;;;;;;;;;x
technocracy_king_female;High Tinker;;Hochbastlerin;;;;;;;;;;;x
technocracy_kingdom_of;High Technocracy of;;;;;;;;;;;;;x
technocracy_kingdom;High Technocracy;;;;;;;;;;;;;x
technocracy_duke;Chief Engineer;;Chefingenieur;;;;;;;;;;;x
technocracy_duke_female;Chief Engineer;;Chefingenieurin;;;;;;;;;;;x
technocracy_duchy_of;Technocracy of;;Technokratie von;;;;;;;;;;;x
technocracy_duchy;Technocracy;;;;;;;;;;;;;x
technocracy_count;Engineer;;;;;;;;;;;;;x
technocracy_count_female;Engineer;;;;;;;;;;;;;x
technocracy_county_of;Zone of;;Bereich von;;;;;;;;;;;x
technocracy_county;Zone;;;;;;;;;;;;;x
technocracy_baron;Tinker;;Tüftler;;;;;;;;;;;x
technocracy_baron_female;Tinker;;Tüftlerin;;;;;;;;;;;x
technocracy_barony_of;Workshop of;;Werkstatt von;;;;;;;;;;;x
technocracy_barony;Workshop;;;;;;;;;;;;;x
