#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
# Common;;;;;;;;;;;;;;x
temple_emperor;Emperor;;Kaiser;;;;;;;;;;;x
temple_emperor_female;Empress;;Kaiserin;;;;;;;;;;;x
temple_empire_of;Empire of;;Kaiserreich von;;;;;;;;;;;x
temple_empire;Empire;;Kaiserreich;;;;;;;;;;;x
temple_king;Grand Priest;;Groﬂer Priester;;;;;;;;;;;x
temple_king_female;Grand Priestess;;Groﬂe Priesterin;;;;;;;;;;;x
temple_kingdom_of;Grand Theocracy of;;Groﬂtheokratie von;;;;;;;;;;;x
temple_kingdom;Grand Theocracy;;Groﬂtheokratie;;;;;;;;;;;x
temple_duke;Archpriest;;Erzpriester;;;;;;;;;;;x
temple_duke_female;Archpriestess;;Erzpriesterin;;;;;;;;;;;x
temple_duchy_of;High Theocracy of;;Hohe Theokratie von;;;;;;;;;;;x
temple_duchy;High Theocracy;;Hohe Theokratie;;;;;;;;;;;x
temple_count;High Priest;;Hohepriester;;;;;;;;;;;x
temple_count_female;High Priestess;;Hohepriesterin;;;;;;;;;;;x
temple_county_of;Theocracy of;;Theokratie von;;;;;;;;;;;x
temple_county;Theocracy;;Theokratie;;;;;;;;;;;x
temple_baron;Priest;;Priester;;;;;;;;;;;x
temple_baron_female;Priestess;;Priesterin;;;;;;;;;;;x
temple_barony_of;Temple of;;Tempel von;;;;;;;;;;;x
temple_barony;Temple;;Tempel;;;;;;;;;;;x
# light_group;;;;;;;;;;;;;;x
temple_king_light_group;Bishop-King;;Erzbischof;;;;;;;;;;;x
temple_king_female_light_group;Bishop-Queen;;Erzbischˆfin;;;;;;;;;;;x
temple_duke_holy_light;Archbishop;;Erzbischof;;;;;;;;;;;x
temple_duke_female_light_group;Archbishop;;Erzbischˆfin;;;;;;;;;;;x
temple_duchy_of_light_group;Prince-Archbishopric of;;Erzbistum von;;;;;;;;;;;x
temple_duchy_light_group;Prince-Archbishopric;;Erzbistum;;;;;;;;;;;x
temple_count_light_group;Prince-Bishop;;Bischof;;;;;;;;;;;x
temple_count_female_light_group;Prince-Bishop;;Bischˆfin;;;;;;;;;;;x
temple_county_of_light_group;Prince-Bishopric of;;Bistum von;;;;;;;;;;;x
temple_county_light_group;Prince-Bishopric;;Bistum;;;;;;;;;;;x
temple_baron_light_group;Bishop;;Bischof;;;;;;;;;;;x
temple_baron_female_light_group;Bishop;;Bischˆfin;;;;;;;;;;;x
temple_barony_of_light_group;Bishopric of;;Abtei von;;;;;;;;;;;x
temple_barony_light_group;Bishopric;;Abtei;;;;;;;;;;;x
# fel_group;;;;;;;;;;;;;;x
temple_king_fel_group;Grand Warlock;;Groﬂer Hexenmeister;;;;;;;;;;;x
temple_king_female_fel_group;Grand Warlock;;Groﬂe Hexenmeisterin;;;;;;;;;;;x
temple_duke_fel_group;High Warlock;;Hoher Hexenmeister;;;;;;;;;;;x
temple_duke_female_fel_group;High Warlock;;Hohe Hexenmeisterin;;;;;;;;;;;x
temple_count_fel_group;Archwarlock;;Erzhexenmeister;;;;;;;;;;;x
temple_count_female_fel_group;Archwarlock;;Erzhexenmeisterin;;;;;;;;;;;x
temple_baron_orcish_fel;Warlock;;Hexenmeister;;;;;;;;;;;x
temple_baron_female_fel_group;Warlock;;Hexenmeisterin;;;;;;;;;;;x
temple_barony_of_fel_group;Altar of;;Altar von;;;;;;;;;;;x
temple_barony_fel_group;Altar;;Altar;;;;;;;;;;;x
# arcane_religion;;;;;;;;;;;;;;x
temple_barony_of_arcane_religion;Citadel of;;Zitadelle von;;;;;;;;;;;x
# secular_group;;;;;;;;;;;;;;x
temple_barony_of_secular_group;Workshop of;;Werkstatt von;;;;;;;;;;;x
# naaru;;;;;;;;;;;;;;x
temple_emperor_naaru;Grand Prelate;;Groﬂpr‰lat;;;;;;;;;;;x
temple_emperor_female_naaru;Grand Prelate;;Groﬂpr‰latin;;;;;;;;;;;x
temple_empire_of_naaru;Grand Theocracy of;;Groﬂtheokratie von;;;;;;;;;;;x
temple_empire_naaru;Grand Theocracy;;Groﬂtheokratie;;;;;;;;;;;x
temple_king_naaru;High Prelate;;Hoher Pr‰lat;;;;;;;;;;;x
temple_king_female_naaru;High Prelate;;Hohe Pr‰latin;;;;;;;;;;;x
temple_kingdom_of_naaru;High Theocracy of;;Hohe Theokratie von;;;;;;;;;;;x
temple_kingdom_naaru;High Theocracy;;Hohe Theokratie;;;;;;;;;;;x
temple_duke_naaru;Prelate;;Pr‰lat;;;;;;;;;;;x
temple_duke_female_naaru;Prelate;;Pr‰latin;;;;;;;;;;;x
temple_duchy_of_naaru;Theocracy of;;Theokratie von;;;;;;;;;;;x
temple_duchy_naaru;Theocracy of;;Theokratie von;;;;;;;;;;;x
temple_count_naaru;Priest;;Priester;;;;;;;;;;;x
temple_count_female_naaru;Priestess;;Priesterin;;;;;;;;;;;x
temple_county_of_naaru;Lesser Theocracy of;;Geringe Theokratie von;;;;;;;;;;;x
temple_county_naaru;Lesser Theocracy of;;Geringe Theokratie von;;;;;;;;;;;x
temple_baron_naaru;Priest;;Ordensbruder;;;;;;;;;;;x
temple_baron_female_naaru;Priestess;;Ordensschwester;;;;;;;;;;;x
temple_barony_of_naaru;Temple of;;Tempel von;;;;;;;;;;;x
temple_barony_naaru;Temple;;Tempel;;;;;;;;;;;x
# lightbound;;;;;;;;;;;;;;x
temple_emperor_lightbound;Grand Prelate;;Groﬂpr‰lat;;;;;;;;;;;x
temple_emperor_female_lightbound;Grand Prelate;;Groﬂpr‰latin;;;;;;;;;;;x
temple_empire_of_lightbound;Grand Theocracy of;;Groﬂtheokratie von;;;;;;;;;;;x
temple_empire_lightbound;Grand Theocracy;;Groﬂtheokratie;;;;;;;;;;;x
temple_king_lightbound;High Prelate;;Hoher Pr‰lat;;;;;;;;;;;x
temple_king_female_lightbound;High Prelate;;Hohe Pr‰latin;;;;;;;;;;;x
temple_kingdom_of_lightbound;High Theocracy of;;Hohe Theokratie von;;;;;;;;;;;x
temple_kingdom_lightbound;High Theocracy;;Hohe Theokratie;;;;;;;;;;;x
temple_duke_lightbound;Prelate;;Pr‰lat;;;;;;;;;;;x
temple_duke_female_lightbound;Prelate;;Pr‰latin;;;;;;;;;;;x
temple_duchy_of_lightbound;Theocracy of;;Theokratie von;;;;;;;;;;;x
temple_duchy_lightbound;Theocracy of;;Theokratie von;;;;;;;;;;;x
temple_count_lightbound;Priest;;Priester;;;;;;;;;;;x
temple_count_female_lightbound;Priestess;;Priesterin;;;;;;;;;;;x
temple_county_of_lightbound;Lesser Theocracy of;;Geringe Theokratie von;;;;;;;;;;;x
temple_county_lightbound;Lesser Theocracy of;;Geringe Theokratie von;;;;;;;;;;;x
temple_baron_lightbound;Priest;;Ordensbruder;;;;;;;;;;;x
temple_baron_female_lightbound;Priestess;;Ordensschwester;;;;;;;;;;;x
temple_barony_of_lightbound;Temple of;;Tempel von;;;;;;;;;;;x
temple_barony_lightbound;Temple;;Tempel;;;;;;;;;;;x
# druidism_group;;;;;;;;;;;;;;x
temple_baron_druidism_group;Druid;;Druide;;;;;;;;;;;x
temple_baron_female_druidism_group;Druidess;;Druidin;;;;;;;;;;;x
temple_barony_of_druidism_group;Shrine of;;Schrein von;;;;;;;;;;;x
temple_barony_druidism_group;Shrine;;Schrein;;;;;;;;;;;x
# kaldorei_religion;;;;;;;;;;;;;;
temple_baron_kaldorei_religion;Priest;;Priester;;;;;;;;;;;x
temple_baron_female_kaldorei_religion;Priestess;;Priesterin;;;;;;;;;;;x
temple_barony_of_kaldorei_religion;Temple of;;Tempel von;;;;;;;;;;;x
temple_barony_kaldorei_religion;Temple;;Tempel;;;;;;;;;;;x
# elemental_lords_group;;;;;;;;;;;;;;
temple_baron_elemental_lords_group;Shaman;;Schamane;;;;;;;;;;;x
temple_baron_female_elemental_lords_group;Shaman;;Schamanin;;;;;;;;;;;x
# necromancy_group;;;;;;;;;;;;;;
temple_baron_necromancy_group;Deathspeaker;;Prophet des Todes;;;;;;;;;;;x
temple_baron_female_necromancy_group;Deathspeaker;;Prophetin des Todes;;;;;;;;;;;x
# nerubian_religion_group;;;;;;;;;;;;;;
temple_baron_nerubian_religion_group;Seer;;Seher;;;;;;;;;;;x
temple_baron_female_nerubian_religion_group;Seer;;Seherin;;;;;;;;;;;x
# pandaren_religion_group;;;;;;;;;;;;;;
temple_baron_pandaren_religion_group;Elder;;ƒltester;;;;;;;;;;;x
temple_baron_female_pandaren_religion_group;Sister;;Schwester;;;;;;;;;;;x
# primitive_group;;;;;;;;;;;;;;
temple_baron_primitive_group;Shaman;;Schamane;;;;;;;;;;;x
temple_baron_female_primitive_group;Shaman;;Schamanin;;;;;;;;;;;x
