#CODE;ENGLISH;FRENCH;GERMAN;;;;;;;;;;;x
# Common;;;;;;;;;;;;;;x
tribal_emperor;Emperor;;Kaiser;;;;;;;;;;;x
tribal_emperor_female;Empress;;Kaiserin;;;;;;;;;;;x
tribal_empire_of;Empire of;;Imperium von;;;;;;;;;;;x
tribal_empire;Empire;;Imperium;;;;;;;;;;;x
tribal_king;High Chieftain;;Oberhäuptling;;;;;;;;;;;x
tribal_king_female;High Chieftess;;Oberhäuptlingsfrau;;;;;;;;;;;x
tribal_kingdom_of;High Tribe of;;Hochstamm von;;;;;;;;;;;x
tribal_kingdom;High Clan;;;;;;;;;;;;;x
tribal_duke;Chieftain;;Häuptling;;;;;;;;;;;x
tribal_duke_female;Chieftess;;Häutlingsfrau;;;;;;;;;;;x
tribal_duchy_of;Tribe of;;Stamm von;;;;;;;;;;;x
tribal_duchy;Clan;;Clan;;;;;;;;;;;x
tribal_count;Chief;;;;;;;;;;;;;x
tribal_count_female;Chieftess;;;;;;;;;;;;;x
tribal_county_of;Chiefdom of;;;;;;;;;;;;;x
tribal_county;Chiefdom;;;;;;;;;;;;;x
tribal_baron;Lesser Chief;;;;;;;;;;;;;x
tribal_baron_female;Lesser Chieftess;;;;;;;;;;;;;x
tribal_barony_of;Tribal Lands of;;;;;;;;;;;;;x
tribal_barony;Tribal Lands;;;;;;;;;;;;;x
# troll_group;;;;;;;;;;;;;;x
tribal_emperor_troll_group;God King;;Gottkönig;;;;;;;;;;;x
tribal_emperor_female_troll_group;God Queen;;Gottkönigin;;;;;;;;;;;x
tribal_empire_of_troll_group;Empire of;;Imperium von;;;;;;;;;;;x
tribal_empire_troll_group;Empire;;;;;;;;;;;;;x
# vrykul_group;;;;;;;;;;;;;;x
tribal_emperor_vrykul_group;Emperor;;Kaiser;;;;;;;;;;;x
tribal_emperor_female_vrykul_group;Empress;;Kaiserin;;;;;;;;;;;x
tribal_empire_of_vrykul_group;Empire of;;Kaiserreich von;;;;;;;;;;;x
tribal_empire_vrykul_group;Empire;;;;;;;;;;;;;x
tribal_king_vrykul_group;King;;König;;;;;;;;;;;x
tribal_king_female_vrykul_group;Queen;;Königin;;;;;;;;;;;x
tribal_king_of_vrykul_group;Kingdom of;;Königreich von;;;;;;;;;;;x
tribal_king_vrykul_group;Kingdom;;;;;;;;;;;;;x
# dryad_group
tribal_count_frostnymph;Guardian;;;;;;;;;;;;;x
tribal_count_female_frostnymph;Guardian;;;;;;;;;;;;;x
tribal_county_of_dryad_group;Glade of;;;;;;;;;;;;;x
tribal_county_dryad_group;Glade;;;;;;;;;;;;;x
tribal_baron_dryad_group;Tender;;;;;;;;;;;;;x
tribal_baron_female_dryad_group;Tender;;;;;;;;;;;;;x
tribal_barony_of_dryad_group;Refuge of;;;;;;;;;;;;;x
tribal_barony_dryad_group;Refuge;;;;;;;;;;;;;x
