#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
# Common;;;;;;;;;;;;;;x
vice_royalty_emperor;Magistrate;;Magistrat;;;;;;;;;;;x
vice_royalty_emperor_female;Magistrate;;Magistratin;;;;;;;;;;;x
vice_royalty_empire_of;Magistracy of;;Magistrat von;;;;;;;;;;;x
vice_royalty_empire;Magistracy;;Magistrat;;;;;;;;;;;x
vice_royalty_king;Viceroy;;Vizekönig;;;;;;;;;;;x
vice_royalty_king_female;Vicereine;;Vizekönigin;;;;;;;;;;;x
vice_royalty_kingdom_of;Viceroyalty of;;Vizekönigreich von;;;;;;;;;;;x
vice_royalty_kingdom;Viceroyalty;;Vizekönigreich;;;;;;;;;;;x
vice_royalty_duke;Magistrate;;Magistrat;;;;;;;;;;;x
vice_royalty_duke_female;Magistrate;;Magistratin;;;;;;;;;;;x
vice_royalty_duchy_of;Magistracy of;;Magistrat von;;;;;;;;;;;x
vice_royalty_duchy;Magistracy;;Magistrat;;;;;;;;;;;x
vice_royalty_count;Judge;;Richter;;;;;;;;;;;x
vice_royalty_count_female;Judge;;Richterin;;;;;;;;;;;x
vice_royalty_county_of;Viceroyal County of;;Vizegrafschaft von;;;;;;;;;;;x
vice_royalty_county;Viceroyal County;;Vizegrafschaft;;;;;;;;;;;x
vice_royalty_baron;Official;;Amtsträger;;;;;;;;;;;x
vice_royalty_baron_female;Official;;Amtsträgerin;;;;;;;;;;;x
vice_royalty_barony_of;Viceroyal Barony of;;Vizebaronie von;;;;;;;;;;;x
vice_royalty_barony;Viceroyal Barony;;Vizebaronie;;;;;;;;;;;x
