#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
honor_local_spirits;Honour Local Elementals;Honorer les élémentaires locaux;Ehrt die einheimischen Elementare;;;;;;;;;;;x
honor_local_spirits_desc;Prepare a ritual to honour local elementals.;Préparez un rituel pour honorer les élémentaux locaux.;Bereitet ein Ritual zu Ehren der lokalen Elementare vor.;;;;;;;;;;;x
friendly_spirits;Friendly Spirits;Esprits amicaux;Freundliche Geister;;;;;;;;;;;x
unfriendly_spirits;Unfriendly Spirits;Esprits hostiles;Unfreundliche Geister;;;;;;;;;;;x
echo_of_the_elements;Echo of the Elements;Écho des éléments;Echo der Elemente;;;;;;;;;;;x
commemorate_father;Commemorate Father;Commémorer votre père;Gedenken des Vaters;;;;;;;;;;;x
commemorate_father_desc;Commemorate your dead father.;Commémorez votre défunt père.;Gedenkt Eures toten Vaters.;;;;;;;;;;;x
commemorate_mother;Commemorate Mother;Commémorer votre mère;Gedenken der Mutter;;;;;;;;;;;x
commemorate_mother_desc;Commemorate your dead mother.;Commémorez votre défunte mère.;Gedenkt Eurer toten Mutter.;;;;;;;;;;;x
seek_ancestral_help;Seek Ancestral Help;Recherchez l'aide d'un ancêtre;Suche nach Hilfe der Vorfahren;;;;;;;;;;;x
seek_ancestral_help_desc;Seek help from your venerable ancestors.;Recherchez l'aide de vos vénérables ancêtres.;Ersucht Eure ehrwürdigen Vorfahren um Hilfe.;;;;;;;;;;;x
ancestral_might;Ancestral Might;Puissance ancestrale;Macht der Ahnen;;;;;;;;;;;x
ancestral_guidance;Ancestral Guidance;Orientation ancestrale;Führung der Ahnen;;;;;;;;;;;x
ancestral_wisdom;Ancestral Wisdom;Sagesse ancestrale;Weisheit der Ahnen;;;;;;;;;;;x
earth_mother_blessing;Earth Mother Blessing;Bénédiction de la Terre-Mère;Segnung der Erdenmutter;;;;;;;;;;;x
musha_blessing;Mu'sha Blessing;Bénédiction mu'sha;Mu'shas Segen;;;;;;;;;;;x
anshe_blessing;An'she Blessing;Bénédiction an'she;An'shes Segen;;;;;;;;;;;x
earth_mother_ritual;Earth Mother Ritual;Rituel de la Terre-Mère;Ritual der Erdenmutter;;;;;;;;;;;x
earth_mother_ritual_desc;Prepare a ritual to venerate the Earth Mother.;Préparez un rituel pour vénérer la Terre-Mère.;Bereitet ein Ritual zu Ehren der Erdenmutter vor.;;;;;;;;;;;x
earth_attunement;Earth Attunement;Harmonisation de terre;Einstimmung auf die Erde;;;;;;;;;;;x
earth_curse;Earth Curse;Malédiction de la terre;Fluch der Erde;;;;;;;;;;;x
water_attunement;Water Attunement;Harmonisation de terre;Einstimmung auf das Wasser;;;;;;;;;;;x
water_curse;Water Curse;Malédiction de l'eau;Fluch des Wassers;;;;;;;;;;;x
fire_attunement;Fire Attunement;Harmonisation de feu;Einstimmung auf das Feuer;;;;;;;;;;;x
fire_curse;Fire Curse;Malédiction du feu;Fluch des Feuers;;;;;;;;;;;x
air_attunement;Air Attunement;Harmonisation de l'air;Einstimmung auf die Luft;;;;;;;;;;;x
air_curse;Air Curse;Malédiction de l'air;Fluch der Luft;;;;;;;;;;;x
ice_attunement;Ice Attunement;Harmonisation de glace;Einstimmung auf das Eis;;;;;;;;;;;x
ice_curse;Ice Curse;Malédiction de la glace;Fluch des Eises;;;;;;;;;;;x
sand_attunement;Sand Attunement;Harmonisation de sable;Einstimmung auf den Sand;;;;;;;;;;;x
sand_curse;Sand Curse;Malédiction du sable;Fluch des Sandes;;;;;;;;;;;x
