#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
rifle_infantry;Riflemen;;;;;;;;;;;;;
rifle_infantry_offensive;Riflemen Offensive;;;;;;;;;;;;;
rifle_infantry_defensive;Riflemen Defensive;;;;;;;;;;;;;
rifle_infantry_morale;Riflemen Morale;;;;;;;;;;;;;
rifle_infantry_modifier;Riflemen Modifier;;;;;;;;;;;;;
death_knights;Death Knights;;;;;;;;;;;;;
death_knights_offensive;Death Knights Offensive;;;;;;;;;;;;;
death_knights_defensive;Death Knights Defensive;;;;;;;;;;;;;
death_knights_morale;Death Knights Morale;;;;;;;;;;;;;
death_knights_modifier;Death Knights Modifier;;;;;;;;;;;;;
scourgehorde;Undead;;;;;;;;;;;;;
scourgehorde_offensive;Undead Offensive;;;;;;;;;;;;;
scourgehorde_defensive;Undead Defensive;;;;;;;;;;;;;
scourgehorde_morale;Undead Morale;;;;;;;;;;;;;
scourgehorde_modifier;Undead Modifier;;;;;;;;;;;;;
war_machines;War Machine;;;;;;;;;;;;;
war_machines_offensive;War Machine Offensive;;;;;;;;;;;;;
war_machines_defensive;War Machine Defensive;;;;;;;;;;;;;
war_machines_morale;War Machine Morale;;;;;;;;;;;;;
war_machines_modifier;War Machine Modifier;;;;;;;;;;;;;
gryphon;Gryphon;;;;;;;;;;;;;
gryphon_offensive;Gryphon Offensive;;;;;;;;;;;;;
gryphon_defensive;Gryphon Defensive;;;;;;;;;;;;;
gryphon_morale;Gryphon Morale;;;;;;;;;;;;;
casters;Casters;;;;;;;;;;;;;
casters_offensive;Casters Offensive;;;;;;;;;;;;;
casters_defensive;Casters Defensive;;;;;;;;;;;;;
casters_morale;Casters Morale;;;;;;;;;;;;;
casters_modifier;Casters Modifier;;;;;;;;;;;;;
demonhunters;Demon Hunters;;;;;;;;;;;;;
demonhunters_offensive;Demon Hunter Offensive;;;;;;;;;;;;;
demonhunters_defensive;Demon Hunter Defensive;;;;;;;;;;;;;
demonhunters_morale;Demon Hunter Morale;;;;;;;;;;;;;
insectoidswarm;Insectoid Swarm;;;;;;;;;;;;;
insectoidswarm_offensive;Insectoid Swarm Offensive;;;;;;;;;;;;;
insectoidswarm_defensive;Insectoid Swarm Defensive;;;;;;;;;;;;;
insectoidswarm_morale;Insectoid Swarm Morale;;;;;;;;;;;;;
insectoidswarm_modifier;Insectoid Swarm Modifier;;;;;;;;;;;;;
insectoidguard;Insectoid Guard;;;;;;;;;;;;;
insectoidguard_offensive;Insectoid Guard Offensive;;;;;;;;;;;;;
insectoidguard_defensive;Insectoid Guard Defensive;;;;;;;;;;;;;
insectoidguard_morale;Insectoid Guard Morale;;;;;;;;;;;;;
insectoidguard_modifier;Insectoid Guard Modifier;;;;;;;;;;;;;
demonicshock;Demons;;;;;;;;;;;;;
demonicshock_offensive;Demon Offensive;;;;;;;;;;;;;
demonicshock_defensive;Demon Defensive;;;;;;;;;;;;;
demonicshock_morale;Demon Morale;;;;;;;;;;;;;
artillery;Artillery;;;;;;;;;;;;;
artillery_offensive;Artillery Offensive;;;;;;;;;;;;;
artillery_defensive;Artillery Defensive;;;;;;;;;;;;;
artillery_morale;Artillery Morale;;;;;;;;;;;;;
artillery_modifier;Artillery Modifier;;;;;;;;;;;;;
dragon_fletchlings;Dragon Fledgelings;;;;;;;;;;;;;
dragon_fletchlings_offensive;Dragon Fledgelings Offensive;;;;;;;;;;;;;
dragon_fletchlings_defensive;Dragon Fledgelings Defensive;;;;;;;;;;;;;
dragon_fletchlings_morale;Dragon Fledgelings Morale;;;;;;;;;;;;;
dragon_fletchlings_modifier;Dragon Fledgelings Modifier;;;;;;;;;;;;;
dragons;Dragons;;;;;;;;;;;;;
dragons_offensive;Dragons Offensive;;;;;;;;;;;;;
dragons_defensive;Dragons Defensive;;;;;;;;;;;;;
dragons_morale;Dragons Morale;;;;;;;;;;;;;
dragons_modifier;Dragons Modifier;;;;;;;;;;;;;
undead;Undead;;;;;;;;;;;;;
undead_offensive;Undead Offensive;;;;;;;;;;;;;
undead_defensive;Undead Defensive;;;;;;;;;;;;;
undead_morale;Undead Morale;;;;;;;;;;;;;
undead_modifier;Undead Modifier;;;;;;;;;;;;;
golems;Golems;;;;;;;;;;;;;
golems_offensive;Golems Offensive;;;;;;;;;;;;;
golems_defensive;Golems Defensive;;;;;;;;;;;;;
golems_morale;Golems Morale;;;;;;;;;;;;;
golems_modifier;Golems Modifier;;;;;;;;;;;;;
ancients;Ancients;;;;;;;;;;;;;
ancients_offensive;Ancients Offensive;;;;;;;;;;;;;
ancients_defensive;Ancients Defensive;;;;;;;;;;;;;
ancients_morale;Ancients Morale;;;;;;;;;;;;;
ancients_modifier;Ancients Modifier;;;;;;;;;;;;;
