#CODE;ENGLISH;FRENCH;GERMAN;;;;;;;;;;;x
# Common;;;;;;;;;;;;;;x
technocracy_baron;Tinker;;Tüftler;;;;;;;;;;;x
technocracy_count;Chief Engineer;;Chefingenieur;;;;;;;;;;;x
technocracy_duke;Chief Engineer;;Chefingenieur;;;;;;;;;;;x
technocracy_king;High Tinker;;Hochbastler;;;;;;;;;;;x
technocracy_emperor;Great Technocrat;;Großer Technokrat;;;;;;;;;;;x
technocracy_baron_female;Tinker;;Tüftlerin;;;;;;;;;;;x
technocracy_count_female;Chief Engineer;;Chefingenieurin;;;;;;;;;;;x
technocracy_duke_female;Chief Engineer;;Chefingenieurin;;;;;;;;;;;x
technocracy_king_female;High Tinker;;Hochbastlerin;;;;;;;;;;;x
technocracy_emperor_female;Great Technocrat;;Große Technokratin;;;;;;;;;;;x
technocracy_barony_of;Workshop of;;Werkstatt von;;;;;;;;;;;x
technocracy_county_of;Zone of;;Bereich von;;;;;;;;;;;x
technocracy_duchy_of;Technocracy of;;Technokratie von;;;;;;;;;;;x
technocracy_kingdom_of;Technocracy of;;Technokratie von;;;;;;;;;;;x
technocracy_empire_of;Techno-empire of;;Techno-Kaiserreich von;;;;;;;;;;;x
