#CODE;ENGLISH;FRENCH;GERMAN;;;;;;;;;;;x
# Common;;;;;;;;;;;;;;x
temple_barony_of;Temple of;;Tempel von;;;;;;;;;;;x
temple_county_of;Theocracy of;;Theokratie von;;;;;;;;;;;x
temple_duchy_of;Theocracy of;;Theokratie von;;;;;;;;;;;x
temple_kingdom_of;Theocracy of;;Theokratie von;;;;;;;;;;;x
temple_empire_of;Great Theocracy of;;Große Theokratie von;;;;;;;;;;;x
temple_baron;Priest;;Priester;;;;;;;;;;;x
temple_count;Priest;;Priester;;;;;;;;;;;x
temple_duke;High Priest;;Hohepriester;;;;;;;;;;;x
temple_king;High Priest;;Hohepriester;;;;;;;;;;;x
temple_emperor;High Priest;;Hohepriester;;;;;;;;;;;x
temple_baron_female;Priestess;;Priesterin;;;;;;;;;;;x
temple_count_female;Priestess;;Priesterin;;;;;;;;;;;x
temple_duke_female;High Priestess;;Hohepriesterin;;;;;;;;;;;x
temple_king_female;High Priestess;;Hohepriesterin;;;;;;;;;;;x
temple_emperor_female;High Priestess;;Hohepriesterin;;;;;;;;;;;x
# light_group;;;;;;;;;;;;;;x
temple_baron_light_group;Bishop;;Bischof;;;;;;;;;;;x
temple_count_light_group;Bishop;;Bischof;;;;;;;;;;;x
temple_duke_holy_light;Archbishop;;Erzbischof;;;;;;;;;;;x
temple_king_light_group;Bishop-King;;Erzbischof;;;;;;;;;;;x
temple_barony_of_light_group;Bishopric of;;Abtei von;;;;;;;;;;;x
temple_county_of_light_group;Prince-Bishopric of;;Bistum von;;;;;;;;;;;x
temple_duchy_of_light_group;Prince-Archbishopric of;;Erzbistum von;;;;;;;;;;;x
temple_baron_female_light_group;Bishop;;Bischöfin;;;;;;;;;;;x
temple_count_female_light_group;Bishop;;Bischöfin;;;;;;;;;;;x
temple_duke_female_light_group;Archbishop;;Erzbischöfin;;;;;;;;;;;x
temple_king_female_light_group;Bishop-King;;Erzbischöfin;;;;;;;;;;;x
# fel_group;;;;;;;;;;;;;;x
temple_baron_orcish_fel;Warlock;;Hexenmeister;;;;;;;;;;;x
temple_count_fel_group;Warlock;;Hexenmeister;;;;;;;;;;;x
temple_duke_fel_group;High Warlock;;Hoher Hexenmeister;;;;;;;;;;;x
temple_king_fel_group;High Warlock;;Oberster Hexenmeister;;;;;;;;;;;x
temple_baron_female_fel_group;Warlock;;Hexenmeisterin;;;;;;;;;;;x
temple_count_female_fel_group;Warlock;;Hexenmeisterin;;;;;;;;;;;x
temple_duke_female_fel_group;High Warlock;;Hohe Hexenmeisterin;;;;;;;;;;;x
temple_king_female_fel_group;High Warlock;;Oberste Hexenmeisterin;;;;;;;;;;;x
temple_barony_of_fel_group;Altar of;;Alter von;;;;;;;;;;;x
# Theocracy of the Loa cult;;;;;;;;;;;;;;x
temple_barony_of_loa_group;Temple of;;Tempel von;;;;;;;;;;;x
temple_empire_of_loa_group;Empire of;;Imperium von;;;;;;;;;;;x
# arcane_religion
temple_barony_of_arcane_religion;Citadel of;;Zitadelle von;;;;;;;;;;;x
# rationalism
temple_barony_of_rationalism;Workshop of;;Werkstatt von;;;;;;;;;;;x
# naaru;;;;;;;;;;;;;;x
temple_baron_naaru;Priest;;Ordensbruder;;;;;;;;;;;x
temple_count_naaru;Priest;;Priester;;;;;;;;;;;x
temple_duke_naaru;Prelate;;Prälat;;;;;;;;;;;x
temple_king_naaru;High Prelate;;Hoher Prälat;;;;;;;;;;;x
temple_emperor_naaru;Grand Prelate;;Großprälat;;;;;;;;;;;x
temple_baron_female_naaru;Priestess;;Ordensschwester;;;;;;;;;;;x
temple_count_female_naaru;Priestess;;Priesterin;;;;;;;;;;;x
temple_duke_female_naaru;Prelate;;Prälatin;;;;;;;;;;;x
temple_king_female_naaru;High Prelate;;Hohe Prälatin;;;;;;;;;;;x
temple_emperor_female_naaru;Grand Prelate;;Großprälatin;;;;;;;;;;;x
temple_barony_of_naaru;Temple of;;Tempel von;;;;;;;;;;;x
temple_county_of_naaru;Theocracy of;;Theokratie von;;;;;;;;;;;x
temple_duchy_of_naaru;Theocracy of;;Theokratie von;;;;;;;;;;;x
temple_kingdom_of_naaru;Theocracy of;;Theokratie von;;;;;;;;;;;x
temple_empire_of_naaru;Great Theocracy of;;Großtheokratie von;;;;;;;;;;;x
# lightbound;;;;;;;;;;;;;;x
temple_baron_lightbound;Priest;;Ordensbruder;;;;;;;;;;;x
temple_count_lightbound;Priest;;Priester;;;;;;;;;;;x
temple_duke_lightbound;Prelate;;Prälat;;;;;;;;;;;x
temple_king_lightbound;High Prelate;;Hoher Prälat;;;;;;;;;;;x
temple_emperor_lightbound;Grand Prelate;;Großprälat;;;;;;;;;;;x
temple_baron_female_lightbound;Priestess;;Ordensschwester;;;;;;;;;;;x
temple_count_female_lightbound;Priestess;;Priesterin;;;;;;;;;;;x
temple_duke_female_lightbound;Prelate;;Prälatin;;;;;;;;;;;x
temple_king_female_lightbound;High Prelate;;Hohe Prälatin;;;;;;;;;;;x
temple_emperor_female_lightbound;Grand Prelate;;Großprälatin;;;;;;;;;;;x
temple_barony_of_lightbound;Temple of;;Tempel von;;;;;;;;;;;x
temple_county_of_lightbound;Theocracy of;;Theokratie von;;;;;;;;;;;x
temple_duchy_of_lightbound;Theocracy of;;Theokratie von;;;;;;;;;;;x
temple_kingdom_of_lightbound;Theocracy of;;Theokratie von;;;;;;;;;;;x
temple_empire_of_lightbound;Great Theocracy of;;Großtheokratie von;;;;;;;;;;;x
