#CODE;ENGLISH;FRENCH;GERMAN;;;;;;;;;;;x
# Common;;;;;;;;;;;;;;x
tribal_duke;Chieftain;;Häuptling;;;;;;;;;;;x
tribal_king;High Chieftain;;Oberhäuptling;;;;;;;;;;;x
tribal_emperor;Emperor;;Kaiser;;;;;;;;;;;x
tribal_duke_female;Chieftess;;Häutlingsfrau;;;;;;;;;;;x
tribal_king_female;High Chieftess;;Oberhäuptlingsfrau;;;;;;;;;;;x
tribal_emperor_female;Empress;;Kaiserin;;;;;;;;;;;x
tribal_duchy_of;Tribe of;;Stamm von;;;;;;;;;;;x
tribal_kingdom_of;High Tribe of;;Hochstamm von;;;;;;;;;;;x
tribal_empire_of;Empire of;;Imperium von;;;;;;;;;;;x
tribal_duchy;Clan;;Clan;;;;;;;;;;;x
tribal_kingdom;High Clan;;Clan;;;;;;;;;;;x
tribal_empire;Empire;;Imperium;;;;;;;;;;;x
# troll_group;;;;;;;;;;;;;;x
tribal_emperor_troll_group;God King;;Gottkönig;;;;;;;;;;;x
tribal_emperor_female_troll_group;God Queen;;Gottkönigin;;;;;;;;;;;x
tribal_empire_of_troll_group;Empire of;;Imperium von;;;;;;;;;;;x
# vrykul_group;;;;;;;;;;;;;;x
tribal_king_vrykul_group;King;;König;;;;;;;;;;;x
tribal_king_female_vrykul_group;Queen;;Königin;;;;;;;;;;;x
tribal_king_of_vrykul_group;Kingdom of;;Königreich von;;;;;;;;;;;x
tribal_emperor_vrykul_group;Emperor;;Kaiser;;;;;;;;;;;x
tribal_emperor_female_vrykul_group;Empress;;Kaiserin;;;;;;;;;;;x
tribal_empire_of_vrykul_group;Empire of;;Kaiserreich von;;;;;;;;;;;x
