#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
;;;;;;;;;;;;;;x
#Evil Upgrades;;;;;;;;;;;;;;x
upgrade_unholy_statues;Unholy Statues;Statues impies;Unheilige Statuen;;;;;;;;;;;x
upgrade_unholy_statues_desc;These statues of unholy creatures strike terror in the hearts of enemies and inspire the dark army.;Ces statues de créatures impie font régner la terreur dans le cœur des ennemis et inspirent l'armée obscures.;Diese Statuen von unheiligen Kreaturen verbreiten Schrecken in den Herzen der Feinde und inspirieren die dunkle Armee.;;;;;;;;;;;x
upgrade_sanctuary_of_shadows;Sanctuary of Shadows;Sanctuaire des Ombres;Heiligtum der Schatten;;;;;;;;;;;x
upgrade_sanctuary_of_shadows_desc;This sanctuary serves as meeting places for acolytes.;Ce sanctuaire sert de lieu de rencontre pour les acolytes.;Dieses Heiligtum dient als Treffpunkt für Akolythen.;;;;;;;;;;;x
upgrade_black_walls;Black Walls;Murs noirs;Schwarze Mauern;;;;;;;;;;;x
upgrade_black_walls_desc;The walls of this building are made of black stone unknown to mortal races.;Les murs de ce bâtiment sont faits de pierres noires inconnues des mortels.;Die Wände dieses Gebäudes sind aus einem schwarzen Stein, der den sterblichen Rassen unbekannt ist.;;;;;;;;;;;x
upgrade_crimson_hall;Crimson Hall;Salle cramoisie;Purpurrote Halle;;;;;;;;;;;x
upgrade_crimson_hall_desc;This hall is luxuriously decorated in red decorations and scarlet coloured curtains and used for military meetings;Cette salle est luxueusement décorée de décorations rouges et de rideaux de couleur écarlate et est utilisée pour les réunions militaires.;Dieser Saal ist luxuriös mit roten Dekorationen und scharlachroten Vorhängen verziert und wird für militärische Veranstaltungen genutzt.;;;;;;;;;;;x
upgrade_plagueworks;Slaughterhouse;Abattoir;Schlachthaus;;;;;;;;;;;x
upgrade_plagueworks_desc;Here, the best necromancers turn the flesh of mortal races into works of art.;Ici, les meilleurs nécromanciens transforment la chair des races mortelles en œuvres d'art.;Hier verwandeln die besten Nekromanten das Fleisch der sterblichen Rassen in wahre Kunstwerke.;;;;;;;;;;;x
upgrade_nerubian_busts;Nerubian Busts;Bustes nérubiens;Nerubische Büsten;;;;;;;;;;;x
upgrade_nerubian_busts_desc;These cold black eyes cause any mortal to panic.;Ces yeux noirs et froids provoquent la panique chez tout mortel.;Diese kalten schwarzen Augen lassen jeden Sterblichen in Panik geraten.;;;;;;;;;;;x
upgrade_endless_corridors;Endless Corridors;Couloirs sans fin;Endlose Korridore;;;;;;;;;;;x
upgrade_endless_corridors_desc;A giant network of corridors connecting crypts and giant halls.;Un réseau géant de couloirs reliant des cryptes et des salles géantes.;Ein riesiges Netz von Korridoren, die Krypten und riesige Hallen verbinden.;;;;;;;;;;;x
upgrade_twilight_altar;Twilight Altar;Autel du Crépuscule;Altar des Zwielichts;;;;;;;;;;;x
upgrade_twilight_altar_desc;Every death brings the Old Gods closer to the complete corruption of this world.;Chaque mort rapproche les Dieux très anciens de la corruption totale de ce monde.;Jeder Tod bringt die alten Götter der völligen Verderbnis dieser Welt näher.;;;;;;;;;;;x
upgrade_old_gods_relics;Old Gods' Relics;Reliques des Dieux très anciens;Relikte der alten Götter;;;;;;;;;;;x
upgrade_old_gods_relics_desc;Pulsating fetid flesh of the Old Gods.;Pulsation de la chair fétide des Dieux très anciens.;Pulsierendes, stinkendes Fleisch der alten Götter.;;;;;;;;;;;x
upgrade_black_obelisks;Black Obelisks;Obélisques noires;Schwarze Obelisken;;;;;;;;;;;x
upgrade_black_obelisks_desc;Only the Old Gods know the purpose of these monumental structures.;Seuls les Dieux très anciens connaissent le but de ces structures monumentales.;Nur die alten Götter kennen den Zweck dieser monumentalen Bauwerke.;;;;;;;;;;;x
upgrade_soul_extractor;Soul Extractor;Extracteur d'âme;Seelenfresser;;;;;;;;;;;x
upgrade_soul_extractor_desc;A tool used to extract the soul of mortal creatures.;Un outil utilisé pour extraire l'âme des créatures mortelles.;Ein Werkzeug, das verwendet wird, um die Seelen sterblicher Geschöpfe zu extrahieren.;;;;;;;;;;;x
upgrade_demonic_machinery;Demonic Machinery;Mécanismes démoniaques;Dämonische Maschinen;;;;;;;;;;;x
upgrade_demonic_machinery_desc;Giant fel mechanisms supporting the work of this complex.;Des mécanismes géants gangrenés soutiennent le travail de ce complexe.;Riesige Fel-Mechanismen, die die Arbeit dieses Komplexes unterstützen.;;;;;;;;;;;x
upgrade_fel_pool;Fel Pool;Bassin gangrené;Fel-Becken;;;;;;;;;;;x
upgrade_fel_pool_desc;This pool of Fel Energy feeds the demonic creatures inhabiting this structure.;Ce bassin d'énergies gangrenées alimente les créatures démoniaques qui habitent cette structure.;Dieses Becken der Fel-Energie versorgt die dämonischen Kreaturen, die diese Struktur bewohnen.;;;;;;;;;;;x
upgrade_construct_quarter;Construct Quarter;Quartier des constructeurs;Quartier errichten;;;;;;;;;;;x
