#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTTITLE_WCCLS_1;Education Initiated;Apprentissage débuté;Ausbildung begonnen;;;;;;;;;;;x
EVTDESC_WCCLS_1;The path of a mage is laden with danger and great rewards. Some are notorious for their destructive capabilities, while others are praised purely for the way they dedicate their powers to protect the innocent. A mage can control the arcane and dip directly into the Ley energies that fuel Azeroth in order to defend or attack with frost or flaming magic. Others can harness this arcane power and use it in its rawest form. Though through hard studying and a little risk, you may very well see yourself beyond the powers of the historical Guardians of Tirisfal.;Le voie du mage est semée d'embûches mais aussi de grands bénéfices. Certains sont connus pour leurs capacités dévastatrices, tandis que d'autres sont admirés uniquement pour la façon dont ils consacrent leurs pouvoirs à la protection des innocents. Un mage peut manipuler les arcanes et plonger directement dans les énergies telluriques afin d’anéantir ses ennemis au moyen de puissantes magies de feu ou de givre, alors que d'autres peuvent exploiter ce pouvoir arcanique dans sa forme la plus brute. Malgré des études difficiles à haut-risque, vous pourriez très bien envisager d’aller au-delà des pouvoirs des Gardiens de Tirisfal, si le cœur vous en dit.;Der Pfad des Magiers ist lang und hart. Ein geschickter Magier allein kann so mächtig sein wie ein ganzes Heer und die arkanen Künste zu seinem Vorteil nutzen. Wenn jemand es schafft, einem Magier nahe zu kommen, erweisen sich ihre Angriffe als nutzlos, da sich Magier mit magischen Barrieren schützen können. Mit Zeit und viel Geduld werdet Ihr mächtig werden, vorausgesetzt, Ihr kommt nicht vom rechten Pfad ab.;;;;;;;;;;;x
EVTTITLE_WCCLS_100;Education Completed;Apprentissage terminé;Ausbildung abgeschlossen;;;;;;;;;;;x
EVTDESC_WCCLS_100;You have completed your magical training by performing exceptionally well in several schools of magic, including frost, fire, and arcane. Your enemies will soon fear the power you wield and will think twice before crossing your path. Be careful with the power you now hold as being unwieldly with the arcane can lead to disaster. In the end just remember, mages never sleep they simply blink more often.;Vous avez terminé votre entraînement à la magie en exécutant des performances absolument exceptionnelles dans plusieurs écoles, notamment la magie du givre, du feu et des arcanes. Vos ennemis vont bientôt craindre votre immense pouvoir et y réfléchiront à deux fois avant de se mettre en travers de votre route. Désormais, soyez prudent et sages avec le pouvoir que vous détenez, car ne pas le contrôler vous mènera tout droit au désastre. En fin de compte, souvenez-vous, les mages ne dorment jamais.;Ihr habt Eure Ausbildung zum Magier abgeschlossen und habt in mehreren magischen Schulen außergewöhnlich gut abgeschnitten. Eure Feinde sollten Eure neue Macht fürchten und es sich zweimal überlegen, bevor sie Euch angreifen. Allerdings solltet Ihr vorsichtig mit dieser neuen Macht sein, da Ihr jetzt in der Lage seid, ganze Städte auszulöschen! Viel Glück, Magier[From.GetinFemale]. Und vergesst nicht - Magier schlafen nicht. Sie blinzeln einfach öfter.;;;;;;;;;;;x
EVTDESC_WCCLS_101;The path of a hunter is solely for those who find themselves entranced with nature and its creatures. No one on Azeroth knows the wilds better than hunters. Capable of taming most wild beasts, they become surrounded by loyal warriors on whom they can rely. They are masters of tracking and trapping, and as such it will take much practice to truly dominate Azeroth's wilds.;La voie du chasseur est réservée à ceux attirés depuis leur plus jeune âge par l’appel de la nature pour les plonger dans la sauvagerie impitoyable du monde extérieur. Personne en Azeroth ne connaît mieux la nature que ces gens. Capables d'apprivoiser la plupart des bêtes sauvages, ils sont entourés de guerriers loyaux sur lesquels ils peuvent s’appuyer et compter. Ils maîtrisent l’art du pistage et des pièges, mais auront besoin de beaucoup de pratique pour véritablement dominer les étendues sauvages d’Azeroth.;Der Weg des Jägers ist ideal für diejenigen, die sich in der Natur zuhause fühlen. Niemand kennt Azeroths Wälder und Wildtiere besser als Jäger. Sie sind in der Lage, die meisten Tiere zu zähmen und damit einen großartigen Freund zu gewinnen, auf den sie sich verlassen können, ohne einen Verrat fürchten zu müssen. Als Meister im Aufstellen von Fallen und im Spurenlesen sind sie immer gerne bereit, ihr Wissen zu teilen oder andere zu beraten.;;;;;;;;;;;x
EVTDESC_WCCLS_200;You have become adept in the ways of the hunter. Many beasts that you have befriended now follow you faithfully. Always attacking from a distance, you can track your prey for miles and strike when they least expect it. Only beasts are above deceit on Azeroth, and any of them are likely to declare their loyalty for you in this hostile world.;Vous maîtrisez les habilités du chasseur. De nombreux animaux avec lesquels vous êtes devenus amis et compagnons vous suivent désormais fidèlement. Lorsque vous tirez sur votre proie, vous pouvez la suivre sur des kilomètres et frapper quand elle s'y attend le moins. Seules les bêtes ne mentent jamais, et toutes peuvent vous déclarer leur loyauté éternelle dans ce monde froid et hostile.;Ihr habt Eure Ausbildung zum Jäger abgeschlossen. Ihr habt Euch mit vielen Tieren angefreundet, die Euch unerbittlich folgen werden. Nachdem Ihr ein Experte auf der Jagd geworden seid, könnt Ihr Eure Feinde für lange Strecken verfolgen, ohne zu ermüden und dabei Eure Gegner zu erschöpfen. Wenn ein Feind es wagt, Euch anzugreifen, wird er mit Eurer ganzen Kraft getroffen und wahrscheinlich von Eurer Hand umkommen. Viel Glück, Jäger[From.GetinFemale]! Nur Tiere sind über Täuschung erhaben, und ein jedes von ihnen kann ein großer Freund in dieser feindseligen Welt werden.;;;;;;;;;;;x
EVTDESC_WCCLS_201;Warriors are glory-seekers. Many of them become strong enough to defeat any physical enemy. Others follow more tactical routes, overcoming their enemies with their wit and agility. Whatever path is taken, the true path of the warrior leads to indomitable courage and success in war. It is a track to which many aspire but that many also fail. May Azeroth see you among his greatest warriors in history.;Les guerriers recherchent la gloire. Nombre d’entre eux deviennent assez puissants pour anéantir tous leurs ennemis alors que d’autres suivent des chemins plus tactiques et techniques, surmontant leurs ennemis avec une agilité et un mental à tout épreuve. Quelle que soit la voie empruntée, elle mène à un courage indomptable et aux victoires sur le champ de bataille. C'est une piste à laquelle beaucoup aspirent mais où beaucoup échouent également. Puisse Azeroth vous voir parmi ses plus grands combattants de l’histoire.;Der Weg des Kriegers ist für diejenigen, die den Ruhm in der Schlacht suchen. Große Krieger führen und inspirieren ihre Soldaten, es braucht Mut, um den Verlauf einer Schlacht zu wenden. Mit dem Training könnt Ihr unübertroffene Kampfkunst erreichen und schließlich zu einem der größten Kämpfer werden, die Azeroth je gesehen hat.;;;;;;;;;;;x
EVTDESC_WCCLS_300;You have become an extremely well-versed fighter and warrior. By now, several foes have fallen to your weapons' blows, even the bluntest butter knife in your hands is lethal. Many other warriors now look to you for inspiration in their quest. Perhaps now even the Valarjar are envious of your skill?;Vous êtes devenu un combattant aguerri. À ce jour, de nombreux adversaires sont tombés sous votre lame. Même le couteau le plus émoussé du monde, quand il est entre vos mains, est mortel. Beaucoup d'autres guerriers se tournent maintenant vers vous pour trouver la motivation dans leurs ambitions. Peut-être même que maintenant les Valarjar envient votre talent ?;Ihr habt Euer Training abgeschlossen, um ein Krieger zu werden und seid jetzt bereit, jeden Feind auf dem Schlachtfeld zu bekämpfen. Egal, ob Ihr mit einer Waffe und einem Schild, einer Zweihandwaffe oder gar mit zwei Waffen zur selben Zeit kämpft, selbst ein Hocker in Euren Händen wird tödlich sein. Viel Glück, Krieger[From.GetinFemale]! Wir hoffen, dass Ihr Eure Lehrer ehren werdet und selbst zu etwas werdet, auf das sie stolz sein können.;;;;;;;;;;;x
EVTDESC_WCCLS_301;To be a paladin is to strive to be good in all things. Paladins aim for the divine in all that they do, becoming an armored beacon for the faithful. With the power of the Holy Light, you shall endeavor to protect the innocent and drive away the darkness that hunts them. The evils of Azeroth will soon shy away from your blinding light.;Être paladin, c'est s'efforcer d'être juste en tout. Ils visent le divin dans tout ce qu’ils font, devenant ainsi un phare étincelant pour les fidèles. Avec le pouvoir de la Sainte Lumière, vous dédiez votre vie à la protection des innocents et à la lutte contre les forces maléfiques d’Azeroth, qui fuiront bientôt votre lumière vengeresse.;Der Weg des Paladins ist ein Weg der Tapferkeit. Gesegnet durch das Licht beschützt Ihr die Schwachen und bringt Euren Feinden Gerechtigkeit! Paladine gibt es seit der Zeit vor dem Zweiten Krieg, als sie Heldenmut zeigten und furchtlos den mächtigsten Gegner gegenüberstanden. Indem sie das heilige Licht nutzen, um Verbündete zu heilen oder ihre Feinde zu vernichten, können sie das Böse aus den dunkelsten Ecken der Welt vertreiben.;;;;;;;;;;;x
EVTDESC_WCCLS_400;You have become a true warrior of the Holy Light, unbending to the forces of darkness that plague Azeroth. With great power comes great responsibility, as the forces of evil will always come to meet you as the Light's vanguard and beacon. May the weak and innocent of this world always find you as a guide and protector.;Vous êtes devenu un véritable chevalier de la Sainte Lumière, inflexible face aux forces maléfiques qui pullulent sur Azeroth. Un grand pouvoir implique de grandes responsabilités, car les forces du Mal viendront toujours à votre rencontre en tant qu'avant-garde et bouclier de la Sainte Lumière. Que les faibles et les innocents de ce monde vous voient toujours en guide et protecteur.;Ihr habt Eure Ausbildung zum Paladin absolviert und mit dem heiligen Licht an Eurer Seite seid Ihr in der Lage, die Mächte des Bösen mit Leichtigkeit zu bekämpfen und zu zerstören. Viel Glück, Paladin[From.GetinFemale]! Ihr seid ein Beschützer dieser Welt, der die Last trägt, ihre Sicherheit gegen das Böse zu gewährleisten.;;;;;;;;;;;x
EVTDESC_WCCLS_401;The powers of the divine do not always speak clearly, though when they do, they speak through their priests. These holy men and women are mouthpieces and weapons of [Root.GetEluneTheLight]. While not as armoured or as strong as paladins, priests channel pure divine magic to achieve their goals and protect the innocent.  It is a long line of study, and there will be many tests of faith, but one day you may very well become the greatest master of healing and preservation Azeroth has ever seen.;Les pouvoirs sacrés restent souvent silencieux, mais lorsqu'ils s’expriment, ils le font par l'intermédiaire de leurs prêtres. Ces saints hommes et femmes sont la voix et les bras de la Sainte Lumière. Bien qu'ils ne soient pas aussi physiquement puissants qu'un paladin, les prêtres canalisent la pure magie divine pour atteindre leurs objectifs et protéger les innocents. C'est un long apprentissage et il y aura de nombreuses épreuves de foi, mais un jour, vous serez l'un des maîtres les plus sacrés d'Azeroth.;Der Weg des Priesters ist der Weg des Glaubens. Wie Paladine sind sie Diener des Lichts, und obwohl sie nicht an vorderster Front stehen, wissen sie sich zu verteidigen, sollten sie bedroht werden. Ihr wisst, dass Eure Schilde und Zauber durch die Stärke Eures Geistes gestärkt werden. Indem Ihr Kraft von der dunklen Seite Eurer Seele nehmt, seid Ihr sogar in der Lage, den Verstand Eures Gegners zu Eurem Vorteil zu beeinflussen oder sie mit unerträglichem Leid in den Wahnsinn zu treiben - wenn es das ist, was Ihr wollt.;;;;;;;;;;;x
