#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#CODE;ENGLISH;;;;;;;;;;;;;x
ET_rape_fem;Rape;;;;;;;;;;;;;x
ET_rape_fem_desc;Force her to have sex.;;;;;;;;;;;;;x
ETrapefemdesc;You knock her down and begin to tear away her clothing. She cries out as you force yourself inside her.;;;;;;;;;;;;;x
ETrapefinish;You release your semen deep inside her.;;;;;;;;;;;;;x
ET_blind;Blind;;;;;;;;;;;;;x
ET_blind_desc;Blind this character.;;;;;;;;;;;;;x
ET_no_hand;Cut off hands;;;;;;;;;;;;;x
ET_no_hand_desc;Cut off hands.;;;;;;;;;;;;;x
no_hand;No Hand;;;;;;;;;;;;;x
no_hand_desc;This character had both hands cut off!;;;;;;;;;;;;;x
ET_castrate;Castrate;;;;;;;;;;;;;x
ET_castrate_desc;Castrate him.;;;;;;;;;;;;;x
