#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
farm_1_desc;This is where the crops for your country are made.;;;;;;;;;;;;;x
mine_1_desc;A deep network of tunnels and digging sites with the sole purpos of bringing riches from under the ground.;;;;;;;;;;;;;x
lumber_mill_1_desc;Lumber gets processed to be used in diverse industries.;;;;;;;;;;;;;x
tavern_1_desc;A place where heroes and common men alike gather and enjoy a good drink;;;;;;;;;;;;;x
ca_village_1;Hamlet;;Ortschaft;;;;;;;;;;;x
ca_village_2;Village;;Dorf;;;;;;;;;;;x
ca_village_3;Town;;Stadt;;;;;;;;;;;x
ca_village_4;City;;Groﬂstadt;;;;;;;;;;;x
ca_village_5;Metropolis;;Metropole;;;;;;;;;;;x
ca_village_1_desc;A small village with a few people walking the streets and going on their daily busines.;;;;;;;;;;;;;x
ca_village_2_desc;People can be seen walking on the streets of this village rather frequently and shops are being used from time to time.;;;;;;;;;;;;;x
ca_village_3_desc;Merchants coming from far and away are now using the roads of this town to bring their wares and the streets are busy;;;;;;;;;;;;;x
ca_village_4_desc;Shops can be found in most places now and the streets are alive both at day and at night.;;;;;;;;;;;;;x
ca_village_5_desc;The roads of this metropolis are swarming with people, shops can be seen in every corner and there is oppertunity wherever you go.;;;;;;;;;;;;;x
ca_garden_1;Garden;;Garten;;;;;;;;;;;x
ca_garden_2;Garden;;Garten;;;;;;;;;;;x
ca_garden_3;Garden;;Garten;;;;;;;;;;;x
ca_garden_4;Garden;;Garten;;;;;;;;;;;x
ca_garden_5;Garden;;Garten;;;;;;;;;;;x
ca_garden_6;Garden;;Garten;;;;;;;;;;;x
garden_1_desc;A public garden that calms everyone visiting it.;;;;;;;;;;;;;x
ca_marketplace_1;Marketplace;;Marktplatz;;;;;;;;;;;x
ca_marketplace_2;Marketplace;;Marktplatz;;;;;;;;;;;x
ca_marketplace_3;Marketplace;;Marktplatz;;;;;;;;;;;x
ca_marketplace_4;Marketplace;;Marktplatz;;;;;;;;;;;x
ca_marketplace_5;Marketplace;;Marktplatz;;;;;;;;;;;x
ca_marketplace_6;Marketplace;;Marktplatz;;;;;;;;;;;x
marketplace_1_desc;The center of commerce in the area;;;;;;;;;;;;;x
