#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
Loa_group_option_next_1;Show me more gods!;;Zeigt mir weitere Götter!;;;;;;;;;;;x
Loa_group_option_previous_1;Show me the previous gods!;;Zeigt mir die vorherigen Götter!;;;;;;;;;;;x
Loa1001;Early troll tribes, though varying wildly in customs and traditions, all shared a common religion: the worship and reverence for the Wild Gods. Now it is your time to pick a one of these gods and follow its wisdom;;Die frühen Trollstämme, obwohl sie in ihren Bräuchen und Traditionen variieren, teilten alle eine gemeinsame Religion: die Anbetung und Verehrung der Wilden Götter. Jetzt ist es an der Zeit, eine dieser Gottheiten auszuwählen und ihrer Weisheit zu folgen.;;;;;;;;;;;x
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Loa_group_option_1;Amani Loa;Loa amani;Amani Loa;;;;;;;;;;;x
Loa_group_option_2;Bloodscalp Totemic Spirits;Esprits totémiques scalps-rouges;Blutskalp Totemgeister;;;;;;;;;;;x
Loa_group_option_3;Darkspear Loa;Loa sombrelance;Darkspear Loa;;;;;;;;;;;x
Loa_group_option_4;Drakkari Loa;Loa drakkari;Drakkari Loa;;;;;;;;;;;x
Loa_group_option_5;Gurubashi Loa;Loa gurubashi;Gurubashi Loa;;;;;;;;;;;x
Loa_group_option_6;Sandfury Loa;Loa furie-des-sables;Sandfury Loa;;;;;;;;;;;x
Loa_group_option_7;Vilebranch and Witherbark Loa;Loa vilebranche et fanécorce;Blutfratzen und Bleichbarken Loa;;;;;;;;;;;x
Loa_group_option_8;Zandalari Loa;Loa zandalari;Zandalari Loa;;;;;;;;;;;x
Loa_group_option_9;Presumed Loa;Loa présumé;Angenommene Loa;;;;;;;;;;;x
;;;;;;;;;;;;;;
#Decisions;;;;;;;;;;;;;;
pick_main_loa;Pick a Loa to Worship;;Wählt einen Loa zum Anbeten;;;;;;;;;;;x
pick_main_loa_desc;Loa are the spirits of all!;;Loa sind die Geister aller!;;;;;;;;;;;x
pick_main_loa_tooltip;§Y[Root.GetTitledFirstName]§! gets to pick a new Loa to worship.;;§Y[Root.GetTitledFirstName]§! Wählt einen Loa zum Anbeten.;;;;;;;;;;;x
pick_main_loa_timer_tooltip;You have NOT picked a Loa in past 10 years;;Ihr habt in den letzten 10 Jahren keinen Loa ausgewählt;;;;;;;;;;;x
;;;;;;;;;;;;;;
#Events;;;;;;;;;;;;;;
EVTDESC_WCLOA_1010;The time has come for me to pick one of the Loa to venerate. Every troll has to honour at least one of the spirits, whether it is an animal Loa, or a Loa from spirit realm. Who will I worship?;;Es ist an der Zeit, dass ich einen der Loa auswähle, um ihn anzubeten. Jeder Troll muss mindestens einen der Geister ehren, sei es einen tierischen Loa oder einen Loa aus dem Geisterreich. Wen soll ich anbeten?;;;;;;;;;;;x
EVTOPTA_WCLOA_1010;I will worship the same Loa as my master!;;Ich werde den selben Loa anbeten wie mein Lehnsherr!;;;;;;;;;;;x
EVTOPTB_WCLOA_1010;Nalorakk, the Bear!;;Nalorakk, der Bär!;;;;;;;;;;;x
EVTOPTC_WCLOA_1010;Akil'zon, the Eagle!;;Akil'zon, der Adler!;;;;;;;;;;;x
EVTOPTD_WCLOA_1010;Jan'alai, the Dragonhawk!;;Jan'alai, der Drachenfalke!;;;;;;;;;;;x
EVTOPTE_WCLOA_1010;Halazzi, the Lynx!;;Halazzi, der Luchs!;;;;;;;;;;;x
EVTOPTF_WCLOA_1010;Mahamba, the Water Spirit!;;Mahamba, der Wassergeist!;;;;;;;;;;;x
EVTOPTG_WCLOA_1010;Tsul'Kalu, the Earth Spirit!;;Tsul'Kalu, der Erdgeist!;;;;;;;;;;;x
EVTOPTH_WCLOA_1010;Pogeyan, the Fire Spirit!;;Pogeyan, der Feuergeist!;;;;;;;;;;;x
EVTOPTI_WCLOA_1010;Bwonsamdi, the Guardian of the Dead!;;Bwonsamdi, der Wächter der Toten!;;;;;;;;;;;x
EVTOPTK_WCLOA_1010;Shango, the Loa of the Storms!;;Shango, der Loa des Sturms!;;;;;;;;;;;x
EVTOPTL_WCLOA_1010;Shirvallah, the Tiger!;;Shirvallah, der Tiger!;;;;;;;;;;;x
EVTOPTM_WCLOA_1010;Hir'eek, the Bat!;;Hir'eek, die Fledermaus!;;;;;;;;;;;x
EVTOPTN_WCLOA_1010;Elortha no Shadra, the Spider!;;Elortha no Shadra, die Spinne!;;;;;;;;;;;x
EVTOPTO_WCLOA_1010;Akali, the Rhino!;;Akali, das Nashorn!;;;;;;;;;;;x
EVTOPTP_WCLOA_1010;Har'koa, the Snow Leopard!;;Har'koa, der Schneeleopard!;;;;;;;;;;;x
EVTOPTQ_WCLOA_1010;Mam'toth, the Mammoth!;;Mam'toth, das Mammut!;;;;;;;;;;;x
EVTOPTR_WCLOA_1010;Quetz'lun, the Wind Serpent!;;Quetz'lun, die wilde Schlange!;;;;;;;;;;;x
EVTOPTS_WCLOA_1010;Rhunok, the Arctic Bear!;;Rhunok, der Eisbär!;;;;;;;;;;;x
EVTOPTT_WCLOA_1010;Sseratus, the Serpent!;;Sseratus, die Schlange!;;;;;;;;;;;x
EVTOPTU_WCLOA_1010;Tharon'ja, the Skeletal Wind Serpent!;;Tharon'ja, die skelettierte Windschlange!;;;;;;;;;;;x
EVTOPTV_WCLOA_1010;Dubra'Jin!;;Dubra'Jin!;;;;;;;;;;;x
EVTOPTW_WCLOA_1010;Zim'Abwa!;;Zim'Abwa!;;;;;;;;;;;x
EVTOPTX_WCLOA_1010;Zim'Rhuk, the Wise One!;;Zim'Rhuk, der weise!;;;;;;;;;;;x
EVTOPTY_WCLOA_1010;Zim'Torga, the Mother of Prosperity!;;Zim'Torga, die Mutter des Wohlstands!;;;;;;;;;;;x
EVTOPTZ_WCLOA_1010;Bethekk, the Panther!;;Bethekk, der Panther!;;;;;;;;;;;x
EVTOPTAA_WCLOA_1010;Hethiss, the Snake!;;Hethiss, die Schlange!;;;;;;;;;;;x
EVTOPTAB_WCLOA_1010;Akil'darah, the Eagle of Hinterlands!;;Akil'darah, der Adler des Hinterlands!;;;;;;;;;;;x
EVTOPTAC_WCLOA_1010;Akunda, the Thunder Lizard!;;Akunda, die Donnerechse!;;;;;;;;;;;x
EVTOPTAD_WCLOA_1010;Dambala, the Treacherous!;;Dambala, der Verräter!;;;;;;;;;;;x
EVTOPTAE_WCLOA_1010;Gral, the Shark!;;Gral, der Hai!;;;;;;;;;;;x
EVTOPTAG_WCLOA_1010;Gonk, the Great Hunter!;;Gonk, der große Jäger!;;;;;;;;;;;x
EVTOPTAH_WCLOA_1010;Jani, the Lord of Thieves!;;Jani, der Herr der Diebe!;;;;;;;;;;;x
EVTOPTAI_WCLOA_1010;Eraka no Kimbul, the Prey's Doom!;;Eraka no Kimbul, Schicksal der Beute!;;;;;;;;;;;x
EVTOPTAJ_WCLOA_1010;Ueetay no Mueh'zala, the Death!;;Ueetay no Mueh'zala, der Tod!;;;;;;;;;;;x
EVTOPTAK_WCLOA_1010;Krag'wa, the Huge!;;Krag'wa, der Riese!;;;;;;;;;;;x
EVTOPTAL_WCLOA_1010;Lukou, the Respite!;;Lukou, der Heiler;;;;;;;;;;;x
EVTOPTAM_WCLOA_1010;Pa'ku, the Loa of the Winds!;;Pa'ku, der Loa des Windes!;;;;;;;;;;;x
EVTOPTAN_WCLOA_1010;Rezan, the Loa of the Kings!;;Rezan, der Loa der Könige!;;;;;;;;;;;x
EVTOPTAO_WCLOA_1010;Sethraliss, the Snake!;;Sethraliss, die Schlange!;;;;;;;;;;;x
EVTOPTAP_WCLOA_1010;Torcali, the Direhorn!;;Torcali, das Terrorhorn!;;;;;;;;;;;x
EVTOPTAQ_WCLOA_1010;Torga, the Turtle!;;Torga, die Schildkröte!;;;;;;;;;;;x
EVTOPTAR_WCLOA_1010;Zanza, the Loa of Zandalar!;;Zanza, der Loa von Zandalar!;;;;;;;;;;;x
EVTOPTAS_WCLOA_1010;I will worship one Loa from the ancient Zandalar!;;Ich werde einen Loa aus dem antiken Zandalar anbeten!;;;;;;;;;;;x
;;;;;;;;;;;;;;
#Modifiers;;;;;;;;;;;;;;
follower_of_nalorakk;Follower of Nalorakk;;Anbeter Nalorakks;;;;;;;;;;;x
follower_of_akilzon;Follower of Akil'zon;;Anbeter Akil'zons;;;;;;;;;;;x
follower_of_janalai;Follower of Jan'alai;;Anbeter Jan'alais;;;;;;;;;;;x
follower_of_halazzi;Follower of Halazzi;;Anbeter Halazzis;;;;;;;;;;;x
follower_of_mahamba;Follower of Mahamba;;Anbeter Mahambas;;;;;;;;;;;x
follower_of_tsulkalu;Follower of Tsul'Kalu;;Anbeter Tsul'Kalus;;;;;;;;;;;x
follower_of_pogeyan;Follower of Pogeyan;;Anbeter Pogeyans;;;;;;;;;;;x
follower_of_bwonsamdi;Follower of Bwonsamdi;;Anbeter Bwonsamdis;;;;;;;;;;;x
follower_of_shango;Follower of Shango;;Anbeter Shangos;;;;;;;;;;;x
follower_of_shirvallah;Follower of Shirvallah;;Anbeter Shirvallahs;;;;;;;;;;;x
follower_of_hireek;Follower of Hir'eek;;Anbeter Hir'eeks;;;;;;;;;;;x
follower_of_shadra;Follower of Elortha no Shadra;;Anbeter Elortha no Shadras;;;;;;;;;;;x
follower_of_akali;Follower of Akali;;Anbeter Akalis;;;;;;;;;;;x
follower_of_harkoa;Follower of Har'koa;;Anbeter Har'koas;;;;;;;;;;;x
follower_of_mamtoth;Follower of Mam'toth;;Anbeter Mam'toths;;;;;;;;;;;x
follower_of_quetzlun;Follower of Quetz'lun;;Anbeter Quetz'luns;;;;;;;;;;;x
follower_of_rhunok;Follower of Rhunok;;Anbeter Rhunoks;;;;;;;;;;;x
follower_of_sseratus;Follower of Sseratus;;Anbeter Sseratuss;;;;;;;;;;;x
follower_of_tharonja;Follower of Tharon'ja;;Anbeter Tharon'jas;;;;;;;;;;;x
follower_of_dubrajin;Follower of Dubra'Jin;;Anbeter Dubra'Jins;;;;;;;;;;;x
follower_of_zimabwa;Follower of Zim'Abwa;;Anbeter Zim'Abwas;;;;;;;;;;;x
follower_of_zimrhuk;Follower of Zim'Rhuk;;Anbeter Zim'Rhuks;;;;;;;;;;;x
follower_of_zimtorga;Follower of Zim'Torga;;Anbeter Zim'Torgas;;;;;;;;;;;x
follower_of_bethekk;Follower of Bethekk;;Anbeter Bethekks;;;;;;;;;;;x
follower_of_hethiss;Follower of Hethiss;;Anbeter Hethisss;;;;;;;;;;;x
follower_of_kimbul;Follower of Eraka no Kimbul;;Anbeter Eraka no Kimbuls;;;;;;;;;;;x
follower_of_muehzala;Follower of Ueetay no Mueh'zala;;Anbeter Ueetay no Mueh'zalas;;;;;;;;;;;x
follower_of_akildarah;Follower of Akil'darah;;Anbeter Akil'darahs;;;;;;;;;;;x
follower_of_akunda;Follower of Akunda;;Anbeter Akundas;;;;;;;;;;;x
follower_of_dambala;Follower of Dambala;;Anbeter Dambalas;;;;;;;;;;;x
follower_of_gral;Follower of Gral;;Anbeter Grals;;;;;;;;;;;x
follower_of_gonk;Follower of Gonk;;Anbeter Gonks;;;;;;;;;;;x
follower_of_jani;Follower of Jani;;Anbeter Janis;;;;;;;;;;;x
follower_of_kragwa;Follower of Krag'wa;;Anbeter Krag'was;;;;;;;;;;;x
follower_of_lukou;Follower of Lukou;;Anbeter Lukous;;;;;;;;;;;x
follower_of_paku;Follower of Pa'ku;;Anbeter Pa'kus;;;;;;;;;;;x
follower_of_rezan;Follower of Rezan;;Anbeter Rezans;;;;;;;;;;;x
follower_of_sethraliss;Follower of Sethraliss;;Anbeter Sethralisss;;;;;;;;;;;x
follower_of_torcali;Follower of Torcali;;Anbeter Torcalis;;;;;;;;;;;x
follower_of_torga;Follower of Torga;;Anbeter Torgas;;;;;;;;;;;x
follower_of_zanza;Follower of Zanza;;Anbeter Zanzas;;;;;;;;;;;x
opinion_loa_vassal;Devout vassal;;Frommer Vasall;;;;;;;;;;;x
;;;;;;;;;;;;;;
#Event Modifiers;;;;;;;;;;;;;;
nalorakks_blessing;Nalorakk's Blessing;Bénédiction de Nalorakk;Nalorakks Segen;;;;;;;;;;;x
akalis_blessing;Akali's Blessing;Bénédiction d'Akali;Akalis Segen;;;;;;;;;;;x
gonks_blessing;Gonk's Blessing;Bénédiction de Gonk;Gonks Segen;;;;;;;;;;;x
grals_blessing;Gral's Blessing;Bénédiction de Gral;Grals Segen;;;;;;;;;;;x
harkoas_blessing;Har'koa's Blessing;Bénédiction d'Har'koa;Har'koas Segen;;;;;;;;;;;x
janis_blessing;Jani's Blessing;Bénédiction de Jani;Janis Segen;;;;;;;;;;;x
mamtoths_blessing;Mam'toth's Blessing;Bénédiction de Mam'toth;Mam'toths Segen;;;;;;;;;;;x
torgas_blessing;Torga's Blessing;Bénédiction de Torga;Torgas Segen;;;;;;;;;;;x
