#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
wc_keep1_fel;Demon Outpost;;Dämonischer Außenposten;;;;;;;;;;;x
wc_keep2_fel;Legion Command Post;;Außenposten der Legion;;;;;;;;;;;x
wc_keep3_fel;Burning Legion Command Center;;Kommandoposten der brennenden Legion;;;;;;;;;;;x
wc_keep4_fel;Demonic Bastion;;Dämonische Bastion;;;;;;;;;;;x
wc_keep5_fel;Legion Battle Fortress;;Schlachtfeste der brennenden Legion;;;;;;;;;;;x
wc_keep6_fel;Burning Legion Citadel;;Zitadelle der brennenden Legion;;;;;;;;;;;x
wc_keep1_fel_desc;A outpost of the Burning Legion, where a number of demon laborers and soldiers have set up a permanent encampment.;;Ein Außenposten der brennenden Legion, an dem eine Reihe von dämonischen Arbeitern und Soldaten ein dauerhaftes Lager eingerichtet haben.;;;;;;;;;;;x
wc_keep2_fel_desc;A major Legion center of tactical interest, being a main rockbed of a major demonic incursion. A command post has been set up to help solidify Legion operations in the region.;;Ein bedeutendes Legionszentrum von taktischem Interesse, das einen Grundpfeiler eines großen dämonischen Angriffs darstellt. Ein Kommandoposten wurde eingerichtet, um die Operationen der Legion in der Region zu festigen.;;;;;;;;;;;x
wc_keep3_fel_desc;A major base of operations for the Burning Legion and it's minions, supporting a much larger set of command posts and operational offices for supporting a much larger demon army.;;Eine wichtige Operationsbasis für die brennende Legion und ihre Diener, die über diverse Kommandoposten und Außenposten zur Unterstützung einer viel größeren Dämonenarmee verfügt.;;;;;;;;;;;x
wc_keep4_fel_desc;A sizable demonic keep which supports sizable fel walls and supports a number of armories to keep an advanced Legion host both protected and well supplied;;Ein beträchtlicher dämonischer Bergfried, umgeben von beträchtlichen Felwällen und ausgestattet mit einer Reihe von Waffenkammern, um eine fortschrittliche Legionsstreitmacht sowohl geschützt als auch gut versorgt zu halten.;;;;;;;;;;;x
wc_keep5_fel_desc;A large demonic fortress with tall black walls, a ringed inner courtyard of vile fires which helps support a number of tactical offices and dark armories to help push forward the Legion's ultimate goals, a sight to give even the most hardened warrior on azeroth fright.;;Eine große dämonische Festung mit hohen schwarzen Mauern, einem umrandeten Innenhof mit abscheulichen Feuern, der eine Reihe von taktischen Büros und dunklen Waffenkammern bereit hält, um die ultimativen Ziele der Legion voranzutreiben. Ein Anblick, bei dem selbst dem hartgesottensten Krieger Azeroths die Haare zu Berge stehen.;;;;;;;;;;;x
