# CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
;;;;;;;;;;;;;;
EVTTITLE_wcHO.1;Captured Hostages;;;;;;;;;;;;;
EVTDESC_wcHO.1;Harpy culture dictates that after a raid, all male captives are to be rounded up and their fates to be chosen by the harpy mistress for the good of the flock. [Root.GetTitledFirstName]. What will you deem to be the fate of these?;;;;;;;;;;;;;
EVTOPTA_wcHO.1;I'll take this one myself!;;;;;;;;;;;;;
EVTOPTB_wcHO.1;This one will feed the young... or be kept for later.;;;;;;;;;;;;;
EVTOPTC_wcHO.1;Let the tribe have him;;;;;;;;;;;;;
EVTOPTD_wcHO.1;It is property of the Harpy Mistress' Family;;;;;;;;;;;;;
;;;;;;;;;;;;;;
harpy_death;Ravaged by harpies while struggling;;;;;;;;;;;;;
;;;;;;;;;;;;;;
mate_with_prisioners;Mate with [Root.GetTitledFirstName];;;;;;;;;;;;;
mate_with_prisioners_desc;Force yourself upon [Root.GetTitledFirstName] to fertilize your eggs.;;;;;;;;;;;;;
mate_with_prisioners_named;Mate with [Root.GetTitledFirstName];;;;;;;;;;;;;
;;;;;;;;;;;;;;
prepare_for_children;Prepare as food for child;;;;;;;;;;;;;
prepare_for_children_named;Prepare as food for child;;;;;;;;;;;;;
prepare_for_children_desc;Kill prisoner and provide its meat as a nutritional bonus for any harpy egg in the tribe once it hatches, giving it a chance to receive bonus attributes on maturity.;;;;;;;;;;;;;
;;;;;;;;;;;;;;
stat_increase_growup;A random attribute is increased;;;;;;;;;;;;;
has_food_prepared;Surrounded by food;;;;;;;;;;;;;
;;;;;;;;;;;;;;
EVTTITLE_wcHO.3;Devoured Meal;;;;;;;;;;;;;
EVTDESC_wcHO.3;Cracking out of your egg, you notice the meat that surround you, and hungry beyond belief, you jump into the chance to devour it all, and immidiatly notice its effect on yourself.;;;;;;;;;;;;;
EVTOPTA_wcHO.3;*Gnaws Meat*;;;;;;;;;;;;;
