#CODE;ENGLISH;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
wc_keep1_og;Twilight Outpost;;;;;;;;;;;;;x
wc_keep2_og;Twilight Keep;;;;;;;;;;;;;x
wc_keep3_og;Twilight Hold;;;;;;;;;;;;;x
wc_keep4_og;Fortress of Hysteria;;;;;;;;;;;;;x
wc_keep5_og;Bastion of Insanity;;;;;;;;;;;;;x
wc_keep6_og;Black Ziggurat of Y'Shaarj;;;;;;;;;;;;;x
wc_keep1_og_desc;Small gatherings of Twilight disciples have congregated here in the area. Though disorganized, these disciples and their leaders pose a very serious threat to unbelievers in the area.;;;;;;;;;;;;;x
wc_keep2_og_desc;An outpost has centralized operations within a dedicated keep. Cultists manage the region's levies from this dark keep and proclaim the Old Gods from its parapits.;;;;;;;;;;;;;x
wc_keep3_og_desc;A stone hold now dominates this region ensuring the influence of twilight does not go unchallenged. Its construction is beginning to deviate from normal construction standards as the Old Gods' influence seeps into the minds of those who work the keep.;;;;;;;;;;;;;x
wc_keep4_og_desc;For all those in area of this fortress, the whispers of the Old Gods permeate the minds of each and every unforunate soul in the region.;;;;;;;;;;;;;x
wc_keep5_og_desc;The strength of the voices are increased tenfold and the will of the Old Gods goes unpreturbed in the region surrounding this bastion.;;;;;;;;;;;;;x
wc_keep6_og_desc;Truly a testament to the servants of Y'Shaarj's power, this gigantic black stone citadel dominates the zone ensuring that the inhabitants of this land know that, though Y'Shaarj is a deceased evil, his terror and corruption may never be forgotten. Those who follow the Old Gods worship their ever-chattering voices beneath the shadow of his unforgotten will, forever entombed in this ziggurat.;;;;;;;;;;;;;x
wc_barracks1_og;Cultist Encampment;;;;;;;;;;;;;x
wc_barracks2_og;Zealot Garrison;;;;;;;;;;;;;x
wc_barracks3_og;Zealot Barracks;;;;;;;;;;;;;x
wc_barracks4_og;Zealot Stronghold;;;;;;;;;;;;;x
wc_barracks1_og_desc;An encampment has been erected and the cultists that find their home within it are more militarized and warlike than the average twilight cultist. Some even dare to call themselves zealots of the Old Gods.;;;;;;;;;;;;;x
