#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
THE_BOOK_OF_RATIONALISM;the Book of Rationalism;Le Livre du Rationalisme;Das Buch des Rationalismus;;;;;;;;;;;x
MECHANIC;Mechanic;Mécanicien;Mechaniker;;;;;;;;;;;x
mystery_of_the_makers;Titanic;titanique;Titanisch;;;;;;;;;;;x
mystery_of_the_makers_DESC;The study of the Titans, metallic giants that travel across the cosmos, bringing order to worlds, is widespread within dwarven society. The dwarven practical nature does not lend itself to blind worship of a progenitor race, they rely upon measurements, mathematics, and their own hands work. Rather than taking the measure of their creators on faith, the dwarves have embarked on a colossal investigation of their past.;L'étude des Titans, géants du métal qui voyagent dans le cosmos et mettent de l'ordre dans les mondes, est très répandue dans la société naine. La nature pratique des nains ne se prête pas au culte aveugle d'une race de créateurs, ils reposent sur des mesures, des mathématiques et leur propre travail manuel. Plutôt que de prendre la mesure de leurs créateurs avec foi, les nains se sont lancés dans une enquête colossale sur leur passé.;Das Studium der Titanen, Metallgiganten, die durch den Weltraum reisen und den Welten Ordnung bringen, ist in der Gesellschaft der Zwerge weit verbreitet. Die praktische Natur der Zwerge zwingt sie nicht automatisch in die blinde Verehrung der Vorgängerrasse, sie verlassen sich auf Messung, Mathematik und ihrer eigenen Hände Arbeit. Anstatt an die Existenz ihrer Schöpfer zu glauben, begannen die Zwerge mit einer groß angelegten Studie ihrer Vergangenheit.;;;;;;;;;;;x
fire_cult;Firelord;Seigneur de Feu;Verehrung des Feuerlords;;;;;;;;;;;x
fire_cult_DESC;The element of fire is one of branches of the elemental religion. Followers of this branch call upon the destructive and cleansing power of fire and revere the sacred beings by summoning them to Azeroth. Those who practice the use of the fire are usually called pyromancers.;L'élément feu est l'une des branches de la religion élémentale. Les adeptes de cette branche font appel au pouvoir destructeur et purificateur du feu et révèrent les êtres sacrés en les convoquant à Azeroth. Ceux qui pratiquent le feu sont généralement appelés pyromanciens.;Die Anbetung des Feuers ist einer der Zweige der Elementarreligion. Anhänger dieses Zweiges beschwören die zerstörerische und reinigende Kraft des Feuers und verehren ihre heilige Kreaturen indem sie sie nach Azeroth rufen. Diejenigen, die sich der Verehrung des Feuer verschreiben, werden allgemein als Pyromanten bezeichnet.;;;;;;;;;;;x
neptulon_worship;Tidehunter;Chasse-marée;Verehrung des Gezeitenjägers;;;;;;;;;;;x
neptulon_worship_DESC;The element of water is one of branches of the elemental religion. The healing properties of water are well known to the followers of this branch, as well as the inexorable power of storms and tides. Those who practice the use of the water are usually called hydromancers.;L'élément eau est l'une des branches de la religion élémentaire. Les propriétés curatives de l’eau sont bien connues des adeptes de cette branche, ainsi que le pouvoir inexorable des tempêtes et des marées. Ceux qui pratiquent l’utilisation de l’eau sont généralement appelés hydromanciens.;Die Anbetung des Wasser ist einer der Zweige der Elementarreligion. Die heilenden Eigenschaften des Wassers sind den Anhängern dieses Zweiges ebenso bekannt wie die unerbittliche Kraft von Stürmen und Gezeiten. Diejenigen, die sich der Verehrung des des Wassers verschrieben haben, werden gewöhnlich als Hydromanten bezeichnet.;;;;;;;;;;;x
therazane_worship;Stonemother;Pierre-Mère;Verehrung der Steinmutter;;;;;;;;;;;x
therazane_worship_DESC;The element of earth is one of the branches of the elemental religion. The power of earth is that of resilience and malleability and followers of this branch bound themselves with the earth to become stronger. Those who practice the use of the earth are usually called geomancers.;L'élément Terre est l'une des branches de la religion élémentale. La puissance de la Terre est celle de la résilience et de la malléabilité et les adeptes de cette branche se sont liés à la Terre pour devenir plus forts. Ceux qui pratiquent l'utilisation de la terre sont généralement appelés géomanciens.;Die Anbetung der Erde ist einer der Zweige der Elementarreligion. Die Kraft der Erde beruht auf ihrer Widerstandsfähigkeit und Verformbarkeit. Die Anhänger dieses Zweiges verbinden sich mit der Erde, um stärker zu werden. Diejenigen, die sich der Verehrung der Erde verschrieben haben, werden gewöhnlich Geomanten genannt.;;;;;;;;;;;x
alakir_worship;Windlord;Seigneur des Vents;Verehrung des Windsuchers;;;;;;;;;;;x
alakir_worship_DESC;The element of air is one of the branches of the elemental religion. Elevating their speed to an uncanny level, the followers worship the air and subdue it to their will. Those who practice the use of the air are usually called aeromancers.;L'élément air est l'une des branches de la religion élémentale. Élevant leur vitesse à un niveau étrange, les adeptes adorent l'air et le soumettent à leur volonté. Ceux qui pratiquent l’utilisation de l’air sont généralement appelés aéromanciens.;Die Anbetung der Luft ist einer der Zweige der Elementarreligion. Ihre können ihre Geschwindigkeit auf ein unheimliches Maß erhöhen, verehren die Luft und unterwerfen sie ihrem Willen. Diejenigen, die sich der Verehrung der Luft verschrieben haben, werden gewöhnlich als Aeromanten genannt.;;;;;;;;;;;x
cult_of_the_candle;Candle;bougiote;Kerze;;;;;;;;;;;x
cult_of_the_candle_DESC;Who would have thought that even such a simple thing as a candle could become a symbol of faith? Kobolds that dwell in underground tunnels and spend their lives mining, primarily for gold, are sure that the candle is wise. And this is not surprising, because in the condition of darkness it is the candle that helps the kobolds to survive.;Qui aurait pensé que même une simple chose comme une bougie pourrait devenir un symbole de la foi? Les Kobolds qui vivent dans des tunnels souterrains et passent leur vie à exploiter, principalement pour obtenir de l’or, sont certains que la bougie est sage. Et ce n’est pas surprenant, car dans le noir, c’est la bougie qui aide les kobolds à survivre.;;;;;;;;;;;;x
cult_of_strength;Gnoll;gnolle;Gnoll;;;;;;;;;;;x
cult_of_strength_DESC;Gnolls are well-known for their tendency to challenge each other over petty matters (such as who is the tallest). Their culture caused the emergence of the Cult of Strength, and the most powerful gnolls are recognized as the greatest authority in this society.;Les gnolls sont bien connus pour leur tendance à se défier les uns contre les autres pour de petites choses (comme qui est le plus grand). Leur culture a fait émerger le Culte de la Force et les plus puissants gnolls sont reconnus comme la plus grande autorité de la société.;;;;;;;;;;;;x
water_deities;Nerglish;nerglishe;Nerglisch;;;;;;;;;;;x
fel_group;Fel;démoniaque;Fel;;;;;;;;;;;x
orcish_fel;Fel-Corrupted;;Fel-befleckt;;;;;;;;;;;x
dragon_religion_group;Draconic;Draconique;Drakonisch;;;;;;;;;;;x
sect_of_the_dragons;Draconic;Draconique;Drakonisch;;;;;;;;;;;x
sect_of_the_dragons_DESC;The worship of dragons, reptilian creatures, usually winged, with magical or unusual abilities. A lot of creatures dedicated their lives to servitude under the great dragons. When dragons empower mortal servants they became dragonspawn and drakonid thanks to the dragons they served.;;;;;;;;;;;;;x
orcish_fel_DESC;Whether its power is found through contracts between warlocks and demonic lords or through the blood of a certain Annihilan, fel threatens to corrupt completely and absolutely. Though famous for its fel-fueled crusade, the Burning Legion is not responsible for all of those who find their way to fel corruption, and those who fall on their own find themselves craving power unending, usually until their very undoing. The fel-corrupted are forever hungry for power and control, even if it should cost them their soul or the lives of their people.;;Egal, ob seine Macht durch Verträge zwischen Hexenmeistern und dämonischen Fürsten oder durch das Blut eines bestimmten Annihilaners erlangt wird, droht das Fel vollständig und absolut zu verderben. Obwohl sie für ihren mit Fel-Magie befeuerten Kreuzzug bekannt ist, ist die brennende Legion nicht für alle verantwortlich, die den Weg zur Fel-Korruption finden, und diejenigen, die auf sich allein gestellt fallen, finden sich in einem unendlichen Verlangen nach Macht wieder, für gewöhnlich bis zu ihrem eigenen Verderben. Die Verderbten sind für immer hungrig nach Macht und Kontrolle, auch wenn es sie ihre Seele oder das Leben ihres Volkes kosten sollte.;;;;;;;;;;;x
burning_legion_religion;Sargerite;Sargeriten;Sargeritisch;;;;;;;;;;;x
burning_legion_religion_DESC;Bent on destroying all life in the universe, Sargeras is seen as one of the greatest threats to creation, and in a smaller sense, Azeroth. At his beck and call during his burning crusade across the Great Beyond is a loyal, fel-infused legion of demons, the Burning Legion, ready to carry out the destruction Sageras so very much desires. Followers of the Dark Titan are only capable of cruelty and deceit, as they chase any chance to bring about the extinguishment of life.;;Sargeras, der darauf aus ist, alles Leben im Universum zu zerstören, gilt als eine der größten Bedrohungen für die Schöpfung, und in einem kleineren Sinne, für Azeroth. Auf sein Geheiß und seinen Ruf inmitten seines brennenden Kreuzzugs durch das große Jenseits ist eine loyale, mit Fel infizierte Legion von Dämonen, die Brennende Legion, bereit, die Zerstörung durchzuführen, die Sageras so sehr begehrt. Die Anhänger des dunklen Titan sind nur zu Grausamkeit und List fähig, da sie jede Chance auf die Auslöschung des Lebens verfolgen.;;;;;;;;;;;x
illidari;Vindicatory;;Rächend;;;;;;;;;;;x
illidari_DESC;The powers of fel can be found tempting to all living beings in the universe, but there are those who use it as a tool to fight the evils that lurk throughout creation, rather than for personal gain or destruction. Though these individuals can often be found guilty of similar crimes to that of power-hungry warlocks and demons, they see any suffering inflicted as means to a greater end, an end greater than themselves and their sacrifices. Though more realistically benevolent than most demons and warlocks, society will seek to reject them and their cruel, even if effective, methods nonetheless.;;Die Kräfte des Fel können für alle Lebewesen im Universum verlockend sein, aber es gibt auch diejenigen, die es als Werkzeug benutzen, um das Böse zu bekämpfen, das in der ganzen Schöpfung lauert, und nicht für persönlichen Gewinn oder Zerstörung. Obwohl diese Individuen oft ähnlicher Verbrechen schuldig sind wie machthungrige Hexenmeister und Dämonen, sehen sie jedes zugefügte Leiden als Mittel zu einem größeren Zweck, einem Zweck, der größer ist als sie selbst und ihre eigenen Opfer. Obwohl sie wohlwollender ist als die meisten Dämonen und Hexenmeister, wird die Gesellschaft trotzdem versuchen, sie und ihre grausamen, aber wirksamen Methoden abzulehnen.;;;;;;;;;;;x
GOD_ILLIDAN;Illidan;Illidan;Illidan;;;;;;;;;;;x
TRADITIONS;Traditions;Traditions;Traditionen;;;;;;;;;;;x
LOA_PRIEST;Loa Priest;Prêtre-Loa;Loa-Priester;;;;;;;;;;;x
PRIEST_ILLIDARI;Illidari;Illidari;Illidari;;;;;;;;;;;x
PRIEST;Priest;Prêtre;Priester;;;;;;;;;;;x
GOD_HAKKAR;Hakkar;Hakkar;Hakkar;;;;;;;;;;;x
ILLIDARI_TEACHING;Illidari Teachings;;Illidans Lehren;;;;;;;;;;;x
TEACHING_OF_FEL;Teaching of Fel;;Lehren des Fel;;;;;;;;;;;x
shamanism_group;Elemental;;Elementar;;;;;;;;;;;x
cult_of_hakkar;Hakkari;hakkarie;Hakkari;;;;;;;;;;;x
cult_of_hakkar_DESC;Hakkar the Soulflayer, a vile, bloodthirsty god brought the trolls great power, but in return required souls to be sacrificed to him. Known in the troll pantheon as the Loa of Blood, he's worshipped by the Atal'ai - his loyal priests.;;;;;;;;;;;;;x
cult_of_loa;Loa;;Loa;;;;;;;;;;;x
cult_of_loa_DESC;Loa is the name given by trolls to the countless beings they worship. Almost any being that has died and transcended to death can be worshiped as a Loa. They can grant wondrous boons or inflict terrible punishments to trolls, and all trolls are blessed with a higher than normal regeneration rate by the Loas. Famous powerful Loa include Rezan, the Loa of Kings, and Bwonsamdi, the Loa of Graves.;;;;;;;;;;;;;x
THE_BOOK;the Book;le Livre;das Buch;;;;;;;;;;;x
THE_VOID;the Void;le Vide;die Leere;;;;;;;;;;;x
THE_LIGHT;the Light;la Lumière;das Licht;;;;;;;;;;;x
THE_CHAOS;the Chaos;le Chaos;das Chaos;;;;;;;;;;;x
COVENANTS_OF_ANCESTORS;the Covenants of Ancestors;;;;;;;;;;;;;x
GOD_SHADRA;Shadra;Shadra;Shadra;;;;;;;;;;;x
THE_LIFE;the Life;la Vie;das Leben;;;;;;;;;;;x
water_deities_DESC;The ones who believe in water deities follow rituals involving communication with the sea and its powers, and they worship the water and the powerful entities within it. The pantheon of the water deities is dynamic, changing to include new creatures they encounter. Even a strong shark or a quick fish may become a living symbol of the faith. As the animals die or move on, the Murloc faith mutates to find new symbolism in their surroundings.;;;;;;;;;;;;;x
ORACLE;Oracle;Oracle;Orakel;;;;;;;;;;;x
THE_FISHERMEN;Fishermen;Les Pêcheurs;Fischer;;;;;;;;;;;x
necromancy_group;Necromantic;nécromantique;Nekromantisch;;;;;;;;;;;x
death_god;Death God;damnée;Todesgott;;;;;;;;;;;x
