#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
;;;;;;;;;;;;;;x
honor_local_spirits;Honour Local Elementals;;Ehrt die einheimischen Elementare;;;;;;;;;;;x
honor_local_spirits_desc;Prepare a ritual to honour local elementals;;Bereitet ein Ritual zu Ehren der lokalen Elementare vor.;;;;;;;;;;;x
friendly_spirits;Friendly Spirits;;Freundliche Geister;;;;;;;;;;;x
unfriendly_spirits;Unfriendly Spirits;;Unfreundliche Geister;;;;;;;;;;;x
echo_of_the_elements;Echo of the Elements;;Echo der Elemente;;;;;;;;;;;x
commemorate_father;Commemorate Father;;Gedenken des Vaters;;;;;;;;;;;x
commemorate_father_desc;Commemorate your dead father;;Gedenkt Eures toten Vaters.;;;;;;;;;;;x
commemorate_mother;Commemorate Mother;;Gedenken der Mutter;;;;;;;;;;;x
commemorate_mother_desc;Commemorate your dead mother;;Gedenkt Eurer toten Mutter.;;;;;;;;;;;x
seek_ancestral_help;Seek Ancestral Help;;Suche nach Hilfe der Vorfahren;;;;;;;;;;;x
seek_ancestral_help_desc;Seek help from your venerable ancestors;;Ersucht Eure ehrwürdigen Vorfahren um Hilfe.;;;;;;;;;;;x
ancestral_might;Ancestral Might;;Macht der Ahnen;;;;;;;;;;;x
ancestral_guidance;Ancestral Guidance;;Führung der Ahnen;;;;;;;;;;;x
ancestral_wisdom;Ancestral Wisdom;;Weisheit der Ahnen;;;;;;;;;;;x
earth_mother_blessing;Earth Mother Blessing;;Segnung der Erdenmutter;;;;;;;;;;;x
musha_blessing;Mu'sha Blessing;;Mu'shas Segen;;;;;;;;;;;x
anshe_blessing;An'she Blessing;;An'shes Segen;;;;;;;;;;;x
earth_mother_ritual;Earth Mother Ritual;;Ritual der Erdenmutter;;;;;;;;;;;x
earth_mother_ritual_desc;Prepare a ritual to venerate Earth Mother;;Bereitet ein Ritual zu Ehren der Erdenmutter vor.;;;;;;;;;;;x
earth_attunement;Earth Attunement;;Einstimmung auf die Erde;;;;;;;;;;;x
earth_curse;Earth Curse;;Fluch der Erde;;;;;;;;;;;x
water_attunement;Water Attunement;;Einstimmung auf das Wasser;;;;;;;;;;;x
water_curse;Water Curse;;Fluch des Wassers;;;;;;;;;;;x
fire_attunement;Fire Attunement;;Einstimmung auf das Feuer;;;;;;;;;;;x
fire_curse;Fire Curse;;Fluch des Feuers;;;;;;;;;;;x
air_attunement;Air Attunement;;Einstimmung auf die Luft;;;;;;;;;;;x
air_curse;Air Curse;;Fluch der Luft;;;;;;;;;;;x
ice_attunement;Ice Attunement;;Einstimmung auf das Eis;;;;;;;;;;;x
ice_curse;Ice Curse;;Fluch des Eises;;;;;;;;;;;x
sand_attunement;Sand Attunement;;Einstimmung auf den Sand;;;;;;;;;;;x
sand_curse;Sand Curse;;Fluch des Sandes;;;;;;;;;;;x
approach_powerful_elemental;Approach Powerful Elemental;;Anrufung mächtiger Elementare;;;;;;;;;;;x
approach_powerful_elemental_desc;Seek out a powerful elemental to ask for his support;;Sucht ein mächtiges Elementarwesen und bittet um seine Unterstützung.;;;;;;;;;;;x
tidesages_blessing_decision;Ask Tidesages to Bless Land;;Bittet die Gezeitenweisen das Land zu segnen;;;;;;;;;;;x
tidesages_blessing_decision_desc;Ask powerful Tidesages to bless the land so it may prosper;;Bittet die mächtigen Gezeitenweisen, das Land zu segnen, damit es erblühen möge.;;;;;;;;;;;x
lesser_tidesages_blessing;Lesser tidesages blessing;;Geringer Segen der Gezeitenweisen;;;;;;;;;;;x
tidesages_blessing;Tidesages blessing;;Segen der Gezeitenweisen;;;;;;;;;;;x
elune_blessing;Elune's blessing;;Elunes Segen;;;;;;;;;;;x
greater_elune_blessing;Greater Elune's blessing;;Elunes großer Segen;;;;;;;;;;;x
pray_to_elune;Pray to Elune;;Betet zu Elune;;;;;;;;;;;x
pray_to_elune_desc;Worship Elune as Night Elves did for thousands of years;;Verehrt Elune, wie es die Nachtelfen seit Tausenden von Jahren tun.;;;;;;;;;;;x
request_the_gift;Request the Gift;;Erbittet eine Gabe;;;;;;;;;;;x
request_the_gift_desc;Request gift of worgen blood to become part of the pack;;Erbittet die Gabe des Worgenbluts, um ein Teil des Rudels zu werden.;;;;;;;;;;;x
ritual_to_twin_gods;Ritual to Twin Gods;;Ritual der Zwillingsgötter;;;;;;;;;;;x
ritual_to_twin_gods_desc;Prepare the ritual to twin gods, Ursoc and Ursol;;Bereitet ein Ritual zu Ehren der Zwillingsgötter Ursoc und Ursol vor.;;;;;;;;;;;x
seek_wd_blessing;Seek out Wild God;;Sucht einen wilden Gott auf;;;;;;;;;;;x
seek_wd_blessing_desc;Try to find one of the Wild gods and ask for the blessing;;Versucht, einen wilden Gott ausfindig zu machen, und bittet um seinen Segen.;;;;;;;;;;;x
mark_of_ursoc;Mark of Ursoc;;Zeichen von Ursoc;;;;;;;;;;;x
mark_of_ursol;Mark of Ursol;;Zeichen von Ursol;;;;;;;;;;;x
blessing_of_ashamane;Blessing of Ashamane;;Ashamanes Segen;;;;;;;;;;;x
blessing_of_aviana;Blessing of Aviana;;Avianas Segen;;;;;;;;;;;x
blessing_of_ursoc;Blessing of Ursoc;;Ursocs Segen;;;;;;;;;;;x
blessing_of_goldrinn;Blessing of Goldrinn;;Goldrinns Segen;;;;;;;;;;;x
blessing_of_malorne;Blessing of Malorne;;Malornes Segen;;;;;;;;;;;x
worgen_hunt;Worgen Hunt;;Worgenjagd;;;;;;;;;;;x
worgen_hunt_desc;Use your beastial power to hunt game;;Nutzt Eure tierische Kraft um Wild zu jagen.;;;;;;;;;;;x
request_potion;Ask Harvest-witch to Prepare Potion;;Bittet eine Erntehexe einen Trank zu brauen;;;;;;;;;;;x
request_potion_desc;Ask local harvest-witch to prepare a powerful potion;;Bittet eine einheimische Erntehexe, Euch einen machtvollen Trank zu brauen.;;;;;;;;;;;x
potion_of_speech;Potion of Speech;;Trank des Vortrags;;;;;;;;;;;x
potion_of_strength;Potion of Strength;;Trank der Stärke;;;;;;;;;;;x
potion_of_thrift;Potion of Thrift;;Trank der Tüchtigkeit;;;;;;;;;;;x
potion_of_cunning;Potion of Cunning;;Trank der Verschlagenheit;;;;;;;;;;;x
potion_of_wisdom;Potion of Wisdom;;Trank der Weisheit;;;;;;;;;;;x
;;;;;;;;;;;;;;x
learn_cat_form;Learn the Cat Form;;Lernt die Katzenform;;;;;;;;;;;x
learn_cat_form_desc;Learn how to shapeshift into a great cat;;Lernt Euch in eine Großkatze zu verwandeln.;;;;;;;;;;;x
learn_bear_form;Learn the Bear Form;;Lernt die Bärenform;;;;;;;;;;;x
learn_bear_form_desc;Learn how to shapeshift into a great bear;;Lernt Euch in einen Bären zu verwandeln.;;;;;;;;;;;x
learn_talon_form;Learn the Talon Form;;Lernt die Krallenform;;;;;;;;;;;x
learn_talon_form_desc;Learn how to shapeshift into a great bird;;Lernt Euch in einen Falken zu verwandeln.;;;;;;;;;;;x
learn_stag_form;Learn the Stag Form;;Lernt die Hirschform;;;;;;;;;;;x
learn_stag_form_desc;Learn how to shapeshift into a great stag;;Lernt Euch in einen Hirsch zu verwandeln.;;;;;;;;;;;x
learn_master_cat_form;Master the Cat Form;;Meistert die Katzenform;;;;;;;;;;;x
learn_master_cat_form_desc;Attain mastery over powerful Cat Form;;Erlangt Meisterschaft über die Katzenform.;;;;;;;;;;;x
learn_master_bear_form;Master the Bear Form;;Meistert die Bärenform;;;;;;;;;;;x
learn_master_bear_form_desc;Attain mastery over powerful Bear Form;;Erlangt Meisterschaft über die Bärenform.;;;;;;;;;;;x
learn_master_talon_form;Master the Talon Form;;Meistert die Krallenform;;;;;;;;;;;x
learn_master_talon_form_desc;Attain mastery over powerful Talon Form;;Erlangt Meisterschaft über die Krallenform.;;;;;;;;;;;x
;;;;;;;;;;;;;;x
cat_form_druid;Cat Form;;Katzenform;;;;;;;;;;;x
cat_form_druid_desc;Shapeshift into the Cat Form;;Verwandelt Euch in eine Großkatze.;;;;;;;;;;;x
bear_form_druid;Bear Form;;Bärenform;;;;;;;;;;;x
bear_form_druid_desc;Shapeshift into the Bear Form;;Verwandelt Euch in einen Bären.;;;;;;;;;;;x
talon_form_druid;Talon Form;;Krallenform;;;;;;;;;;;x
talon_form_druid_desc;Shapeshift into the Talon Form;;Verwandelt Euch in einen Falken.;;;;;;;;;;;x
stag_form_druid;Stag Form;;Hirschform;;;;;;;;;;;x
stag_form_druid_desc;Shapeshift into the Stag Form;;Verwandelt Euch in einen Hirsch.;;;;;;;;;;;x
pack_form_druid;Pack Form;;Wolfsform;;;;;;;;;;;x
pack_form_druid_desc;Shapeshift into the Pack Form;;Verwandelt Euch in einen Wolf.;;;;;;;;;;;x
shapeshift_back_druid;Shapeshift Back;;Zurückverwandeln;;;;;;;;;;;x
shapeshift_back_druid_desc;Shapeshift back into your normal body;;Verwandelt Euch in Eure normale Gestalt zurück.;;;;;;;;;;;x
;;;;;;;;;;;;;;x
enter_emerald_dream_decision;Enter Emerald Dream;;Betretet den smaragdgrünen Traum;;;;;;;;;;;x
enter_emerald_dream_decision_desc;Leave the boundaries of physical world and enter the Emerald Dream.;;Verlasst die Grenzen der physischen Welt und betretet den smaragdgrünen Traum.;;;;;;;;;;;x
;;;;;;;;;;;;;;x
leave_emerald_dream;Leave Emerald Dream;;Verlasst den smaragdgrünen Traum;;;;;;;;;;;x
leave_emerald_dream_desc;Go back to your body back in physical world.;;Kehrt in Euren Körper in der physischen Welt zurück.;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
ask_for_ancient_mark;Ask Ancient for Mark;;Bittet die Urtümer um ein Zeichen;;;;;;;;;;;x
ask_for_ancient_mark_desc;Many Ancients are part of the Cenarion Circle. You can ask one of them to mark you with their power.;;Viele Urtümer sind Teil des Zirkels des Cenarius. Ihr könnt einen von ihnen bitten, Euch mit seiner Kraft zu versehen.;;;;;;;;;;;x
train_with_archdruids;Train with Archdruids;;Trainiert mit den Erzdruiden;;;;;;;;;;;x
train_with_archdruids_desc;One of the purposes of Cenarion Circle is to spread druidic knowledge to people of Azeroth. You can ask them for training, increasing your class level in the process.;;Einer der Zwecke des Zirkels des Cenarius ist es, druidisches Wissen an die Bewohner Azeroths weiterzugeben. Ihr könnt sie um Training bitten und dabei Euer Klassenlevel erhöhen.;;;;;;;;;;;x
train_young_druid;Train Young Druid;;Trainiert einen jungen Druiden;;;;;;;;;;;x
