# CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
;;;;;;;;;;;;;;x
wc_necropolis1;Undead Basecamp;Campement mort-vivant;Untoten-Basislager;;;;;;;;;;;x
wc_necropolis2;Castle of the Damned;Château des Damnés;Burg der Verdammten;;;;;;;;;;;x
wc_necropolis3;Hall of the Dead;Salle des morts;Halle der Toten;;;;;;;;;;;x
wc_necropolis4;Black Citadel;Catacombes;Schwarze Zitadelle;;;;;;;;;;;x
wc_necropolis1_desc;A small contingent of mindless undead have gathered here, garrisoning the area against the living.;Un petit groupe de morts-vivants décérebrés se sont rassemblés ici, en lutte contre les vivants.;Ein kleines Kontingent von hirnlosen Untoten hat sich hier versammelt und das Gebiet gegen die Lebenden besetzt.;;;;;;;;;;;x
wc_necropolis2_desc;Makeshift stone walls have come together to form a castle-like hobble for the general unliving population to base themselves from.;;Behelfsmäßige Steinmauern wurden zu einer burgartigen Wehranlage zusammengeschlossen, in die sich die untote Bevölkerung zurückziehen kann.;;;;;;;;;;;x
wc_necropolis3_desc;Seemingly professionally built, the mindless undead have constructed an unholy keep able to withstand most assaults.;;Scheinbar professionell gebaut, haben die hirnlosen Untoten eine unheilige Festung konstruiert, die in der Lage ist, den meisten Angriffen standzuhalten.;;;;;;;;;;;x
wc_necropolis4_desc;Truly an unholy bastion, this Black Citadel stands as a testament to the Scourge's power in this region. May the living live in fear of its shadow.;;Die schwarze Zitadelle ist eine wahrhaft unheilige Bastion und zeugt von der Macht der Geißel in dieser Region. Mögen die Lebenden in Angst vor ihrem Schatten leben.;;;;;;;;;;;x
wc_crypt1;Catacombs;Catacombes;Katakomben;;;;;;;;;;;x
wc_crypt2;Crypts;Cryptes;Krypta;;;;;;;;;;;x
wc_crypt3;Plagued Crypts;Cryptes infestées;Verseuchte Krypta;;;;;;;;;;;x
wc_crypt4;Tomb of Horrors;Tombeau des Horreurs;Grabmal des Horrors;;;;;;;;;;;x
wc_crypt1_desc;Underground catacombs have been taken over by the Scourge here, adding more bodies to the mindless army.;;Unterirdische Katakomben wurden hier von der Geißel übernommen, um der hirnlosen Armee weitere Körper hinzuzufügen.;;;;;;;;;;;x
wc_crypt2_desc;Wings of the catacombs have opened up into deeper crypts effectively doubling the amount of manpower supplied by these underground tombs.;;Die Flügel der Katakomben haben sich in tiefere Krypten geöffnet, wodurch sich die Zahl der von diesen unterirdischen Gräbern bereitgestellten Truppen verdoppelt.;;;;;;;;;;;x
wc_crypt3_desc;The crypts here have become plagued by the Damned, breaking through holy enchantments and allowing more mindless undead to join the Scourge.;;Die hiesigen Grabkammern sind von den Verdammten verseucht worden, die heiligen Verzauberungen durchbrochen, und mehr Untoten schließen sich der Geißel an.;;;;;;;;;;;x
wc_crypt4_desc;Unholy abominations and shades dominate the winding underground tunnels that form the crypts in this region, seeming endless undead hordes spew out from within.;;Unheilige Abscheulichkeiten und Geister dominieren die gewundenen unterirdischen Tunnel, die die Krypten in dieser Region bilden. Schier endlose untote Horden quellen aus ihrem Inneren hervor.;;;;;;;;;;;x
wc_sgraveyard1;Defiled Graveyard;Cimetière souillé;Geschändeter Totenacker;;;;;;;;;;;x
wc_sgraveyard2;Desecrated Cemetery;Cimetière profané;Entweihter Friedhof;;;;;;;;;;;x
wc_sgraveyard3;Flesh Pits;Puits de chair;Fleischgruben;;;;;;;;;;;x
wc_sgraveyard4;Bone Quarry;Carrière d'ossements;Knochenbruch;;;;;;;;;;;x
wc_sgraveyard1_desc;The poor souls buried above ground have now had the misfortune of having their bodies incorporated into the Scourge war machine.;;Die armen Seelen, die über der Erde begraben sind, dürfen sich glücklich schätzen, dass ihre Körper nun der Kriegsmaschinerie der Geißel dienen dürfen.;;;;;;;;;;;x
wc_sgraveyard2_desc;More well protected and blessed graves have now been desecrated and made vulnerable to the influence of the Scourge.;;Gut geschützte und gesegnete Gräber wurden nun entweiht und dem Einfluss der Geißel ausgesetzt.;;;;;;;;;;;x
wc_sgraveyard3_desc;Mass graves have taken root in the area and several bodies have been unearthed and manipulated to better serve.;;Massengräber haben sich in der Gegend etabliert, und unzählige Körper wurden ausgegraben und mit unheiligem Leben erfüllt, um der Geißel zu dienen.;;;;;;;;;;;x
wc_sgraveyard4_desc;Deep excavations are finding whatever forgotten bodies and bones lie beneath the earth so that they may be repurposed into mindless undead.;;Durch tiefe Grabungen wurden die vergessenen Körper und Knochen längst vergessener Tage ans Licht gebracht, sodass die Toten auf ewig der Geißel dienen können.;;;;;;;;;;;x
wc_ziggurat1;Blighted Ground;Terre profanée;Verdorbener Boden;;;;;;;;;;;x
wc_ziggurat2;Ziggurat;Ziggourat;Ziggurat;;;;;;;;;;;x
wc_ziggurat3;Spirit Tower;Tour des Esprits;Geisterturm;;;;;;;;;;;x
wc_ziggurat4;Skybound Necropolis;Nécropole céleste;Schwebende Nekropole;;;;;;;;;;;x
