#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
wc_dwarf_armory5;The Great Forge and Anvil;La Grande Forge;Die große Schmiede;;;;;;;;;;;x
wc_dwarf_armory5_desc;The Great Forge is the very heart and soul of dwarven culture, and it is the birthplace of all dwarven inventions and weapons. Gigantic bellows and large cauldrons fuel the sweltering heat of Ironforge as falls of magma are smelted into metals soon be shaped by the ever-ingenious dwarven craftsmen of Ironforge. In the center of this magnificent forge lays the Great Anvil.;La Grande Forge est le cœur et l'âme de la culture naine. Elle est le lieu de naissance de toutes les inventions et armes naines. De gigantesques soufflets et de grands chaudrons alimentent la chaleur étouffante de Forgefer, où des chutes de magma sont fondues pour donner des métaux qui seront bientôt façonnés par des artisans nains toujours aussi ingénieux. Au centre de cette magnifique forge se trouve la Grande Enclume.;Die große Schmiede stellt das Herz und die Seele der Zwergenkultur dar, sie ist der Geburtsort aller Erfindungen und Waffen der Zwerge. Riesige Bälge und große Kessel treiben die Hitze der Eisenschmiede an, während Magmafälle zu Metallen geschmolzen werden, die bald von den genialen Zwergenhandwerkern der Eisenschmiede geformt werden. In der Mitte dieser prächtigen Schmiede befindet sich der große Amboss.;;;;;;;;;;;x
ca_vault_of_archavon;Vault of Archavon;Caveau d'Archavon;Gewölbe von Archavon;;;;;;;;;;;x
ca_vault_of_archavon_desc;Seated atop a high plateau, this titanic vault remains undisturbed within Wintergrasp. The inside the titanic vault is protected by hordes of giants and their leader from which this vault takes it name, Archavon the Stone Watcher.;Située au sommet d'un haut plateau, cette voûte titanesque reste intacte au sein de Joug-d'Hiver. L'intérieur de la voûte est protégé par des hordes de géants et leur chef, qui donne son nom à ce lieu : Archavon, le Gardien des pierres.;Auf einem Hochplateau gelegen bleibt dieses gigantische Gewölbe in Wintergrasp ungestört. Das Innere des gigantischen Gewölbes wird von Horden von Riesen und ihrem Anführer, von dem dieses Gewölbe seinen Namen hat, Archavon der Steinwächter, geschützt.;;;;;;;;;;;x
ca_eye_of_eternity;Eye of Eternity;Œil de l’éternité;Auge der Ewigkeit;;;;;;;;;;;x
ca_eye_of_eternity_desc;The Eye of Eternity is the personal domain of the of the blue dragon aspect, who at the time of creation was Malygos. It is a great convergence of all of Azeroth's leylines, manipulated by the blue dragons, and it is the point from which the Spell-Weaver guards the magic of the world.;L'Œil de l'éternité est le domaine personnel de l'Aspect de la Magie : Malygos. C'est une grande convergence de toutes les lignes telluriques d'Azeroth, manipulées par les dragons bleus. C'est le point à partir duquel le Lieur de Sorts garde la magie du monde.;Das Auge der Ewigkeit ist die persönliche Domäne des Blaudrachenaspekts, der zur Zeit ihrer Erschaffung Malygos war. In diesem Ort laufen sämtliche Leylinien Azeroths zusammen, sodass der Zauberweber die Magie der Welt manipulieren und bewachen kann.;;;;;;;;;;;x
ca_frozenthrone;Frozen Throne;Trône de Glace;Frostthron;;;;;;;;;;;x
ca_frozenthrone_desc;The Frozen Throne is the soul receptable of the orc shaman, Ner'zhul. The throne sits upon an incredible tall spire within a vast chamber. When Kil'jaeden had found enough satisfaction in the torturing of Ner'zhul's soul, the poor shaman's essence was thrown back through the Twisting Nether to Azeroth to serve as a weapon for the Legion. His soul was bound to the Helm of Domination and trapped within diamond-ice. From here, Ner'zhul's mental and magical capabilities are multiplied tremendously allowing for the hive mind control of seemingly endless undead hordes.;Le Trône de glace est le réceptacle de l'âme du chaman orc Ner'zhul. Le trône est niché sur une flèche incroyablement haute au sein d'une vaste chambre. Lorsque Kil'jaeden a trouvé assez de satisfaction à torturer l'âme de Ner'zhul, l'essence du chaman a été renvoyée à travers le Néant distordu vers Azeroth pour servir d'arme à la Légion. Son âme a été liée au Heaume de Domination et emprisonnée dans la glace. De là, les capacités mentales et magiques de Ner'zhul sont multipliées de façon spectaculaire, permettant le contrôle de l'esprit des hordes de morts-vivants apparemment sans fin.;Der Frostthron beherbergt die Seele des Ork-Schamanen Ner'zhul. Der Thron steht auf einem himmelhohen Turm in einem gewaltigen Gewölbe. Nachdem Kil'jaeden genug Befriedigung in der Folterung von Ner'zhuls Seele gefunden hatte wurde die Essenz des armen Schamanen durch den wirbelnden Nether nach Azeroth geworfen, um als Waffe für die Legion zu dienen. Seine Seele war an den Helm der Herrschaft gebunden und in diamanthartem Eis gefangen. Von hier aus werden Ner'zhuls mentale und magische Fähigkeiten vielfach verstärkt, was die Kontrolle über die schier endlosen untote Horden ermöglicht.;;;;;;;;;;;x
ca_icecrowncitadel;Ice Crown Citadel;Citadelle de la Couronne de glace;Zitadelle von Eiskrone;;;;;;;;;;;x
ca_icecrowncitadel_desc;This ungodly citadel of undeath and despair was constructed by an endless horde of the Lich King's minions with the Frozen Throne acting as the crown jewel that sits atop and the chamber that the structure hugs itself around. Its saronite walls are nigh impenetrable, and it would take a truly impressive assault force to even step foot within the fortress of the Lich King itself.;Cette citadelle impie de la mort et du désespoir a été construite par une horde sans fin d'esclaves du roi-liche, le Trône de glace apparaissant comme le joyau de la couronne nichée au sommet de la structure. Ses murs de saronite sont presque impénétrables, et il faudrait une force d'assaut réellement impressionnante pour mettre un pied dans cette forteresse.;Diese gottlose Zitadelle des Untodes und der Verzweiflung wurde von der endlosen Horde des Lichkönigs erbaut, mit dem Frostthron auf dem Gipfel. Seine Mauern aus Saronit sind beinahe unzerstörbar und es würde eine wahrhaft überwältigende Streitmacht erfordern, um nur einen Fuß in die Festung des Lichkönigs zu setzen.;;;;;;;;;;;x
tp_nordrassil;Nordrassil;Nordrassil;Nordrassil;;;;;;;;;;;x
