#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
farm_1_desc;На фермах выращивают различные культуры и животных.;;;;;;;;;;;;;x
mine_1_desc;Шахта служит для добычи руд.;;;;;;;;;;;;;
lumber_mill_1_desc;Здесь происходит добыча древесины.;;;;;;;;;;;;;
tavern_1_desc;Здесь можно отдохнуть после тяжелого для и послушать байки путников, что сюда иногда забредают.;;;;;;;;;;;;;
ca_garden_1;Сад;;;;;;;;;;;;;
ca_garden_2;Сад;;;;;;;;;;;;;
ca_garden_3;Сад;;;;;;;;;;;;;
ca_garden_4;Сад;;;;;;;;;;;;;
ca_garden_5;Сад;;;;;;;;;;;;;
ca_garden_6;Сад;;;;;;;;;;;;;
garden_1_desc;Спокойный и тихий сад, где выращивают лечебные травы и другие культуры.;;;;;;;;;;;;;
ca_marketplace_1;Рынок;;;;;;;;;;;;;
ca_marketplace_2;Рынок;;;;;;;;;;;;;
ca_marketplace_3;Рынок;;;;;;;;;;;;;
ca_marketplace_4;Рынок;;;;;;;;;;;;;
ca_marketplace_5;Рынок;;;;;;;;;;;;;
ca_marketplace_6;Рынок;;;;;;;;;;;;;
marketplace_1_desc;Место, где можно купить или продать что-нибудь.;;;;;;;;;;;;;
ca_stable_1;Стойла;;;;;;;;;;;;;
ca_stable_2;Стойла;;;;;;;;;;;;;
ca_stable_3;Стойла;;;;;;;;;;;;;
ca_stable_4;Стойла;;;;;;;;;;;;;
ca_stable_5;Стойла;;;;;;;;;;;;;
ca_stable_6;Стойла;;;;;;;;;;;;;
ca_blacksmith_1;Кузня;;;;;;;;;;;;;
ca_blacksmith_2;Кузня;;;;;;;;;;;;;
ca_blacksmith_3;Кузня;;;;;;;;;;;;;
ca_blacksmith_4;Кузня;;;;;;;;;;;;;
blacksmith_1_desc;В кузне делают оружие для вашей армии.;;;;;;;;;;;;;
ct_farm_1;Ферма;;;;;;;;;;;;;
ct_farm_2;Ферма;;;;;;;;;;;;;
ct_farm_3;Ферма;;;;;;;;;;;;;
ct_farm_4;Ферма;;;;;;;;;;;;;
ct_farm_5;Ферма;;;;;;;;;;;;;
ct_farm_6;Ферма;;;;;;;;;;;;;
ct_mine_1;Шахта;;;;;;;;;;;;;
ct_mine_2;Шахта;;;;;;;;;;;;;
ct_mine_3;Шахта;;;;;;;;;;;;;
ct_mine_4;Шахта;;;;;;;;;;;;;
ct_mine_5;Шахта;;;;;;;;;;;;;
ct_mine_6;Шахта;;;;;;;;;;;;;
ct_lumber_mill_1;Лесопилка;;;;;;;;;;;;;
ct_lumber_mill_2;Лесопилка;;;;;;;;;;;;;
ct_lumber_mill_3;Лесопилка;;;;;;;;;;;;;
ct_lumber_mill_4;Лесопилка;;;;;;;;;;;;;
ct_lumber_mill_5;Лесопилка;;;;;;;;;;;;;
ct_lumber_mill_6;Лесопилка;;;;;;;;;;;;;
ct_tavern_1;Таверна;;;;;;;;;;;;;
ct_tavern_2;Таверна;;;;;;;;;;;;;
ct_tavern_3;Таверна;;;;;;;;;;;;;
ct_tavern_4;Таверна;;;;;;;;;;;;;
ct_tavern_5;Таверна;;;;;;;;;;;;;
ct_tavern_6;Таверна;;;;;;;;;;;;;
ct_marketplace_1;Рынок;;;;;;;;;;;;;
ct_marketplace_2;Рынок;;;;;;;;;;;;;
ct_marketplace_3;Рынок;;;;;;;;;;;;;
ct_marketplace_4;Рынок;;;;;;;;;;;;;
ct_marketplace_5;Рынок;;;;;;;;;;;;;
ct_marketplace_6;Рынок;;;;;;;;;;;;;
ct_blacksmith_1;Кузня;;;;;;;;;;;;;
ct_blacksmith_2;Кузня;;;;;;;;;;;;;
ct_blacksmith_3;Кузня;;;;;;;;;;;;;
ct_blacksmith_4;Кузня;;;;;;;;;;;;;
ct_town_hall_1;Ратуша;;;;;;;;;;;;;
ct_town_hall_2;Ратуша;;;;;;;;;;;;;
ct_town_hall_3;Ратуша;;;;;;;;;;;;;
ct_town_hall_4;Ратуша;;;;;;;;;;;;;
ct_town_hall_5;Ратуша;;;;;;;;;;;;;
ct_town_hall_6;Ратуша;;;;;;;;;;;;;
ct_town_hall_1_desc;Ратуша - это резиденция мэра и место, где находятся административные структуры города.;;;;;;;;;;;;;
tp_garden_1;Сад;;;;;;;;;;;;;
tp_garden_2;Сад;;;;;;;;;;;;;
tp_garden_3;Сад;;;;;;;;;;;;;
tp_garden_4;Сад;;;;;;;;;;;;;
tp_garden_5;Сад;;;;;;;;;;;;;
tp_garden_6;Сад;;;;;;;;;;;;;
tp_marketplace_1;Рынок;;;;;;;;;;;;;
tp_marketplace_2;Рынок;;;;;;;;;;;;;
tp_marketplace_3;Рынок;;;;;;;;;;;;;
tp_marketplace_4;Рынок;;;;;;;;;;;;;
tp_marketplace_5;Рынок;;;;;;;;;;;;;
tp_marketplace_6;Рынок;;;;;;;;;;;;;
tp_blacksmith_1;Кузня;;;;;;;;;;;;;
tp_blacksmith_2;Кузня;;;;;;;;;;;;;
tp_blacksmith_3;Кузня;;;;;;;;;;;;;
tp_blacksmith_4;Кузня;;;;;;;;;;;;;
