#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTDESC_noblegarden.101;Вы занимаетесь сбором яиц и видите маленького ребенка, собирающегося на поляне яйца.;;;;;;;;;;;;;x
EVTOPTB_noblegarden.101;Они ему нужнее.;;;;;;;;;;;;;x
EVTOPTA_noblegarden.101;Они мои!;;;;;;;;;;;;;x
EVTDESC_noblegarden.100;Празднование Сада Чудес подходит к концу.;;;;;;;;;;;;;x
EVTOPTA_noblegarden.100;До следующего года.;;;;;;;;;;;;;x
EVTDESC_noblegarden.105;По всему Азероту начинается празднование Сада чудес! Отправиться праздновать и собирать яйца со всеми?;;;;;;;;;;;;;x
EVTOPTA_noblegarden.105;Я уже не ребенок.;;;;;;;;;;;;;x
EVTOPTB_noblegarden.105;Яйца, уии!;;;;;;;;;;;;;x
EVTDESC_noblegarden.107;Празднику явно не хватает финансирования, толпа людей вышла и требует больше затрат.;;;;;;;;;;;;;x
EVTOPTB_noblegarden.107;Нам следует уступить им.;;;;;;;;;;;;;x
EVTOPTA_noblegarden.107;Они от меня ничего не получат!;;;;;;;;;;;;;x
EVTDESC_noblegarden.106;Пришли праздники, самое время пойти пособирать яйца с детьми.;;;;;;;;;;;;;x
EVTOPTC_noblegarden.106;Отправьте ребенка одного.;;;;;;;;;;;;;x
EVTOPTB_noblegarden.106;Отправьте одного из вассалов или придворных.;;;;;;;;;;;;;x
EVTOPTA_noblegarden.106;Хорошая идея.;;;;;;;;;;;;;x
EVTDESC_noblegarden.104;Крестьяне мешают вам собирать яйца.;;;;;;;;;;;;;x
EVTOPTB_noblegarden.104;Придется смириться.;;;;;;;;;;;;;x
EVTOPTA_noblegarden.104;Отправте их по домам.;;;;;;;;;;;;;x
EVTDESC_noblegarden.103;Вы занимались сбором яйц и вдруг на вас нападает стая кроликов.;;;;;;;;;;;;;x
EVTOPTB_noblegarden.103;Попытаться убежать.;;;;;;;;;;;;;x
EVTOPTA_noblegarden.103;Дать им отпор.;;;;;;;;;;;;;x
EVTDESC_noblegarden.102;Вы набрали кучу шоколадных яиц, но что вам с ними делать?;;;;;;;;;;;;;x
EVTOPTB_noblegarden.102;Съесть их.;;;;;;;;;;;;;x
EVTOPTA_noblegarden.102;Оставить на потом.;;;;;;;;;;;;;x
EVTTITLE_WCCLS_1;Обучение начато;;;;;;;;;;;;;x
EVTDESC_WCCLS_1;Путь Мага - это путь удивительной и шокирующей силы. Умелый маг в одиночку способен противостоять армии, атакуя сгустками тайной магии или насылая на врагов огненные дожди и снежные бури. Если же кому-то и удастся добраться до заклинателя, то и просто ударить его не сможет - он окружит себя многочисленными щитами, в которых будут увязать мечи и отскакивать враждебные заклинания. Вы сможете достичь ещё больших высот, чем сейчас, если продолжите изучать свой магический дар.;;;;;;;;;;;;;x
EVTTITLE_WCCLS_100;Обучение закончено;;;;;;;;;;;;;x
EVTDESC_WCCLS_100;Вы закончили обучение пути Мага и покорили многие школы магии. Любой противник трижды подумает прежде чем напасть даже на Вас одного, одинокого странника, вооруженного лишь посохом. Однако, будьте осторожны с магией, она способна уничтожать целые города, оставляя после себя пустоту. Удачи, маг! И последнее наставление-мудрость - не бейте по комарам огненными шарами, Вы выше этого - замораживайте их.;;;;;;;;;;;;;x
EVTDESC_WCCLS_101;Путь Охотника - это путь одиночек, которые гораздо лучше ладят с животным миром, чем с окружающими. Никто не знает округу и леса лучше, чем охотники. Никто не знает столько, сколько охотники знают о животных. А приручив их, они получат надёжного друга, неспособного предать. Непревзойденные мастера ловушек, выслеживания и стрельбы из всего что стреляет всегда рады наставить и дать совет.;;;;;;;;;;;;;x
EVTDESC_WCCLS_200;Вы закончили обучение пути охотника и обзавелись новыми друзьями-зверьми, которые будут следовать за Вами неотступно. А изучив премудрости слежки и охоты, Вы способны преследовать противника сколько угодно долго, выматывая его и лишая сил. И если враг осмелится повернуться лицом, то его ждет встреча со всей Вашей стаей, которую он вряд ли переживет... Удачи, Охотник! Звери не лгут, и любой из них может стать другом во враждебном мире.;;;;;;;;;;;;;x
EVTDESC_WCCLS_201;Путь воина - это путь героев сражений многих рас. Именно Воины ведут армии и вдохновляют на победу. Именно Воины личной храбростью и умением обеспечивают перелом в битвах. Продолжив обучение, Вы сможете достичь непревзойдённого мастерства и узнать секреты, позволяющие выйти победителем из любых сражений.;;;;;;;;;;;;;x
EVTDESC_WCCLS_300;Вы закончили обучение пути Воина и теперь готовы встретить любого неприятеля в первых рядах. Неважно, будете ли Вы сражаться мечом и щитом, двуручным мечом или мечами в обеих руках - даже табуретка в Ваших руках станет смертоносным оружием. Удачи, Воин! Надеемся, Вы не посрамите честь и достоинство своих учителей.;;;;;;;;;;;;;x
EVTDESC_WCCLS_301;Путь Паладина - это благородное и благословленное самим Светом ремесло. Именно Паладины стоят на страже зла со времен Второй Войны, и способны выступать без страха против таких противников, которых невозможно поразить простым оружием. Вы пустили в себя Святой Свет и уже умеете укреплять свой молот святостью, а продолжив постигать секреты мастерства, сможете изгнать любое зло из темнейших уголков этого мира.;;;;;;;;;;;;;x
EVTDESC_WCCLS_400;Вы закончили обучение Пути Паладина, и сам Свет отметил Вас своей печатью, даровав целительные силы. Одним своим видом Вы способны обратить в бегство силы зла, но если оно осмелиться напасть на святого воина, то будет уничтожено и сожжено Светом. Удачи, Паладин! Вы - защита и опора мира, сметайте и изгоняйте любое зло, угрожающее ему.;;;;;;;;;;;;;x
EVTDESC_WCCLS_401;Путь Жреца - эту путь служителей веры. Как и Паладины, они являются проводниками Света, и, хоть не стоят на передовой, способны защитить себя в случае угрозы жизни. Вы знаете, что Ваши щиты и заклинания усиливаются крепостью духа. Служение Свету и народу сможет значительно усилить Вашу магию.;;;;;;;;;;;;;x
EVTDESC_WCCLS_500;Вы закончили обучение пути Жреца и изучили школы как исцеления, так и тьмы. Как именно применять дар Света - решать Вам. Издавна, со времен появления магии Света, жрецы поддерживали свой народ, давая искру надежды даже в самые темные времена. Удачи, Жрец! И не извращайте святой Свет понапрасну - он может и покинуть служителя, окунув его в пучину тьмы и отчаяния.;;;;;;;;;;;;;x
