#CODE;RUSSIAN;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
#Evil Upgrades;;;;;;;;;;;;;;x
upgrade_unholy_statues;Нечестивые Статуи;;;;;;;;;;;;;x
upgrade_unholy_statues_desc;Эти статуи нечестивых существ вселяют ужас в сердца врагов и вдохновляют темную армию.;;;;;;;;;;;;;x
upgrade_sanctuary_of_shadows;Святилище Теней;;;;;;;;;;;;;x
upgrade_sanctuary_of_shadows_desc;Это святилище служит как место встречи для послушников.;;;;;;;;;;;;;x
upgrade_black_walls;Темный Стены;;;;;;;;;;;;;x
upgrade_black_walls_desc;Эти стены сделаны из темного камня неизвестного для смертных рас.;;;;;;;;;;;;;x
upgrade_crimson_hall;Багровый Зал;;;;;;;;;;;;;x
upgrade_crimson_hall_desc;Это зал богато обставлен красными декорациями и багровыми шторами и используется для военных собраний.;;;;;;;;;;;;;x
upgrade_plagueworks;Бойня;;;;;;;;;;;;;x
upgrade_plagueworks_desc;Здесь, лучшие некроманты превращают плоть смертных рас в произведения искусства.;;;;;;;;;;;;;x
upgrade_nerubian_busts;Нерубианские Бюсты;;;;;;;;;;;;;x
upgrade_nerubian_busts_desc;Эти холодные черные глаза приводят любого смертного в панику.;;;;;;;;;;;;;x
upgrade_endless_corridors;Бесконечный Коридоры;;;;;;;;;;;;;x
upgrade_endless_corridors_desc;Гигантская сеть коридоров соединяющая склепы и гигантские залы.;;;;;;;;;;;;;x
upgrade_twilight_altar;Сумеречный Алтарь;;;;;;;;;;;;;x
upgrade_twilight_altar_desc;Каждая смерть приближает Древних Богов к полному разложению этого мира.;;;;;;;;;;;;;x
upgrade_old_gods_relics;Мощи Древних Богов;;;;;;;;;;;;;x
upgrade_old_gods_relics_desc;Пульсирующая зловонная плоть Древних Богов.;;;;;;;;;;;;;x
upgrade_black_obelisks;Черные Обелиски;;;;;;;;;;;;;x
upgrade_black_obelisks_desc;Только Древние Боги знают назначение этих монументальных сооружений.;;;;;;;;;;;;;x
upgrade_soul_extractor;Извлекатель Душ;;;;;;;;;;;;;x
upgrade_soul_extractor_desc;Инструмент, используемый для извлечения душ смертных существ.;;;;;;;;;;;;;x
upgrade_demonic_machinery;Демоническая Машинерия;;;;;;;;;;;;;x
upgrade_demonic_machinery_desc;Гигантские механизмы Скверны, поддерживающие работу этого комплекса;;;;;;;;;;;;;x
upgrade_fel_pool;Бассейн Скверны;;;;;;;;;;;;;x
upgrade_fel_pool_desc;Этот бассей энергии Скверны питает демонических существ, населяющих эту структуру.;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
#General;;;;;;;;;;;;;;x
upgrade_stained_glass_window_desc;Прекрасное произведение искусства, показывающее мифическую сцену.;;;;;;;;;;;;;x
upgrade_giant_cross;Гигантский Шпиль;;;;;;;;;;;;;x
upgrade_giant_cross_desc;Гигантский шпиль, подчеркивающий силуэт здания.;;;;;;;;;;;;;x
upgrade_collection_architecture_desc;Секреты строительства великих зданий, дорог и мостов, раскрытых в классических трудах древних авторов.;;;;;;;;;;;;;x
upgrade_collection_math_desc;Коллекция начиная от работ калдорейских мыслителей до новейших трактатов по математике.;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
